Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,-4.14,1.38,3.51,108.43,-13.5,-1.24
1.65,6.22,-5.15,1.2,309.64,-14.54,-0.42
1.8,0.68,0.05,-0.01,265.39,10.5,0.0
1.95,-1.58,-0.45,0.06,74.1,12.06,-0.02
2.1,-0.45,-0.02,0.08,87.95,14.32,-0.03
2.25,-0.28,0.13,0.02,115.8,18.09,-0.01
2.4,-0.26,0.24,0.01,132.44,34.95,-0.0
2.55,-0.25,0.19,0.03,126.45,32.29,-0.01
2.7,-0.5,0.07,0.14,97.57,18.05,-0.05
2.85,-1.0,0.22,0.16,102.66,14.89,-0.06
3.0,-1.31,0.16,0.01,96.84,17.23,-0.0
3.15,-1.36,0.08,-0.18,93.55,22.06,0.06
3.3,-1.85,0.1,-0.19,93.24,27.24,0.07
3.45,-2.1,0.23,-0.1,96.2,26.9,0.04
3.6,-2.12,0.27,0.04,97.14,38.97,-0.01
3.75,-2.32,0.37,0.23,99.03,32.87,-0.08
3.9,-2.59,0.35,0.25,97.67,34.56,-0.09
4.05,-2.63,-0.1,0.34,87.8,37.27,-0.12
4.2,-2.29,-0.09,0.4,87.77,39.11,-0.14
4.35,-1.79,0.69,0.5,111.12,41.1,-0.18
4.5,-1.7,2.22,0.6,142.69,41.81,-0.21
4.65,-1.4,3.09,0.6,155.57,43.01,-0.21
4.8,-1.39,3.63,0.58,159.04,39.13,-0.21
4.95,-1.36,4.32,0.67,162.54,41.07,-0.24
5.1,-1.44,4.75,0.74,163.14,40.09,-0.26
5.25,-1.58,4.51,0.69,160.68,43.94,-0.24
5.4,-1.66,4.36,0.66,159.18,41.7,-0.23
5.55,-1.94,3.69,0.7,152.26,42.04,-0.25
5.7,-2.01,3.43,0.82,149.69,43.19,-0.29
5.85,-2.54,2.6,0.94,135.63,42.07,-0.33
6.0,-2.48,2.03,0.94,129.28,40.51,-0.33
6.15,-1.9,1.32,1.02,124.85,36.22,-0.36
6.3,-1.69,0.59,1.17,109.31,35.98,-0.41
6.45,-0.68,-0.58,1.2,49.95,39.24,-0.42
6.6,-0.54,-0.85,1.21,32.07,42.23,-0.43
6.75,-0.32,-1.34,1.22,13.57,41.09,-0.43
6.9,-0.37,-1.42,0.95,14.56,29.88,-0.33
7.05,-0.36,-1.06,0.83,18.47,30.1,-0.29
7.2,-1.42,-0.95,0.76,56.29,31.54,-0.27
7.35,-2.63,0.59,0.64,102.57,31.62,-0.23
7.5,-3.43,1.07,0.45,107.35,32.08,-0.16
7.65,-4.06,2.6,0.31,122.64,33.86,-0.11
7.8,-4.41,2.29,0.26,117.47,36.5,-0.09
7.95,-4.77,2.43,0.13,117.04,35.98,-0.05
8.1,-4.96,2.77,-0.1,119.2,34.81,0.03
8.25,-4.19,4.33,-0.22,135.9,31.17,0.08
8.4,-4.24,5.36,-0.21,141.64,22.45,0.08
8.55,-4.51,5.62,-0.17,141.29,16.22,0.06
8.7,-4.38,4.99,-0.14,138.71,16.99,0.05
8.85,-3.47,3.51,-0.17,135.34,18.89,0.06
9.0,-3.15,3.73,-0.27,139.85,23.71,0.09
9.15,-3.89,1.16,-0.22,106.66,18.7,0.08
9.3,-3.96,1.57,-0.27,111.58,21.81,0.09
9.45,-5.61,1.4,-0.12,104.0,25.74,0.04
9.6,-5.56,4.39,-0.25,128.33,2.27,0.09
9.75,-5.16,4.47,-0.19,130.91,0.4,0.07
9.9,-3.36,2.85,-0.21,130.33,1.41,0.07
10.05,-2.96,2.42,-0.19,129.26,13.48,0.07
10.2,-1.61,3.46,-0.2,155.06,14.66,0.07
10.35,-2.32,0.69,-0.22,106.54,12.48,0.08
10.5,-3.44,4.34,-0.23,141.63,6.06,0.08
10.65,-5.08,4.84,-0.16,133.63,2.23,0.06
10.8,-5.01,4.94,-0.19,134.59,2.16,0.07
10.95,-4.38,4.86,-0.29,138.01,5.71,0.1
11.1,-3.98,4.81,-0.28,140.4,8.78,0.1
11.25,-3.99,5.23,-0.29,142.64,7.54,0.1
