Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,2.76,6.22,1.92,203.96,-14.54,-0.68
1.65,-1.38,-4.45,1.2,17.23,-14.54,-0.42
1.8,-0.41,-0.41,0.02,44.89,15.43,-0.01
1.95,-1.89,-0.32,-0.03,80.32,14.68,0.01
2.1,-0.69,-0.21,0.09,72.99,13.25,-0.03
2.25,0.11,-0.06,-0.03,296.52,13.85,0.01
2.4,0.11,0.14,0.02,217.38,13.87,-0.01
2.55,0.02,0.1,0.0,189.18,14.91,-0.0
2.7,-0.55,0.73,0.05,143.22,14.28,-0.02
2.85,-0.98,0.91,0.01,132.83,17.62,-0.0
3.0,-1.53,0.59,0.0,111.23,20.1,-0.0
3.15,-1.77,0.86,0.2,115.9,23.25,-0.07
3.3,-2.07,1.07,0.42,117.38,35.49,-0.15
3.45,-1.96,1.37,0.38,124.94,36.61,-0.13
3.6,-1.11,1.56,0.39,144.56,35.26,-0.14
3.75,-0.6,1.96,0.34,163.06,29.51,-0.12
3.9,0.18,2.09,0.28,184.98,29.95,-0.1
4.05,1.35,1.76,0.18,217.52,34.77,-0.06
4.2,1.03,2.12,0.2,205.89,40.0,-0.07
4.35,1.0,3.67,0.19,195.29,40.42,-0.07
4.5,0.66,4.64,0.23,188.12,44.4,-0.08
4.65,-0.12,4.6,0.23,178.51,43.8,-0.08
4.8,-1.44,4.6,0.23,162.64,43.15,-0.08
4.95,-1.76,6.03,0.04,163.72,26.71,-0.01
5.1,-1.75,5.7,-0.11,162.96,28.3,0.04
5.25,-1.88,5.37,0.11,160.65,38.63,-0.04
5.4,-1.63,4.46,0.17,159.93,44.36,-0.06
5.55,-1.71,5.05,0.16,161.26,44.6,-0.06
5.7,-1.69,4.28,0.22,158.46,45.87,-0.08
5.85,-2.08,4.29,0.27,154.1,46.89,-0.09
6.0,-2.23,4.84,0.26,155.32,47.69,-0.09
6.15,-1.99,4.88,0.28,157.81,47.22,-0.1
6.3,-0.76,2.33,0.32,161.9,43.68,-0.11
6.45,-0.04,1.61,0.33,178.47,37.22,-0.12
6.6,-0.16,1.66,0.34,174.33,31.72,-0.12
6.75,-0.29,1.72,0.28,170.55,24.16,-0.1
6.9,-1.46,1.31,0.22,131.95,23.5,-0.08
7.05,-2.83,1.15,0.2,112.15,23.25,-0.07
7.2,-4.11,1.38,0.18,108.6,32.71,-0.06
7.35,-4.77,1.98,0.15,112.55,33.32,-0.05
7.5,-5.13,2.26,0.17,113.78,31.17,-0.06
7.65,-5.39,1.82,0.21,108.65,27.39,-0.08
7.8,-4.71,1.76,0.2,110.47,23.12,-0.07
7.95,-3.92,1.2,-0.06,107.07,16.44,0.02
8.1,-3.69,0.85,-0.17,102.93,16.2,0.06
8.25,-3.13,0.13,-0.24,92.34,23.55,0.08
8.4,-2.88,0.29,-0.24,95.78,23.4,0.08
8.55,-2.63,0.98,-0.23,110.51,14.57,0.08
8.7,-2.22,2.51,-0.27,138.59,15.15,0.09
8.85,-1.83,2.01,-0.32,137.79,16.78,0.11
9.0,-1.93,0.82,-0.42,113.17,18.69,0.15
9.15,-1.67,0.2,-0.38,96.84,17.21,0.14
