Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,-7.6,0.0,1.68,90.0,-14.54,-0.59
1.65,2.76,-2.07,0.24,306.87,-7.87,-0.08
1.8,-0.85,0.39,0.11,114.84,16.15,-0.04
1.95,-0.47,0.05,0.1,95.95,18.93,-0.04
2.1,-0.36,0.05,0.03,98.48,20.57,-0.01
2.25,-0.62,0.01,-0.08,90.87,16.94,0.03
2.4,-0.69,0.35,-0.04,116.9,16.59,0.02
2.55,-0.18,0.09,0.05,115.7,17.3,-0.02
2.7,-0.3,0.23,0.19,127.67,21.19,-0.07
2.85,-1.08,0.46,0.24,113.33,24.03,-0.09
3.0,-1.61,1.06,0.25,123.38,25.26,-0.09
3.15,-1.78,1.58,0.24,131.5,24.6,-0.09
3.3,-1.56,1.23,0.24,128.32,26.06,-0.09
3.45,-1.58,1.61,0.23,135.54,28.92,-0.08
3.6,-2.13,2.17,0.23,135.59,33.08,-0.08
3.75,-2.51,2.72,0.21,137.29,30.07,-0.08
3.9,-2.73,3.06,0.08,138.27,28.39,-0.03
4.05,-2.74,3.55,0.03,142.35,28.39,-0.01
4.2,-2.68,3.72,-0.1,144.22,34.6,0.04
4.35,-2.92,3.94,-0.09,143.48,36.5,0.03
4.5,-2.75,3.89,-0.05,144.73,36.12,0.02
4.65,-2.72,3.83,-0.12,144.6,39.62,0.04
4.8,-2.98,3.74,-0.08,141.41,41.02,0.03
4.95,-3.28,3.77,-0.05,139.03,44.35,0.02
5.1,-3.55,4.05,0.22,138.7,61.51,-0.08
5.25,-3.68,4.4,0.26,140.09,50.58,-0.09
5.4,-3.13,4.32,0.28,144.08,45.34,-0.1
5.55,-2.75,2.64,0.34,133.88,44.9,-0.12
5.7,-2.07,1.91,0.43,132.79,45.41,-0.15
5.85,-2.28,1.88,0.43,129.53,45.06,-0.15
6.0,-2.45,1.71,0.39,124.86,40.9,-0.14
6.15,-2.05,1.24,0.36,121.28,38.29,-0.13
6.3,-1.59,0.8,0.33,116.77,36.97,-0.12
6.45,-0.97,0.21,0.34,102.35,30.17,-0.12
6.6,1.28,-0.53,0.27,292.36,30.61,-0.1
6.75,1.26,-1.23,0.27,314.47,37.99,-0.09
6.9,1.52,-1.77,0.26,319.4,37.83,-0.09
7.05,0.74,-2.29,0.26,342.15,30.01,-0.09
7.2,0.37,-2.82,0.39,352.49,25.9,-0.14
7.35,-0.14,-2.7,0.44,2.99,26.32,-0.15
7.5,-0.18,-1.87,0.32,5.52,28.46,-0.11
7.65,-0.39,-1.12,0.23,19.15,30.96,-0.08
7.8,-0.1,-0.67,0.25,8.74,36.07,-0.09
7.95,-0.09,-0.46,0.23,11.05,35.55,-0.08
8.1,0.04,-0.11,0.29,342.01,37.62,-0.1
8.25,0.04,0.15,0.36,193.92,31.91,-0.13
8.4,-0.37,0.94,0.39,158.67,30.08,-0.14
8.55,-0.61,1.84,0.46,161.63,26.24,-0.16
8.7,-0.73,2.26,0.3,162.19,14.54,-0.11
8.85,-0.85,2.05,0.23,157.44,12.2,-0.08
9.0,-1.25,2.07,0.3,148.85,13.28,-0.11
9.15,-1.38,2.05,0.34,146.16,22.25,-0.12
9.3,-2.48,1.6,0.35,122.86,21.99,-0.12
9.45,-2.73,1.0,0.26,110.06,16.84,-0.09
9.6,-3.05,2.12,0.34,124.75,14.34,-0.12
9.75,-3.19,1.92,0.35,121.0,12.83,-0.12
9.9,-3.11,1.53,0.36,116.26,13.36,-0.13
10.05,-1.06,1.14,0.31,137.01,15.28,-0.11
10.2,-0.38,1.16,0.28,161.94,14.98,-0.1
10.35,-1.14,0.92,0.25,129.09,8.32,-0.09
10.5,-2.33,1.38,0.19,120.67,4.69,-0.07
10.65,-2.33,2.24,0.27,133.94,5.47,-0.09
10.8,-2.69,2.08,0.16,127.76,2.98,-0.06
10.95,-2.47,2.39,0.22,134.07,-0.24,-0.08
11.1,-4.82,3.0,0.32,121.89,-0.08,-0.11
11.25,-4.56,4.02,0.49,131.4,1.41,-0.17
11.4,-4.4,3.92,0.59,131.68,1.23,-0.21
11.55,-6.06,4.66,0.55,127.55,1.59,-0.19
11.7,-2.59,3.34,0.53,142.23,-2.2,-0.19
11.85,-2.36,2.42,0.77,135.74,-7.38,-0.27
12.0,-2.25,1.11,0.6,116.19,-7.46,-0.21
12.15,-6.61,3.05,0.6,114.8,-7.07,-0.21
12.3,-5.36,3.23,0.53,121.09,-9.53,-0.19
12.45,-3.33,2.18,0.62,123.28,-9.33,-0.22
12.6,-3.11,2.4,0.67,127.63,-9.44,-0.24
12.75,-2.44,2.43,0.32,134.84,-6.01,-0.11
12.9,-1.6,0.5,0.08,107.46,-1.1,-0.03
13.05,-1.5,0.94,0.29,121.89,0.88,-0.1
13.2,-3.17,-3.48,0.56,42.29,-1.95,-0.2
13.35,-3.35,-3.92,0.69,40.54,-2.95,-0.24
13.5,-4.16,-5.4,0.68,37.62,-2.89,-0.24
13.65,-4.36,-3.99,0.64,47.54,-2.95,-0.23
13.8,-3.81,-4.93,0.57,37.73,-3.02,-0.2
13.95,-2.44,-6.3,0.42,21.2,-11.6,-0.15
14.1,-2.15,-5.86,0.42,20.14,-11.69,-0.15
14.25,-2.36,-4.97,0.3,25.4,-7.47,-0.1
14.4,-3.82,-4.13,0.34,42.76,-4.83,-0.12
14.55,-4.6,-3.85,0.21,50.07,-5.48,-0.07
