Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,-17.96,6.91,1.68,111.04,-14.54,-0.59
1.65,3.45,4.14,0.24,219.81,-5.48,-0.08
1.8,1.26,-0.32,0.04,284.18,12.39,-0.01
1.95,0.28,0.03,0.13,264.1,16.88,-0.05
2.1,-0.18,-0.1,0.05,61.72,17.43,-0.02
2.25,-0.07,-0.07,0.08,46.92,17.21,-0.03
2.4,0.23,0.08,0.03,251.17,13.67,-0.01
2.55,0.47,0.49,0.01,224.0,14.21,-0.0
2.7,0.26,0.62,-0.12,202.97,16.8,0.04
2.85,-0.15,1.17,-0.15,172.54,20.81,0.05
3.0,0.18,2.01,-0.15,185.16,24.12,0.05
3.15,1.19,2.22,-0.24,208.07,28.21,0.09
3.3,1.84,2.67,-0.32,214.65,31.64,0.11
3.45,2.08,1.55,-0.32,233.34,32.47,0.11
3.6,2.2,0.52,-0.43,256.64,29.49,0.15
3.75,2.62,0.51,-0.3,259.03,25.83,0.11
3.9,2.97,0.6,-0.6,258.62,27.5,0.21
4.05,3.85,0.39,-0.6,264.14,31.12,0.21
4.2,4.11,0.49,-0.59,263.16,39.6,0.21
4.35,3.92,0.67,-0.41,260.25,39.33,0.15
4.5,3.78,0.9,-0.32,256.6,39.61,0.11
4.65,3.82,0.96,-0.3,255.93,38.63,0.11
4.8,3.09,1.92,-0.38,238.04,40.06,0.13
4.95,2.47,3.08,-0.39,218.75,39.2,0.14
5.1,2.37,3.5,-0.51,214.11,39.6,0.18
5.25,2.56,3.49,-0.68,216.25,40.37,0.24
5.4,2.55,2.98,-0.75,220.58,40.17,0.27
5.55,2.48,1.83,-0.91,233.54,42.44,0.32
5.7,2.04,0.36,-1.15,260.0,44.05,0.41
5.85,1.84,0.13,-1.17,266.09,56.1,0.41
6.0,2.28,0.36,-0.81,260.99,31.76,0.29
6.15,2.08,0.01,-0.75,269.7,29.06,0.26
6.3,2.25,-0.37,-0.75,279.41,33.18,0.26
6.45,2.64,-0.48,-0.92,280.34,33.66,0.32
6.6,2.5,-1.0,-1.01,291.87,35.39,0.36
6.75,2.28,-1.57,-1.11,304.57,36.4,0.39
6.9,1.48,-1.75,-1.02,319.73,33.57,0.36
7.05,1.03,-1.05,-0.92,315.4,28.91,0.32
7.2,-0.16,-1.03,-0.59,9.02,25.83,0.21
7.35,-0.36,-0.35,-0.44,46.1,25.74,0.16
7.5,-0.57,0.1,-0.36,100.38,28.86,0.13
7.65,-0.87,0.43,-0.28,116.45,30.16,0.1
7.8,-0.98,0.54,-0.19,118.96,33.06,0.07
7.95,-1.04,0.56,-0.16,118.17,32.56,0.06
8.1,-0.89,1.03,0.07,139.12,29.69,-0.03
8.25,-0.62,3.05,0.15,168.54,24.4,-0.05
8.4,-0.36,4.25,0.19,175.09,13.15,-0.07
8.55,-0.79,4.94,0.2,170.89,14.97,-0.07
