Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,-8.29,-2.07,1.92,75.96,-14.54,-0.68
1.65,5.14,1.77,-0.0,251.02,-5.44,0.0
1.8,0.22,1.1,0.17,191.44,15.44,-0.06
1.95,0.35,0.32,0.08,227.88,16.12,-0.03
2.1,0.01,0.32,0.09,181.78,15.99,-0.03
2.25,-0.2,0.18,0.09,132.17,14.92,-0.03
2.4,0.05,-0.28,0.14,350.17,16.9,-0.05
2.55,0.08,-0.28,0.21,343.49,18.82,-0.08
2.7,0.19,-0.05,0.21,286.01,32.68,-0.08
2.85,0.13,0.05,0.21,249.4,29.1,-0.07
3.0,-0.24,0.88,0.21,164.84,19.29,-0.08
3.15,-0.98,1.71,0.16,150.24,22.62,-0.06
3.3,-1.08,1.81,0.24,149.05,25.64,-0.09
3.45,-1.55,1.83,0.26,139.7,27.43,-0.09
3.6,-1.74,2.08,0.22,140.08,32.03,-0.08
3.75,-1.2,3.45,0.08,160.84,33.2,-0.03
3.9,-0.81,3.58,-0.14,167.3,37.43,0.05
4.05,0.11,4.3,-0.28,181.53,54.0,0.1
4.2,0.22,4.3,-0.26,182.9,45.75,0.09
4.35,-0.15,4.55,-0.26,178.17,44.84,0.09
4.5,-0.76,4.43,-0.19,170.33,41.55,0.07
4.65,-1.49,4.04,0.02,159.81,35.82,-0.01
4.8,-1.75,3.68,0.21,154.57,35.65,-0.07
4.95,-2.12,4.2,0.31,153.23,36.47,-0.11
5.1,-2.36,4.99,0.45,154.65,44.64,-0.16
5.25,-2.27,4.53,0.44,153.39,47.17,-0.16
5.4,-2.03,3.72,0.41,151.36,48.67,-0.14
5.55,-1.12,3.18,0.4,160.57,49.85,-0.14
5.7,-0.71,3.07,0.5,167.07,49.52,-0.18
5.85,-0.35,3.36,0.54,174.13,48.85,-0.19
6.0,-0.31,3.46,0.54,174.95,48.39,-0.19
6.15,0.03,3.79,0.44,180.49,33.75,-0.15
6.3,0.39,3.63,0.46,186.15,32.4,-0.16
6.45,0.73,3.22,0.44,192.68,32.88,-0.16
6.6,1.15,2.02,0.37,209.69,38.11,-0.13
6.75,0.8,1.14,0.33,214.96,37.86,-0.12
6.9,0.34,0.49,-0.11,214.68,27.12,0.04
7.05,-1.24,1.04,-0.14,130.07,27.21,0.05
7.2,-2.17,1.81,-0.06,129.92,28.41,0.02
7.35,-2.22,2.08,0.02,133.18,27.12,-0.01
7.5,-2.13,2.73,-0.06,142.06,21.59,0.02
7.65,-1.79,3.05,-0.01,149.61,20.87,0.0
7.8,-1.18,2.83,-0.15,157.43,24.06,0.05
7.95,-0.55,2.77,-0.14,168.72,24.12,0.05
8.1,-0.18,3.03,-0.21,176.68,32.85,0.07
8.25,0.36,2.97,-0.24,186.91,27.77,0.08
8.4,0.11,3.52,-0.25,181.85,27.63,0.09
8.55,-0.42,3.93,-0.23,173.87,21.45,0.08
