Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,-0.69,0.69,1.15,135.0,-12.08,-0.41
1.65,-0.38,5.53,0.24,176.02,-6.28,-0.08
1.8,-0.31,-0.49,0.04,32.57,15.38,-0.01
1.95,-0.27,-0.04,0.1,80.77,16.83,-0.04
2.1,-0.25,0.07,0.09,106.59,17.43,-0.03
2.25,0.14,-0.24,0.13,329.92,18.3,-0.05
2.4,0.12,-0.01,0.14,273.63,19.77,-0.05
2.55,0.11,-0.44,0.1,345.47,17.9,-0.03
2.7,-0.12,-0.57,0.06,11.38,19.64,-0.02
2.85,-0.75,-1.0,0.1,36.72,25.14,-0.04
3.0,-1.21,-1.34,0.21,42.08,28.7,-0.07
3.15,-1.44,-0.78,0.28,61.68,31.04,-0.1
3.3,-1.63,-0.82,0.29,63.39,45.69,-0.1
3.45,-1.55,-0.76,0.27,63.94,45.43,-0.09
3.6,-1.82,-0.31,0.21,80.4,31.24,-0.07
3.75,-2.09,0.33,0.21,99.1,31.18,-0.08
3.9,-2.35,0.56,0.21,103.43,33.26,-0.08
4.05,-1.92,0.86,0.2,114.1,33.78,-0.07
4.2,-1.4,1.74,0.08,141.31,35.88,-0.03
4.35,-0.79,2.3,-0.03,161.08,37.2,0.01
4.5,-0.12,2.62,-0.16,177.28,36.52,0.06
4.65,0.02,2.93,-0.24,180.34,52.52,0.08
4.8,-0.6,3.23,-0.23,169.41,55.0,0.08
4.95,-1.68,3.35,-0.26,153.34,47.46,0.09
5.1,-2.82,3.68,-0.28,142.55,51.02,0.1
5.25,-3.09,4.23,-0.28,143.91,50.14,0.1
5.4,-3.14,4.36,-0.29,144.25,49.82,0.1
5.55,-3.03,3.83,-0.21,141.64,33.82,0.07
5.7,-2.39,3.11,-0.24,142.38,33.8,0.09
5.85,-1.71,2.51,-0.22,145.69,33.8,0.08
6.0,-1.95,2.6,-0.17,143.12,33.64,0.06
6.15,-1.18,2.55,-0.17,155.23,28.49,0.06
6.3,-0.71,2.43,-0.12,163.64,24.98,0.04
6.45,0.15,1.76,-0.18,184.79,20.99,0.06
6.6,0.68,1.39,-0.21,206.12,21.84,0.07
6.75,1.86,1.69,-0.22,227.69,22.59,0.08
6.9,2.08,2.08,0.04,225.04,15.08,-0.01
7.05,1.58,1.94,0.05,219.22,15.04,-0.02
7.2,1.09,1.43,-0.09,217.24,25.55,0.03
7.35,0.9,1.21,-0.14,216.74,27.69,0.05
7.5,0.23,1.56,-0.15,188.42,28.84,0.05
7.65,-0.31,1.64,-0.22,169.16,29.61,0.08
7.8,-0.33,1.67,-0.21,168.95,29.24,0.08
7.95,-0.59,1.9,-0.2,162.85,27.74,0.07
8.1,-0.81,2.42,-0.11,161.51,27.71,0.04
8.25,-0.89,3.42,-0.11,165.36,26.1,0.04
8.4,-0.6,4.12,-0.08,171.76,30.88,0.03
8.55,-0.18,4.51,-0.16,177.66,12.13,0.06
8.7,-0.55,4.14,-0.05,172.46,5.67,0.02
8.85,-1.32,4.07,-0.08,161.99,5.08,0.03
9.0,-1.82,2.34,-0.06,142.15,6.06,0.02
9.15,-1.89,1.83,-0.07,134.03,11.24,0.03
9.3,-1.54,1.36,-0.08,131.53,10.88,0.03
9.45,-0.63,2.21,-0.08,163.97,9.8,0.03
9.6,-1.65,2.38,-0.14,145.17,8.94,0.05
9.75,-1.99,2.74,-0.16,143.98,5.96,0.06
9.9,-2.01,2.97,-0.22,145.88,10.81,0.08
10.05,-2.23,3.27,-0.25,145.74,12.35,0.09
10.2,-1.83,3.23,-0.24,150.48,12.28,0.09
10.35,-1.22,1.86,-0.16,146.69,7.4,0.06
10.5,-0.0,1.24,-0.11,179.94,5.0,0.04
10.65,-0.47,0.78,0.01,149.04,2.26,-0.0
10.8,-1.61,0.83,0.04,117.34,-1.11,-0.01
10.95,-1.85,2.13,0.08,139.08,-3.74,-0.03
11.1,-2.1,2.66,0.14,141.69,-7.87,-0.05
11.25,-2.85,3.08,-0.02,137.24,-6.67,0.01
11.4,-3.06,3.71,-0.09,140.51,-9.93,0.03
11.55,-3.33,5.2,0.18,147.38,-10.22,-0.06
11.7,-3.21,0.99,0.34,107.07,-10.59,-0.12
11.85,-1.25,1.14,0.15,132.39,-7.32,-0.05
12.0,-1.18,-0.52,0.08,66.08,-7.93,-0.03
12.15,-0.06,3.01,-0.26,178.86,-10.46,0.09
12.3,-5.05,3.99,-0.25,128.27,-10.47,0.09
12.45,-1.5,4.77,0.2,162.54,-8.41,-0.07
12.6,-1.37,4.75,0.19,163.9,-5.46,-0.07
12.75,-0.19,0.56,0.25,161.83,-1.76,-0.09
12.9,-0.3,0.81,0.2,159.57,5.39,-0.07
13.05,-0.58,1.03,0.19,150.68,5.42,-0.07
13.2,-2.85,1.48,-0.01,117.42,-0.91,0.0
13.35,-3.12,0.71,-0.05,102.84,-1.48,0.02
13.5,-2.79,-1.61,-0.12,60.05,-0.21,0.04
13.65,-3.43,-2.34,-0.19,55.66,-2.28,0.07
13.8,-3.12,-4.68,0.45,33.68,-9.82,-0.16
13.95,-2.89,-5.02,1.92,29.93,-14.54,-0.68
14.1,-2.28,-5.8,0.59,21.44,5.26,-0.21
14.25,-3.74,-4.28,0.22,41.16,5.55,-0.08
14.4,-3.69,-4.29,0.29,40.72,-11.3,-0.1
14.55,-3.13,-3.33,0.28,43.17,-6.22,-0.1
14.7,-3.17,-2.96,0.26,46.9,-1.13,-0.09
14.85,-2.04,-1.82,0.2,48.23,0.76,-0.07
