Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,2.07,4.84,0.48,203.2,-12.13,-0.17
1.65,4.14,0.38,1.68,264.81,-14.54,-0.59
1.8,-0.27,0.41,0.14,146.95,16.86,-0.05
1.95,0.08,0.96,0.08,184.47,16.1,-0.03
2.1,0.21,0.03,0.03,261.42,15.05,-0.01
2.25,0.14,-0.33,-0.01,336.88,13.39,0.01
2.4,-0.0,0.04,0.08,175.12,14.69,-0.03
2.55,0.39,-0.15,0.11,291.57,19.01,-0.04
2.7,0.32,0.03,0.17,264.3,19.54,-0.06
2.85,-0.25,-1.1,0.27,12.54,18.82,-0.1
3.0,0.37,-2.08,0.48,349.82,22.31,-0.17
3.15,-4.16,-0.73,0.65,80.01,30.26,-0.23
3.3,-5.56,1.96,0.89,109.39,34.48,-0.32
3.45,-5.17,1.26,-1.06,103.68,41.28,0.38
3.6,-5.58,0.55,-1.02,95.63,40.4,0.36
3.75,-4.07,-2.97,-0.82,53.94,36.17,0.29
3.9,-4.85,-4.51,-0.21,47.11,48.2,0.07
4.05,-0.77,-5.66,0.21,7.75,38.0,-0.07
4.2,-0.21,-4.72,0.33,2.59,40.73,-0.12
4.35,0.06,-4.18,0.59,359.13,41.1,-0.21
4.5,-0.36,-3.44,0.73,5.97,41.69,-0.26
4.65,-1.17,-2.6,0.66,24.13,41.56,-0.23
4.8,-1.88,-0.84,0.44,65.83,36.59,-0.16
4.95,-2.33,1.2,0.28,117.36,36.93,-0.1
5.1,-2.38,1.67,0.19,124.97,40.3,-0.07
5.25,-2.07,2.14,0.11,135.9,44.96,-0.04
5.4,-1.86,1.94,-0.19,136.13,48.95,0.07
5.55,-1.14,1.91,-0.23,149.14,49.49,0.08
5.7,-0.56,2.41,-0.34,166.81,42.69,0.12
5.85,-0.41,3.03,-0.48,172.33,58.62,0.17
6.0,-0.26,3.31,-0.56,175.54,57.64,0.2
6.15,-0.96,3.36,-0.58,164.01,57.77,0.21
6.3,-0.96,3.34,-0.57,163.92,41.82,0.2
6.45,-0.94,2.88,-0.58,161.85,39.66,0.21
6.6,-1.15,2.21,-0.55,152.54,37.81,0.2
6.75,-1.11,1.97,-0.59,150.62,29.2,0.21
6.9,-0.93,2.5,-0.51,159.68,32.09,0.18
7.05,-1.47,2.52,-0.49,149.72,26.21,0.17
7.2,-1.96,2.38,-0.27,140.53,25.72,0.09
7.35,-2.27,2.91,-0.14,142.08,20.98,0.05
7.5,-2.28,3.1,-0.05,143.71,25.77,0.02
7.65,-1.85,3.03,0.2,148.62,32.37,-0.07
7.8,-0.6,2.54,0.21,166.68,32.18,-0.07
7.95,-0.13,2.36,0.44,176.92,30.89,-0.16
8.1,-0.11,2.15,0.55,177.05,31.46,-0.19
8.25,-0.26,2.25,0.55,173.36,31.15,-0.19
8.4,-0.4,2.47,0.55,170.89,30.27,-0.19
8.55,-0.77,3.23,0.67,166.61,19.38,-0.24
8.7,-1.27,3.08,0.66,157.52,16.34,-0.23
8.85,-1.79,2.16,0.57,140.25,11.25,-0.2
9.0,-2.38,1.96,0.53,129.52,10.2,-0.19
9.15,-2.35,1.92,0.39,129.28,10.46,-0.14
9.3,-3.01,2.15,0.32,125.53,12.69,-0.11
9.45,-3.52,3.06,0.29,131.04,12.45,-0.1
