Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,-6.91,-0.69,0.24,84.29,-14.54,-0.08
1.65,-1.45,-3.76,0.13,21.1,-2.74,-0.05
1.8,-0.74,0.45,-0.01,121.4,16.47,0.0
1.95,-0.74,-0.26,0.04,70.46,17.03,-0.01
2.1,-0.17,-0.45,0.14,20.93,18.76,-0.05
2.25,0.11,-0.38,0.13,343.06,18.17,-0.04
2.4,0.14,-0.36,0.01,338.45,17.41,-0.0
2.55,0.29,-0.07,-0.08,282.92,16.69,0.03
2.7,0.21,0.89,-0.12,193.37,18.76,0.04
2.85,0.32,0.69,-0.2,205.13,19.82,0.07
3.0,-0.13,0.7,-0.17,169.2,19.7,0.06
3.15,-0.22,0.31,-0.22,145.06,22.84,0.08
3.3,-0.64,0.21,-0.22,107.82,30.15,0.08
3.45,-1.56,0.37,-0.21,103.24,30.36,0.07
3.6,-2.07,0.61,-0.16,106.35,29.77,0.06
3.75,-2.13,1.03,-0.13,115.79,21.98,0.05
3.9,-2.14,1.29,0.04,121.06,27.17,-0.02
4.05,-2.21,1.38,0.13,121.99,30.85,-0.05
4.2,-1.86,1.56,0.16,130.07,33.2,-0.06
4.35,-1.53,1.99,0.2,142.45,35.84,-0.07
4.5,-1.27,2.23,0.21,150.32,36.95,-0.07
4.65,-1.47,2.63,0.23,150.8,41.06,-0.08
4.8,-1.45,2.71,0.23,151.92,56.9,-0.08
4.95,-1.78,3.12,0.23,150.34,42.37,-0.08
5.1,-1.76,4.17,0.23,157.12,55.24,-0.08
5.25,-1.71,5.07,0.17,161.34,44.7,-0.06
5.4,-1.91,5.26,0.17,160.03,58.63,-0.06
5.55,-1.82,5.0,0.22,159.98,46.16,-0.08
5.7,-2.11,3.86,0.25,151.33,58.84,-0.09
5.85,-2.5,3.5,0.27,144.46,47.16,-0.1
6.0,-3.27,3.27,0.29,134.95,48.49,-0.1
6.15,-3.6,3.07,0.29,130.45,46.27,-0.1
6.3,-3.67,2.84,0.28,127.72,44.83,-0.1
6.45,-3.11,1.36,0.25,113.55,47.89,-0.09
6.6,-2.21,0.35,0.25,99.07,48.36,-0.09
6.75,-1.91,-0.55,0.25,73.87,38.06,-0.09
6.9,-2.08,-0.98,0.3,64.9,35.43,-0.11
