Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,-4.14,0.69,0.72,99.46,-12.75,-0.25
1.65,1.07,0.38,0.24,250.6,-6.27,-0.08
1.8,1.3,0.76,0.05,239.68,13.05,-0.02
1.95,0.77,0.41,0.06,241.73,15.62,-0.02
2.1,-0.08,0.48,0.03,170.58,13.87,-0.01
2.25,-0.15,0.49,0.05,162.99,14.19,-0.02
2.4,-0.04,0.35,0.07,174.19,14.31,-0.02
2.55,0.14,-0.02,0.04,276.59,14.08,-0.02
2.7,-0.07,-0.14,0.04,27.97,17.54,-0.01
2.85,-0.81,0.18,-0.08,102.27,22.45,0.03
3.0,-1.03,0.7,-0.05,124.25,25.76,0.02
3.15,-0.99,1.25,-0.06,141.55,26.48,0.02
3.3,-0.99,1.98,-0.13,153.45,27.42,0.04
3.45,-0.65,2.49,-0.25,165.5,41.03,0.09
3.6,-0.28,2.56,-0.31,173.79,42.33,0.11
3.75,0.46,2.82,-0.45,189.17,27.9,0.16
3.9,1.17,3.32,-0.58,199.48,36.52,0.2
4.05,1.57,3.79,-0.64,202.5,39.19,0.22
4.2,1.96,3.77,-0.75,207.41,40.65,0.27
4.35,2.07,3.47,-0.75,210.87,41.83,0.27
4.5,1.58,3.07,-0.66,207.22,41.71,0.23
4.65,1.05,3.07,-0.41,198.85,39.82,0.14
4.8,-0.05,4.01,-0.29,179.34,39.2,0.1
4.95,-0.48,4.58,-0.29,174.03,39.75,0.1
5.1,-0.17,4.78,-0.3,178.01,37.0,0.11
5.25,0.52,4.99,-0.3,185.99,37.05,0.11
5.4,1.59,4.95,-0.43,197.81,43.49,0.15
5.55,1.82,4.69,-0.5,201.19,47.49,0.18
5.7,1.96,3.57,-0.58,208.78,48.24,0.21
5.85,2.18,2.3,-0.65,223.48,46.9,0.23
6.0,2.39,1.31,-0.84,241.32,39.2,0.3
6.15,1.17,0.37,-1.0,252.42,38.59,0.35
6.3,0.44,0.26,-1.13,239.49,42.85,0.4
6.45,0.41,0.61,-1.14,214.09,43.97,0.4
6.6,1.28,0.53,-1.11,247.49,40.73,0.39
6.75,1.62,0.82,-0.72,243.12,33.51,0.25
6.9,2.13,1.45,-0.47,235.72,34.0,0.17
7.05,1.98,1.81,-0.42,227.5,35.4,0.15
7.2,1.89,1.64,-0.3,229.04,34.45,0.11
7.35,1.74,1.12,-0.35,237.25,32.73,0.12
7.5,0.73,0.99,-0.35,216.4,29.34,0.12
7.65,0.83,0.9,-0.42,222.71,28.7,0.15
