Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,6.22,1.5,-0.48,256.43,-13.18,0.17
1.65,-0.06,0.31,-0.11,168.18,-3.68,0.04
1.8,-0.08,-0.06,0.05,53.7,13.75,-0.02
1.95,-0.34,0.35,0.07,135.58,16.32,-0.02
2.1,-1.07,0.24,0.11,102.63,17.07,-0.04
2.25,-0.89,0.19,0.17,102.2,12.72,-0.06
2.4,-0.64,0.15,0.16,102.85,12.92,-0.06
2.55,-0.71,-0.09,-0.02,83.07,12.44,0.01
2.7,-0.68,-0.11,-0.09,81.21,13.85,0.03
2.85,-0.57,-0.42,-0.01,53.46,15.2,0.0
3.0,0.04,-0.79,0.12,357.28,18.54,-0.04
3.15,-0.12,-0.67,0.17,9.93,22.13,-0.06
3.3,-0.56,-0.19,0.19,71.19,23.42,-0.07
3.45,-1.13,0.45,0.17,111.77,24.56,-0.06
3.6,-1.54,1.67,0.2,137.39,28.44,-0.07
3.75,-1.01,2.32,0.23,156.55,31.86,-0.08
3.9,-0.63,2.74,0.15,167.03,32.77,-0.05
4.05,-0.06,2.71,-0.04,178.63,47.58,0.01
4.2,0.41,2.77,-0.23,188.51,38.54,0.08
4.35,0.48,3.26,-0.27,188.46,45.15,0.09
4.5,0.57,3.62,-0.31,189.0,47.0,0.11
4.65,0.65,4.05,-0.39,189.15,46.84,0.14
4.8,0.8,4.02,-0.43,191.22,44.36,0.15
4.95,0.79,4.09,-0.47,190.93,38.67,0.17
5.1,0.72,4.57,-0.5,188.95,39.59,0.18
5.25,0.74,5.08,-0.42,188.31,41.57,0.15
5.4,0.14,4.63,-0.38,181.74,48.92,0.14
5.55,-0.09,3.82,-0.27,178.66,41.42,0.1
5.7,-0.86,3.17,-0.2,164.87,42.25,0.07
5.85,-1.26,2.78,-0.17,155.66,32.24,0.06
6.0,-2.34,2.69,-0.17,138.98,38.14,0.06
6.15,-3.15,2.69,-0.23,130.55,38.89,0.08
6.3,-2.88,2.4,-0.24,129.8,42.84,0.09
6.45,-2.14,1.08,-0.26,116.7,42.06,0.09
6.6,-1.3,0.16,-0.31,97.2,36.73,0.11
6.75,-0.92,0.12,-0.31,97.45,37.21,0.11
6.9,-1.09,0.59,-0.35,118.66,36.3,0.13
7.05,-1.28,0.86,-0.23,123.91,34.42,0.08
7.2,-1.72,0.38,-0.12,102.58,32.37,0.04
7.35,-1.82,0.17,-0.11,95.32,32.5,0.04
7.5,-1.99,-0.08,-0.14,87.69,28.64,0.05
7.65,-2.31,0.14,0.02,93.56,25.8,-0.01
7.8,-2.48,0.89,0.09,109.77,21.98,-0.03
7.95,-2.33,1.68,0.18,125.7,20.77,-0.06
8.1,-1.86,1.99,0.07,136.88,18.01,-0.02
8.25,-1.43,2.5,-0.03,150.17,17.15,0.01
8.4,-1.11,2.26,-0.05,153.85,17.57,0.02
8.55,-1.44,3.1,-0.1,154.99,18.65,0.03
8.7,-1.54,2.84,-0.14,151.53,14.77,0.05
8.85,-1.55,2.64,-0.03,149.62,10.76,0.01
9.0,-1.74,2.63,-0.08,146.58,9.74,0.03
9.15,-1.84,1.35,-0.22,126.2,15.75,0.08
9.3,-1.7,1.39,-0.32,129.26,18.68,0.11
9.45,-2.13,-0.51,-0.35,76.51,18.51,0.12
9.6,-3.25,0.62,-0.43,100.76,21.91,0.15
9.75,-3.18,1.09,-0.41,108.89,16.16,0.14
9.9,-3.58,1.07,-0.37,106.6,16.93,0.13
10.05,-2.38,0.11,-0.27,92.58,14.73,0.1
10.2,-1.87,0.48,-0.28,104.46,14.58,0.1
10.35,-2.13,0.99,-0.25,115.01,13.27,0.09
10.5,-2.06,1.22,-0.22,120.66,9.27,0.08
10.65,-1.91,-0.98,-0.08,62.75,3.48,0.03
10.8,-4.58,0.78,0.12,99.7,-1.8,-0.04
10.95,-3.95,2.27,0.22,119.83,-4.36,-0.08
11.1,-3.74,2.89,-0.15,127.75,-3.92,0.05
11.25,-6.38,2.99,-0.18,115.1,-5.26,0.06
11.4,-3.23,2.97,-0.23,132.57,-3.85,0.08
11.55,-5.26,2.28,-0.21,113.45,-6.8,0.07
11.7,-2.98,1.86,-0.04,121.93,-5.25,0.02
11.85,-3.44,-4.93,-0.1,34.93,-8.77,0.04
12.0,-2.83,2.41,0.02,130.5,-8.18,-0.01
12.15,-3.95,6.23,0.13,147.64,-9.1,-0.05
12.3,-4.56,2.54,0.19,119.1,-12.17,-0.07
12.45,-4.4,2.14,-0.24,115.9,-13.34,0.08
12.6,-4.26,2.06,-0.31,115.8,-8.27,0.11
