Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,2.76,0.69,1.2,255.96,-14.54,-0.42
1.65,0.69,4.43,0.37,188.87,-3.22,-0.13
1.8,0.23,2.04,0.16,186.4,11.46,-0.06
1.95,0.32,-0.2,0.11,302.41,15.12,-0.04
2.1,0.17,-0.02,0.05,277.12,17.04,-0.02
2.25,-0.14,-0.41,-0.01,18.42,15.64,0.0
2.4,0.18,-0.19,0.1,316.94,16.37,-0.04
2.55,0.65,-0.5,0.36,307.49,19.12,-0.13
2.7,0.85,-0.56,0.51,303.43,26.29,-0.18
2.85,0.58,-0.44,0.53,307.07,27.65,-0.19
3.0,0.55,-0.39,0.34,305.0,23.17,-0.12
3.15,0.18,-0.35,0.25,332.58,22.3,-0.09
3.3,-0.21,-0.13,0.2,57.42,24.09,-0.07
3.45,-0.96,0.49,0.16,116.82,22.51,-0.06
3.6,-1.15,1.4,0.21,140.47,24.66,-0.08
3.75,-1.0,1.49,0.16,146.21,24.73,-0.06
3.9,-0.43,1.67,0.04,165.59,27.03,-0.01
4.05,-0.1,1.62,-0.17,176.31,33.68,0.06
4.2,-0.29,1.99,-0.19,171.74,36.88,0.07
4.35,-0.11,2.15,-0.19,177.04,42.56,0.07
4.5,0.36,2.37,-0.2,188.67,40.43,0.07
4.65,-0.33,2.03,-0.22,170.78,40.41,0.08
4.8,-1.66,1.82,-0.24,137.7,40.11,0.08
4.95,-1.84,1.91,-0.24,136.06,38.57,0.09
5.1,-1.99,2.38,-0.23,140.09,42.49,0.08
5.25,-1.7,2.64,-0.09,147.16,55.28,0.03
5.4,-1.82,2.74,-0.04,146.45,45.64,0.01
5.55,-1.95,2.32,0.06,139.97,44.1,-0.02
5.7,-1.85,1.42,0.04,127.46,38.76,-0.02
5.85,-2.02,0.64,-0.12,107.47,33.06,0.04
6.0,-2.1,0.52,0.05,103.86,38.69,-0.02
6.15,-2.48,0.18,-0.09,94.09,33.51,0.03
6.3,-2.34,-0.15,-0.03,86.36,33.41,0.01
6.45,-1.08,-1.25,-0.03,40.82,27.83,0.01
6.6,-0.7,-1.28,-0.02,28.77,28.77,0.01
6.75,-1.53,-1.54,-0.01,44.76,25.68,0.0
6.9,-1.63,-1.59,-0.08,45.64,26.29,0.03
7.05,-2.6,-1.63,-0.23,57.99,32.15,0.08
7.2,-3.28,-1.01,-0.31,72.79,42.96,0.11
7.35,-3.61,-0.25,-0.31,86.09,42.92,0.11
7.5,-3.79,-0.12,-0.32,88.14,39.59,0.11
7.65,-3.67,-0.14,-0.3,87.79,38.66,0.11
7.8,-3.68,1.0,-0.3,105.2,36.43,0.11
7.95,-3.77,1.52,-0.25,111.99,25.99,0.09
8.1,-3.85,1.78,-0.14,114.81,19.36,0.05
8.25,-3.73,2.15,0.03,120.0,18.67,-0.01
8.4,-3.34,2.61,0.2,127.99,22.16,-0.07
8.55,-3.07,3.09,0.22,135.19,23.06,-0.08
8.7,-2.45,3.41,0.23,144.25,25.77,-0.08
