Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,-8.29,0.0,1.44,90.0,-14.54,-0.51
1.65,-0.0,0.69,0.24,180.0,-4.75,-0.08
1.8,0.92,0.43,0.08,245.02,13.62,-0.03
1.95,-0.04,0.41,0.11,173.71,13.86,-0.04
2.1,-0.33,0.16,0.05,115.52,15.96,-0.02
2.25,-0.12,-0.02,0.02,82.16,13.1,-0.01
2.4,0.33,0.04,-0.09,263.78,12.75,0.03
2.55,0.46,-0.16,0.12,288.7,13.28,-0.04
2.7,0.71,-0.47,0.28,303.61,17.58,-0.1
2.85,0.67,-0.5,0.32,307.16,19.6,-0.11
3.0,0.01,-0.24,0.19,356.48,19.87,-0.07
3.15,-0.37,0.6,0.13,148.3,20.01,-0.04
3.3,-1.38,0.29,0.03,101.82,21.95,-0.01
3.45,-1.54,0.06,-0.12,92.09,24.62,0.04
3.6,-1.97,-0.23,-0.07,83.39,24.37,0.03
3.75,-1.79,-0.73,-0.16,67.75,29.09,0.06
3.9,-1.84,-0.87,-0.25,64.87,32.07,0.09
4.05,-1.75,0.82,-0.39,115.07,47.18,0.14
4.2,-1.68,2.11,-0.38,141.58,38.01,0.13
4.35,-1.83,2.41,-0.25,142.91,40.7,0.09
4.5,-2.14,2.74,-0.12,141.94,36.98,0.04
4.65,-2.45,2.64,0.08,137.08,32.28,-0.03
4.8,-2.86,2.64,0.19,132.65,29.33,-0.07
4.95,-3.26,2.59,0.24,128.46,28.93,-0.08
5.1,-2.95,2.41,0.25,129.24,38.35,-0.09
5.25,-2.52,2.78,0.21,137.77,39.23,-0.08
5.4,-2.16,3.05,0.06,144.66,36.41,-0.02
5.55,-2.19,3.18,-0.15,145.52,35.79,0.05
5.7,-2.23,2.72,-0.35,140.59,39.23,0.12
5.85,-2.64,2.48,-0.44,133.29,41.48,0.15
6.0,-2.96,2.53,-0.46,130.46,38.21,0.16
6.15,-3.77,2.36,-0.49,122.05,36.25,0.17
6.3,-3.85,1.99,-0.51,117.29,35.8,0.18
6.45,-3.31,2.14,-0.52,122.9,40.28,0.18
6.6,-2.85,2.42,-0.5,130.33,40.99,0.18
6.75,-2.8,1.66,-0.5,120.64,39.33,0.18
6.9,-2.69,1.03,-0.52,110.93,27.63,0.18
7.05,-2.6,0.67,-0.48,104.5,27.01,0.17
7.2,-2.75,0.6,-0.53,102.34,29.41,0.19
7.35,-2.87,1.01,-0.48,109.33,31.94,0.17
7.5,-3.3,1.03,-0.44,107.36,32.42,0.16
7.65,-3.32,1.34,-0.37,111.93,31.48,0.13
7.8,-3.47,1.14,-0.32,108.17,30.19,0.11
7.95,-3.17,2.3,-0.25,125.96,29.79,0.09
8.1,-2.74,3.13,-0.1,138.81,26.86,0.04
8.25,-2.59,3.6,0.08,144.3,21.21,-0.03
8.4,-2.67,3.98,0.04,146.08,16.15,-0.01
8.55,-2.66,4.03,-0.13,146.59,15.76,0.05
8.7,-2.04,1.77,-0.19,130.84,12.99,0.07
8.85,-1.8,1.72,-0.26,133.66,17.72,0.09
9.0,-2.88,2.31,-0.2,128.82,14.46,0.07
9.15,-3.46,2.4,-0.22,124.72,19.45,0.08
9.3,-3.26,1.85,-0.15,119.51,12.99,0.05
9.45,-3.57,1.52,0.17,113.11,6.12,-0.06
9.6,-3.94,2.0,0.09,116.89,4.7,-0.03
9.75,-4.15,2.4,-0.13,120.08,4.1,0.05
9.9,-3.89,2.24,0.06,119.88,2.91,-0.02
10.05,-0.92,1.38,-0.13,146.39,7.62,0.05
10.2,-0.99,0.64,0.13,123.09,5.03,-0.05
10.35,-0.49,-0.44,0.11,48.32,5.83,-0.04
10.5,-0.81,4.41,0.11,169.53,2.94,-0.04
10.65,-0.89,2.47,0.05,160.27,3.43,-0.02
10.8,-2.66,1.85,0.14,124.76,1.43,-0.05
10.95,-2.79,1.45,0.23,117.44,-0.21,-0.08
11.1,-2.59,2.71,-0.11,136.34,-2.57,0.04
11.25,-3.43,2.9,1.08,130.19,-2.94,-0.38
11.4,-5.37,3.07,1.19,119.75,-5.0,-0.42
11.55,-6.64,2.45,1.28,110.23,-7.41,-0.45
11.7,-6.03,2.69,1.31,114.07,-10.56,-0.46
11.85,-3.69,1.65,0.2,114.09,-8.32,-0.07
12.0,-4.39,1.22,0.44,105.57,-7.96,-0.15
12.15,-3.35,3.01,1.11,131.97,-7.86,-0.39
12.3,-4.39,5.24,1.43,140.05,-8.87,-0.51
12.45,-4.86,4.23,0.05,130.99,1.62,-0.02
12.6,-2.76,3.67,0.13,143.02,-3.16,-0.04
12.75,-1.88,4.0,0.08,154.82,-2.47,-0.03
12.9,0.12,0.72,0.05,189.77,2.82,-0.02
13.05,0.18,0.68,0.02,195.05,1.9,-0.01
13.2,0.32,4.74,0.12,183.87,-8.62,-0.04
13.35,-5.08,5.14,1.44,135.33,-14.54,-0.51
13.5,-9.34,4.62,1.44,116.35,-11.2,-0.51
13.65,-5.23,4.77,1.52,132.35,-9.17,-0.54
13.8,-4.56,7.51,0.46,148.74,-9.29,-0.16
13.95,-3.79,4.45,0.29,139.57,-9.58,-0.1
14.1,-3.05,6.34,0.25,154.29,-9.25,-0.09
14.25,-3.2,2.66,0.21,129.73,-10.44,-0.07
14.4,-2.33,7.08,1.68,161.83,-14.54,-0.59
14.55,-3.22,6.35,0.03,153.13,2.25,-0.01
14.7,-1.14,-1.99,0.08,29.83,-7.48,-0.03
14.85,-1.53,-1.86,-0.11,39.58,-5.83,0.04
15.0,-4.67,-1.66,-0.18,70.42,-0.62,0.07
15.15,-5.24,-0.06,-0.32,89.37,-5.65,0.11
15.3,-7.01,11.0,-0.25,147.5,-8.02,0.09
15.45,-7.56,12.4,-0.29,148.62,-12.37,0.1
15.6,-7.69,4.74,-0.29,121.67,-12.19,0.1
15.75,-7.7,4.37,-0.23,119.58,-9.03,0.08
15.9,-7.46,4.48,-0.01,120.96,-8.71,0.0
16.05,-9.54,5.89,-0.23,121.7,-6.25,0.08
16.2,-1.51,5.97,0.74,165.82,-9.26,-0.26
16.35,-2.13,8.7,-0.11,166.26,7.06,0.04
16.5,-2.27,9.04,0.15,165.91,-4.39,-0.05
16.65,-2.5,5.79,0.11,156.68,-1.01,-0.04
16.8,-8.19,2.7,0.17,108.23,-1.33,-0.06
16.95,-7.99,-0.04,0.2,89.7,-1.89,-0.07
17.1,-8.41,-1.53,0.34,79.7,3.28,-0.12
17.25,-8.83,-2.04,0.46,77.01,4.61,-0.16
17.4,0.64,-3.39,0.43,349.37,13.96,-0.15
17.55,0.57,-3.48,0.42,350.76,13.96,-0.15
17.7,-5.99,-3.72,0.41,58.16,7.55,-0.15
17.85,0.67,-2.07,0.37,342.04,4.19,-0.13
18.0,2.54,1.29,0.45,242.98,4.96,-0.16
18.15,0.73,2.82,0.34,194.56,4.37,-0.12
18.3,-5.95,7.85,0.33,142.84,5.86,-0.12
18.45,-2.18,7.87,0.21,164.51,4.41,-0.07
18.6,-1.89,6.07,0.21,162.71,5.76,-0.07
18.75,-0.0,5.53,0.24,180.0,2.68,-0.08
18.9,1.55,6.5,0.26,193.39,1.59,-0.09
19.05,-4.04,5.75,0.2,144.94,1.62,-0.07
19.2,-2.21,0.91,0.18,112.48,1.83,-0.06
19.35,-6.07,-0.42,0.1,86.01,13.38,-0.03
19.5,-10.18,-0.32,0.18,88.23,9.77,-0.06
19.65,-8.96,-0.47,0.18,87.02,2.92,-0.06
19.8,-2.51,-0.19,0.23,85.78,0.99,-0.08
19.95,-2.65,0.03,0.24,90.64,0.04,-0.09
20.1,1.93,2.36,-0.11,219.17,-6.77,0.04
20.25,3.51,2.04,-0.31,239.85,-6.06,0.11
20.4,3.65,2.0,-0.52,241.33,2.44,0.18
20.55,1.8,2.3,-0.52,218.0,2.27,0.18
20.7,-0.13,1.59,-0.32,175.33,-4.94,0.11
20.85,-3.25,1.78,-0.27,118.63,-6.05,0.09
21.0,-3.27,8.29,-0.3,158.46,-5.03,0.11
21.15,-3.05,5.53,-0.37,151.09,-5.9,0.13
21.3,-2.14,6.91,-0.51,162.76,-9.08,0.18
21.45,-2.76,7.07,-0.44,158.66,-9.0,0.16
21.6,-2.79,-1.92,0.01,55.44,-5.36,-0.0
21.75,-0.69,8.99,0.01,175.6,-5.41,-0.0
21.9,4.14,1.52,0.33,249.92,-3.99,-0.12
22.05,3.58,1.51,0.45,247.12,-10.38,-0.16
22.2,3.59,-1.53,0.2,293.04,-12.58,-0.07
22.35,-2.07,-1.31,1.92,57.75,-14.54,-0.68
22.5,-6.18,-1.44,0.24,76.91,-13.53,-0.08
22.65,-7.42,-1.48,0.24,78.73,-13.76,-0.08
22.8,-4.99,-2.76,0.2,61.04,-12.55,-0.07
22.95,-6.35,-4.49,-0.29,54.75,-12.1,0.1
23.1,-3.32,-3.79,-0.29,41.22,-11.96,0.1
23.25,-5.82,-2.27,-0.29,68.71,-11.97,0.1
23.4,1.07,-1.3,-0.24,320.69,-12.93,0.08
23.55,-4.35,-1.15,-0.24,75.17,-13.12,0.08
23.7,-0.56,0.02,0.2,92.17,-12.59,-0.07
23.85,-0.69,2.2,0.2,162.55,-12.88,-0.07
24.0,-3.88,-1.5,0.2,68.88,-12.92,-0.07
24.15,-0.13,-2.07,-0.0,3.64,-13.66,0.0
24.3,-4.42,5.53,-0.04,141.38,-12.95,0.01
24.45,-0.27,6.45,-0.03,177.64,-13.15,0.01
24.6,-1.08,7.6,0.24,171.88,-13.74,-0.08
24.75,-0.97,1.49,0.43,146.94,-12.12,-0.15
24.9,-0.89,-1.53,0.43,30.08,-11.95,-0.15
25.05,-8.42,4.14,0.24,116.2,-12.84,-0.08
25.2,-12.57,-0.0,0.29,90.0,-12.12,-0.1
25.35,-8.29,0.0,0.29,90.0,-12.2,-0.1
