Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,-7.6,2.07,1.92,105.26,-14.54,-0.68
1.65,2.76,-2.07,-0.11,306.87,-2.99,0.04
1.8,0.49,-0.45,0.02,312.07,13.81,-0.01
1.95,-0.71,-1.23,0.08,29.92,17.26,-0.03
2.1,2.18,-0.42,0.09,280.95,18.27,-0.03
2.25,-0.79,-0.35,-0.03,66.33,16.43,0.01
2.4,0.57,0.31,0.06,241.66,11.64,-0.02
2.55,-0.36,0.34,0.19,134.03,23.95,-0.07
2.7,-0.48,0.7,0.18,145.73,15.6,-0.06
2.85,-0.87,1.04,0.16,140.19,17.04,-0.06
3.0,-1.27,1.06,0.26,129.8,20.97,-0.09
3.15,-1.01,0.95,0.31,133.39,23.19,-0.11
3.3,-0.6,0.16,0.37,104.64,27.77,-0.13
3.45,-0.08,-0.17,0.45,24.42,22.62,-0.16
3.6,-0.3,-0.32,0.4,43.89,26.04,-0.14
3.75,-0.17,-0.78,0.48,12.55,23.43,-0.17
3.9,-0.59,-1.54,0.63,21.02,27.35,-0.22
4.05,-0.46,-1.58,0.82,16.25,31.01,-0.29
4.2,-0.49,-1.11,0.89,23.64,40.18,-0.32
4.35,-0.45,-0.91,0.91,26.26,41.7,-0.32
4.5,-0.85,-0.71,0.93,50.09,40.49,-0.33
4.65,-1.08,-0.3,0.85,74.48,39.46,-0.3
4.8,-1.66,-0.03,0.72,89.05,41.8,-0.25
4.95,-1.86,0.71,0.72,110.87,42.33,-0.26
5.1,-2.02,1.05,0.59,117.54,43.32,-0.21
5.25,-2.41,1.34,0.57,119.09,42.12,-0.2
5.4,-2.14,1.33,0.56,121.77,42.66,-0.2
5.55,-2.24,0.44,0.57,101.21,39.9,-0.2
5.7,-2.4,0.76,0.55,107.64,41.17,-0.2
5.85,-3.21,0.8,0.47,104.0,34.37,-0.16
6.0,-3.21,1.33,0.44,112.5,38.49,-0.15
6.15,-2.69,1.14,0.27,112.93,38.59,-0.1
6.3,-2.35,1.31,0.25,119.04,38.68,-0.09
6.45,-1.13,1.61,0.25,144.93,24.62,-0.09
6.6,0.52,1.51,0.22,198.8,20.74,-0.08
6.75,0.48,1.21,0.16,201.77,22.4,-0.06
6.9,0.73,0.85,0.12,220.46,20.52,-0.04
7.05,-0.03,1.05,0.03,178.4,23.12,-0.01
7.2,-1.44,0.66,-0.12,114.53,23.69,0.04
7.35,-2.99,0.89,-0.14,106.62,24.09,0.05
7.5,-3.79,0.75,0.01,101.13,21.96,-0.0
7.65,-3.69,0.7,0.08,100.68,21.6,-0.03
7.8,-3.57,0.45,0.14,97.16,23.68,-0.05
7.95,-3.41,0.21,0.21,93.58,31.12,-0.08
8.1,-3.27,0.1,0.27,91.68,31.72,-0.1
