Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,-1.38,0.69,1.68,116.57,-14.54,-0.59
1.65,-1.38,-1.38,-0.11,45.0,-3.72,0.04
1.8,-0.42,-0.23,0.07,60.83,15.57,-0.03
1.95,-0.2,-0.05,0.08,75.34,19.69,-0.03
2.1,0.24,0.45,0.08,207.55,20.72,-0.03
2.25,0.46,0.12,0.02,255.46,17.55,-0.01
2.4,0.22,0.11,0.05,242.98,14.96,-0.02
2.55,-0.48,0.22,0.08,114.01,8.02,-0.03
2.7,-0.38,0.6,0.13,147.58,12.18,-0.05
2.85,-0.68,1.44,0.18,154.71,12.25,-0.06
3.0,-1.23,0.73,0.17,120.56,15.12,-0.06
3.15,-1.03,0.71,0.15,124.42,16.32,-0.05
3.3,-1.49,0.36,0.11,103.67,16.24,-0.04
3.45,-1.98,0.56,0.14,105.78,18.04,-0.05
3.6,-2.4,1.25,0.26,117.49,30.2,-0.09
3.75,-3.11,1.96,0.25,122.18,29.81,-0.09
3.9,-3.16,2.0,0.28,122.36,28.1,-0.1
4.05,-2.99,2.25,0.32,127.0,29.72,-0.11
4.2,-2.67,1.66,0.41,121.86,34.32,-0.14
4.35,-2.61,1.97,0.43,127.08,41.6,-0.15
4.5,-2.46,2.28,0.41,132.9,45.44,-0.15
4.65,-2.58,2.48,0.4,133.81,46.02,-0.14
4.8,-2.61,3.17,0.42,140.57,48.07,-0.15
4.95,-2.84,3.64,0.51,142.02,49.01,-0.18
5.1,-3.01,3.99,0.54,143.01,49.07,-0.19
5.25,-3.1,4.37,0.59,144.66,48.09,-0.21
5.4,-3.05,4.26,0.58,144.38,50.87,-0.2
5.55,-2.6,3.33,0.54,142.01,45.55,-0.19
5.7,-2.51,2.15,0.45,130.5,48.2,-0.16
5.85,-3.04,1.01,0.33,108.35,45.78,-0.12
6.0,-3.31,0.86,0.3,104.6,48.74,-0.1
6.15,-3.18,0.33,0.3,95.92,59.66,-0.11
6.3,-2.01,-0.37,0.25,79.59,43.31,-0.09
6.45,-1.52,-0.91,0.33,58.97,32.47,-0.12
6.6,-1.44,-1.14,0.41,51.46,33.62,-0.14
6.75,-1.48,-1.66,0.47,41.81,35.73,-0.17
6.9,-1.84,-1.53,0.43,50.34,33.66,-0.15
7.05,-2.7,-2.34,0.64,49.1,25.86,-0.22
7.2,-3.9,-2.28,0.63,59.74,24.61,-0.22
7.35,-5.16,-1.68,0.65,71.97,25.94,-0.23
7.5,-4.64,-1.19,0.67,75.57,33.51,-0.24
7.65,-4.09,-1.24,0.66,73.1,36.33,-0.23
7.8,-3.79,-0.95,0.74,75.88,38.84,-0.26
7.95,-3.49,-0.74,0.74,78.08,37.83,-0.26
8.1,-3.43,-0.4,0.63,83.33,34.3,-0.22
8.25,-3.24,0.12,0.39,92.21,25.53,-0.14
8.4,-3.32,0.64,0.32,100.93,23.17,-0.11
8.55,-3.58,1.29,0.29,109.88,20.69,-0.1
8.7,-3.62,1.12,0.19,107.26,10.39,-0.07
8.85,-3.51,0.84,0.08,103.44,10.58,-0.03
9.0,-4.55,0.07,-0.12,90.82,9.13,0.04
9.15,-4.88,-0.15,-0.22,88.2,18.65,0.08
9.3,-4.87,-0.26,-0.2,86.95,16.42,0.07
9.45,-5.48,-0.74,-0.21,82.28,17.05,0.07
9.6,-5.28,0.92,-0.26,99.9,13.23,0.09
9.75,-5.04,1.57,-0.29,107.28,8.64,0.1
9.9,-4.37,1.32,-0.23,106.74,6.81,0.08
10.05,-1.21,-0.34,-0.15,74.17,6.9,0.05
10.2,-0.77,-0.44,-0.29,60.16,11.12,0.1
10.35,-0.12,-0.29,-0.29,23.14,11.22,0.1
10.5,-0.69,0.62,-0.17,131.99,4.2,0.06
10.65,-0.64,0.77,-0.09,140.25,2.56,0.03
10.8,-2.75,1.64,0.21,120.85,-0.77,-0.08
10.95,-3.13,1.87,0.17,120.86,-6.83,-0.06
11.1,-3.58,1.07,1.22,106.72,-10.02,-0.43
11.25,-5.12,1.28,-0.5,104.04,-7.98,0.18
11.4,-5.78,1.39,-0.3,103.49,-2.09,0.11
11.55,-6.53,4.53,-0.31,124.76,4.32,0.11
11.7,-5.83,1.67,-0.34,105.95,-2.3,0.12
11.85,-3.58,1.19,-0.28,108.38,-5.83,0.1
12.0,-3.79,0.68,-0.34,100.21,-10.25,0.12
12.15,-6.09,0.1,0.46,90.93,-10.91,-0.16
12.3,-5.61,2.13,-0.13,110.73,-7.99,0.05
12.45,-4.29,1.93,-0.16,114.29,-7.56,0.06
12.6,-4.45,2.38,-0.34,118.17,-5.06,0.12
12.75,-4.52,1.63,-0.32,109.8,-4.4,0.11
12.9,-0.21,0.08,-0.19,109.5,1.9,0.07
13.05,0.13,0.02,-0.17,261.59,1.89,0.06
13.2,-4.05,1.3,-0.31,107.78,1.09,0.11
13.35,-4.83,-1.64,-0.46,71.27,-1.61,0.16
13.5,-4.11,-2.26,-0.58,61.17,-2.38,0.2
13.65,-3.83,-3.17,-0.54,50.36,-8.27,0.19
13.8,-3.81,-4.89,-0.37,37.91,-10.92,0.13
13.95,-3.64,-5.55,-0.24,33.24,-13.31,0.08
14.1,-3.49,-5.12,0.19,34.26,-12.41,-0.07
14.25,-4.02,-4.82,-0.21,39.87,-8.24,0.07
14.4,-2.9,-0.69,-0.11,76.59,-7.02,0.04
14.55,-4.03,-2.75,0.07,55.65,-6.65,-0.02
14.7,-4.3,-2.85,0.28,56.49,-5.74,-0.1
14.85,-3.29,-1.4,0.25,66.87,-6.02,-0.09
15.0,-5.94,-0.59,0.2,84.29,-5.49,-0.07
