Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,1.38,8.29,2.4,189.46,-14.54,-0.85
1.65,5.92,6.51,0.24,222.27,-4.13,-0.08
1.8,-0.11,1.43,0.11,175.67,26.02,-0.04
1.95,-0.52,1.39,0.04,159.29,30.66,-0.01
2.1,-0.27,-0.07,-0.0,76.29,14.82,0.0
2.25,-0.84,0.16,0.07,100.52,13.14,-0.02
2.4,0.17,-0.01,-0.04,273.35,30.76,0.01
2.55,0.08,-0.3,-0.18,344.35,34.06,0.06
2.7,0.23,0.69,-0.31,198.17,40.99,0.11
2.85,0.08,1.46,-0.33,182.97,28.58,0.12
3.0,0.34,1.49,-0.36,192.78,27.84,0.13
3.15,0.95,0.62,-0.32,236.83,28.71,0.11
3.3,0.92,0.07,-0.31,265.96,28.06,0.11
3.45,0.68,0.2,-0.26,253.67,25.57,0.09
3.6,0.07,0.69,-0.22,185.5,21.9,0.08
3.75,-0.38,1.28,-0.19,163.31,20.68,0.07
3.9,-0.64,2.48,-0.1,165.59,21.94,0.03
4.05,0.35,2.73,0.09,187.2,29.84,-0.03
4.2,1.11,3.25,0.1,198.93,36.26,-0.04
4.35,1.25,3.53,0.01,199.43,38.23,-0.0
4.5,1.12,3.83,-0.07,196.27,39.27,0.02
4.65,0.24,3.89,-0.19,183.55,38.22,0.07
4.8,-1.1,3.99,-0.21,164.53,34.34,0.07
4.95,-2.01,4.53,-0.1,156.08,33.57,0.03
5.1,-2.3,4.79,0.07,154.32,32.84,-0.03
5.25,-2.22,4.93,0.08,155.76,35.03,-0.03
5.4,-2.13,4.63,0.12,155.33,34.33,-0.04
5.55,-2.25,3.86,0.11,149.76,36.57,-0.04
5.7,-1.38,3.04,0.26,155.51,44.25,-0.09
5.85,-1.18,2.87,0.24,157.6,44.73,-0.09
6.0,-0.72,3.08,0.32,166.88,39.52,-0.11
6.15,-0.71,3.03,0.39,166.79,37.86,-0.14
6.3,0.28,2.78,0.46,185.82,56.05,-0.16
6.45,0.68,2.58,0.45,194.72,61.31,-0.16
6.6,0.85,2.0,0.45,203.03,42.92,-0.16
6.75,0.74,2.0,0.32,200.38,35.12,-0.11
6.9,0.05,2.09,-0.03,181.48,31.58,0.01
7.05,-0.87,2.54,-0.2,161.1,31.45,0.07
7.2,-1.89,2.92,-0.27,147.1,47.13,0.09
7.35,-3.13,3.18,-0.28,135.37,48.65,0.1
7.5,-3.15,3.13,-0.27,134.83,48.16,0.1
7.65,-3.68,2.93,-0.42,128.47,38.45,0.15
7.8,-3.64,2.42,-0.47,123.67,31.84,0.17
7.95,-3.89,2.27,-0.56,120.32,31.29,0.2
8.1,-3.73,2.23,-0.54,120.91,28.31,0.19
8.25,-3.32,2.73,-0.51,129.37,27.77,0.18
8.4,-2.85,3.23,-0.5,138.5,27.51,0.18
8.55,-2.96,3.73,-0.52,141.55,32.63,0.18
8.7,-3.14,3.68,-0.52,139.45,26.44,0.18
8.85,-3.25,3.24,-0.7,134.91,21.31,0.25
9.0,-3.28,2.86,-0.72,131.04,17.35,0.26
9.15,-3.73,2.25,-0.66,121.17,11.84,0.23
9.3,-3.98,1.92,-0.14,115.78,9.15,0.05
9.45,-3.74,1.17,0.08,107.44,7.31,-0.03
9.6,-2.36,2.41,-0.59,135.56,4.83,0.21
9.75,-5.12,3.75,-0.71,126.22,11.34,0.25
9.9,-5.15,3.72,-0.75,125.84,17.81,0.27
10.05,-4.57,3.39,-0.74,126.55,17.52,0.26
10.2,-4.54,4.22,-0.7,132.93,13.11,0.25
10.35,-3.49,3.5,-0.62,135.09,7.36,0.22
10.5,-3.8,3.04,-0.58,128.65,-1.64,0.21
10.65,-3.34,2.52,-0.59,127.04,-3.78,0.21
10.8,-3.76,2.89,-0.65,127.53,1.13,0.23
10.95,-3.83,4.31,-0.66,138.39,2.29,0.23
11.1,-4.59,4.94,-0.61,137.12,1.07,0.22
11.25,-5.66,5.32,-0.57,133.23,-0.0,0.2
11.4,-5.51,4.92,-0.54,131.75,1.8,0.19
11.55,-5.53,4.89,-0.48,131.5,0.99,0.17
11.7,-5.99,3.8,-0.37,122.36,0.87,0.13
11.85,-4.51,4.63,-0.29,135.74,-1.09,0.1
12.0,-3.54,3.69,0.01,136.19,-6.95,-0.0
12.15,-6.59,3.97,-0.17,121.04,-8.9,0.06
12.3,-7.12,7.51,-0.3,136.51,4.99,0.11
12.45,-4.92,7.47,-0.35,146.59,-6.08,0.12
12.6,-4.68,1.38,-0.16,106.41,-6.97,0.06
12.75,-2.95,1.68,-0.03,119.69,-5.3,0.01
12.9,-3.29,-0.63,-0.08,79.22,1.72,0.03
13.05,-2.93,-0.85,-0.08,73.84,1.93,0.03
13.2,-4.67,3.16,0.1,124.1,-10.75,-0.04
13.35,-5.09,1.73,0.24,108.78,-13.2,-0.08
13.5,-5.36,1.44,-0.29,104.99,-11.91,0.1
13.65,-5.32,1.44,-0.18,105.1,-11.57,0.07
13.8,-5.55,-2.59,-0.05,65.0,-12.14,0.02
13.95,-2.07,-3.17,0.24,33.1,-13.35,-0.08
14.1,-1.53,-3.23,0.24,25.33,-13.47,-0.08
14.25,-5.01,-2.76,1.8,61.14,-13.76,-0.64
14.4,-4.87,-2.76,0.24,60.45,-13.17,-0.08
14.55,-4.97,-4.18,0.22,49.95,-10.36,-0.08
14.7,-5.35,-3.3,-0.04,58.31,-6.88,0.01
14.85,-4.98,-1.5,-0.14,73.2,-5.99,0.05
15.0,-5.11,0.53,-0.15,95.92,-6.21,0.05
15.15,-5.54,1.85,-0.18,108.49,-10.94,0.07
15.3,-5.86,6.0,1.2,135.64,-14.54,-0.42
15.45,-5.98,6.33,1.2,136.66,-14.54,-0.42
15.6,-4.83,6.91,1.2,145.04,-14.54,-0.42
15.75,-3.8,5.65,1.2,146.13,-14.54,-0.42
