Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,-4.84,-8.43,0.72,29.84,-14.54,-0.25
1.65,0.68,6.22,0.13,186.27,-2.58,-0.05
1.8,0.42,0.69,0.15,211.06,32.9,-0.05
1.95,0.14,0.26,0.03,207.96,17.39,-0.01
2.1,0.16,-0.16,0.02,314.99,17.01,-0.01
2.25,0.13,-0.15,-0.01,320.14,18.05,0.0
2.4,0.12,0.25,0.09,204.86,17.94,-0.03
2.55,-0.35,0.6,-0.02,149.92,19.22,0.01
2.7,-0.68,0.17,-0.11,103.91,23.07,0.04
2.85,-0.4,-0.39,-0.19,45.49,24.51,0.07
3.0,-0.26,-1.46,-0.08,9.96,24.79,0.03
3.15,-0.81,-1.14,0.03,35.47,40.17,-0.01
3.3,-1.63,0.04,0.13,91.48,29.18,-0.04
3.45,-2.9,0.86,0.28,106.56,34.03,-0.1
3.6,-3.01,1.04,0.29,109.06,41.57,-0.1
3.75,-2.4,1.32,0.22,118.9,36.94,-0.08
3.9,-1.75,1.74,-0.04,134.94,35.05,0.01
4.05,-0.91,2.21,-0.17,157.66,34.79,0.06
4.2,-1.03,2.32,-0.2,156.11,61.72,0.07
4.35,-0.87,2.51,-0.23,160.86,62.36,0.08
4.5,-0.83,2.67,-0.23,162.73,62.3,0.08
4.65,-0.7,2.98,-0.21,166.72,35.97,0.08
4.8,-1.11,2.94,-0.18,159.26,32.04,0.06
4.95,-2.07,3.24,-0.28,147.38,33.0,0.1
5.1,-2.46,3.98,-0.29,148.27,37.61,0.1
5.25,-2.25,5.43,-0.21,157.51,45.88,0.07
5.4,-2.36,5.61,-0.21,157.17,46.0,0.07
5.55,-2.38,5.42,-0.22,156.29,38.6,0.08
5.7,-2.0,3.5,-0.21,150.18,32.88,0.07
5.85,-1.78,2.65,-0.21,146.04,31.19,0.07
6.0,-1.87,2.69,-0.17,145.15,46.93,0.06
6.15,-1.88,2.8,-0.07,146.15,32.95,0.02
6.3,-1.82,2.61,-0.01,145.07,30.34,0.0
6.45,-1.56,2.23,0.03,145.02,22.82,-0.01
6.6,-1.49,1.65,0.06,137.81,22.15,-0.02
6.75,-1.28,1.29,0.03,135.12,23.0,-0.01
6.9,-1.69,1.34,-0.1,128.41,20.01,0.04
7.05,-2.1,1.55,-0.07,126.35,15.9,0.02
7.2,-2.75,1.88,-0.02,124.33,15.1,0.01
7.35,-2.7,2.21,-0.14,129.27,21.55,0.05
7.5,-2.79,2.16,-0.08,127.71,26.14,0.03
7.65,-2.62,2.12,0.01,128.95,29.09,-0.0
7.8,-2.47,2.29,0.11,132.74,27.55,-0.04
7.95,-2.32,2.0,0.23,130.66,32.56,-0.08
8.1,-2.52,2.5,0.22,134.78,27.8,-0.08
8.25,-2.7,2.98,0.22,137.8,26.08,-0.08
8.4,-2.99,3.75,0.21,141.41,20.68,-0.08
8.55,-3.05,4.69,0.24,146.99,20.79,-0.08
8.7,-3.21,4.47,0.29,144.3,18.79,-0.1
8.85,-2.92,4.21,0.39,145.21,18.89,-0.14
9.0,-3.24,3.38,0.46,136.22,21.0,-0.16
9.15,-3.62,2.36,0.43,123.07,21.0,-0.15
9.3,-3.75,1.83,0.32,116.06,17.89,-0.11
9.45,-1.71,1.54,0.25,131.94,16.12,-0.09
9.6,-2.85,2.7,0.27,133.43,16.34,-0.09
9.75,-2.45,2.43,0.32,134.74,15.46,-0.11
9.9,-2.95,2.15,0.27,126.03,8.64,-0.1
10.05,-1.74,2.02,0.14,139.18,7.68,-0.05
10.2,-1.35,2.01,0.13,146.2,8.51,-0.05
10.35,-0.74,1.61,0.17,155.43,7.43,-0.06
10.5,-0.39,1.44,0.19,164.79,1.63,-0.07
10.65,-0.44,0.09,0.15,101.08,0.22,-0.05
10.8,-0.52,1.1,0.05,154.88,-1.52,-0.02
10.95,-1.22,1.17,0.08,133.82,-3.48,-0.03
11.1,-1.89,0.97,-0.31,117.22,-4.21,0.11
11.25,-3.41,2.28,-0.23,123.83,-4.46,0.08
11.4,-4.25,2.64,0.01,121.84,-7.35,-0.0
11.55,-4.5,2.97,0.17,123.4,-7.3,-0.06
11.7,-3.48,2.73,0.4,128.13,-9.88,-0.14
11.85,-0.97,0.56,0.11,119.85,-8.59,-0.04
12.0,-0.9,0.32,0.27,109.31,-10.14,-0.1
12.15,-5.2,-0.64,-0.14,83.0,-10.72,0.05
12.3,-3.56,-0.7,-0.63,78.8,-7.51,0.22
12.45,-4.2,-5.75,-0.28,36.11,-6.19,0.1
12.6,-3.13,-6.01,-0.25,27.48,-4.93,0.09
12.75,-1.32,-3.76,0.11,19.33,-2.56,-0.04
12.9,0.3,-0.72,0.19,337.29,3.91,-0.07
13.05,0.63,-1.52,0.24,337.46,4.03,-0.08
13.2,-3.28,-2.16,-0.0,56.66,-7.02,0.0
13.35,-4.18,0.82,-0.15,101.12,-8.01,0.05
13.5,-4.38,0.24,-0.24,93.17,-5.06,0.08
13.65,-3.83,-3.99,-0.17,43.85,-4.6,0.06
13.8,-3.32,-4.4,-0.12,37.03,-4.21,0.04
13.95,-2.87,-4.77,0.15,31.03,-9.12,-0.05
14.1,-2.42,-5.12,-0.03,25.27,-13.52,0.01
14.25,-2.44,-0.54,1.68,77.49,-14.54,-0.59
14.4,-2.06,-0.17,0.24,85.25,-5.89,-0.09
14.55,-2.32,-3.06,0.22,37.2,-4.36,-0.08
14.7,-3.28,-2.84,0.12,49.1,-3.61,-0.04
14.85,-4.46,-1.53,0.03,71.04,-1.76,-0.01
15.0,-6.21,-3.83,0.0,58.31,-1.63,-0.0
15.15,-7.67,0.81,0.22,96.03,-11.18,-0.08
15.3,-7.66,4.28,0.0,119.22,-12.9,-0.0
15.45,-2.76,3.94,-0.15,144.95,-6.01,0.05
15.6,-2.65,4.51,-0.15,149.62,-6.08,0.05
15.75,-7.6,7.5,0.19,134.65,-9.28,-0.07
15.9,-7.46,7.6,0.24,135.55,-13.13,-0.08
16.05,-6.53,-0.55,0.28,85.16,-9.22,-0.1
16.2,-8.7,5.93,-0.16,124.3,-2.53,0.06
16.35,-7.88,0.31,-0.16,92.22,-2.37,0.06
16.5,-0.97,4.29,-0.16,167.26,-5.28,0.06
16.65,-2.43,1.8,-0.16,126.53,-5.51,0.06
16.8,-3.67,0.15,0.02,92.32,-1.69,-0.01
16.95,-4.35,-1.55,-0.02,70.42,-1.61,0.01
17.1,-8.01,-1.79,-0.03,77.37,-1.59,0.01
17.25,-9.32,-2.37,-0.05,75.76,2.15,0.02
17.4,-14.62,-1.73,-0.14,83.26,3.49,0.05
17.55,-12.74,-0.01,-0.17,89.94,5.25,0.06
17.7,-12.45,0.16,-0.16,90.72,5.34,0.06
17.85,-12.62,0.5,-0.04,92.25,16.7,0.02
18.0,-13.42,0.24,-0.07,91.02,5.32,0.02
18.15,-14.02,3.65,-0.23,104.59,5.49,0.08
18.3,-13.61,8.81,-0.3,122.93,4.07,0.11
18.45,-12.62,-0.24,-0.28,88.92,5.2,0.1
18.6,-8.0,2.07,-0.22,104.53,0.92,0.08
18.75,-3.58,8.3,-0.15,156.66,-0.87,0.05
18.9,-3.42,6.51,-0.06,152.29,-2.55,0.02
19.05,-3.35,6.2,-0.17,151.59,-2.01,0.06
19.2,-4.36,1.27,-0.15,106.2,0.19,0.05
19.35,-1.86,0.61,-0.22,108.21,0.83,0.08
19.5,-4.29,0.46,-0.16,96.06,-2.23,0.06
19.65,-2.13,0.43,0.15,101.43,-3.68,-0.05
19.8,-2.35,0.29,0.04,96.91,-3.76,-0.01
19.95,-1.58,0.35,0.18,102.48,-3.65,-0.06
20.1,-0.54,-0.63,-0.1,40.78,-2.76,0.04
20.25,0.35,-1.67,-0.06,348.25,-2.37,0.02
20.4,0.91,-3.09,0.19,343.61,1.93,-0.07
20.55,-6.07,-2.98,0.2,63.87,1.46,-0.07
20.7,-7.59,-2.27,0.24,73.34,-5.11,-0.08
20.85,-5.41,-1.2,0.25,77.47,-5.33,-0.09
21.0,-2.05,3.45,0.23,149.26,-5.36,-0.08
21.15,-2.5,3.45,0.27,144.12,-8.48,-0.1
21.3,-3.99,4.03,0.25,135.28,-10.72,-0.09
21.45,-4.28,3.3,0.47,127.57,-9.4,-0.17
21.6,-7.58,2.91,0.2,111.02,-0.54,-0.07
21.75,-7.29,6.36,0.16,131.12,-0.88,-0.06
21.9,-2.05,0.88,0.1,113.32,-5.7,-0.04
22.05,-1.94,2.25,-0.28,139.24,-12.54,0.1
22.2,-1.7,-3.61,-0.13,25.16,-11.77,0.05
22.35,-6.22,-5.29,-0.13,49.62,-11.61,0.05
22.5,-3.45,-4.83,-0.15,35.59,-8.1,0.05
22.65,-3.45,-2.62,-0.2,52.79,-8.62,0.07
22.8,-6.83,-7.08,-0.29,43.98,-11.99,0.1
22.95,-3.31,-7.63,-0.24,23.47,-13.14,0.08
23.1,-4.76,-2.76,1.1,59.86,-13.48,-0.39
23.25,-3.18,-5.02,0.05,32.38,-10.01,-0.02
23.4,-3.11,-7.28,0.07,23.14,-10.58,-0.03
23.55,-2.13,-1.38,-0.24,57.02,-12.99,0.08
23.7,-2.06,0.11,-0.2,93.11,-12.02,0.07
23.85,-1.95,2.0,-0.05,135.62,-12.41,0.02
24.0,-6.22,2.07,-0.29,108.43,-7.85,0.1
24.15,-5.63,8.29,-0.21,145.81,-7.97,0.07
24.3,-5.93,6.24,-0.3,136.47,-6.1,0.11
24.45,-7.6,1.34,-0.31,99.98,-8.35,0.11
24.6,-5.43,-0.03,-0.45,89.73,-6.51,0.16
24.75,-0.2,-0.05,-0.49,76.52,-10.56,0.17
24.9,-4.53,-4.97,0.97,42.35,-11.4,-0.34
25.05,-0.61,-5.53,-0.77,6.29,-12.44,0.27
25.2,-4.84,-1.38,-0.72,74.05,-11.27,0.25
25.35,-4.84,-6.31,-0.72,37.45,-12.91,0.25
