Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,3.45,-0.69,-0.72,281.31,-13.22,0.25
1.65,0.29,1.38,-0.24,191.93,-4.82,0.08
1.8,0.42,0.59,-0.09,215.64,15.23,0.03
1.95,-0.57,0.21,0.03,110.77,16.16,-0.01
2.1,-0.48,0.35,0.15,126.39,18.09,-0.05
2.25,-0.2,0.75,0.16,165.32,15.98,-0.06
2.4,0.0,0.38,0.11,180.42,15.0,-0.04
2.55,-0.11,0.44,-0.08,165.92,17.06,0.03
2.7,-0.4,0.58,-0.19,145.28,21.77,0.07
2.85,-0.62,0.66,-0.21,137.14,23.73,0.07
3.0,-0.88,0.66,-0.21,126.84,22.77,0.07
3.15,-0.95,0.38,-0.19,111.7,21.49,0.07
3.3,-0.61,-0.12,-0.13,79.25,20.03,0.05
3.45,-0.83,-0.41,0.01,63.82,21.66,-0.0
3.6,-1.58,0.04,-0.09,91.34,26.53,0.03
3.75,-1.65,1.01,-0.06,121.35,27.3,0.02
3.9,-0.91,0.99,0.05,137.46,44.7,-0.02
4.05,-0.33,1.36,0.19,166.43,35.45,-0.07
4.2,-0.2,1.59,0.22,172.72,37.84,-0.08
4.35,0.0,2.16,0.27,180.03,42.31,-0.09
4.5,-0.27,2.38,0.27,173.65,44.05,-0.1
4.65,-1.4,2.55,0.32,151.19,44.21,-0.11
4.8,-1.96,2.89,0.34,145.85,42.02,-0.12
4.95,-2.52,3.31,0.4,142.7,43.08,-0.14
5.1,-2.3,3.74,0.39,148.33,54.0,-0.14
5.25,-2.19,3.94,0.38,150.87,54.53,-0.13
5.4,-2.24,3.68,0.34,148.71,51.42,-0.12
5.55,-2.46,3.23,0.33,142.72,48.86,-0.12
5.7,-1.96,2.98,0.29,146.66,41.88,-0.1
5.85,-1.02,2.43,0.32,157.29,38.65,-0.11
6.0,-0.1,0.69,0.27,171.67,35.58,-0.09
6.15,0.51,0.6,0.25,220.48,32.92,-0.09
6.3,0.65,0.39,0.18,238.75,30.37,-0.06
6.45,1.28,-0.26,0.21,281.34,31.77,-0.07
6.6,1.26,-0.7,0.24,299.07,42.73,-0.09
6.75,1.15,-0.42,0.25,290.09,43.1,-0.09
6.9,1.16,-0.2,0.34,279.58,45.39,-0.12
7.05,0.05,0.28,0.22,190.13,44.79,-0.08
7.2,-1.51,1.21,0.09,128.79,30.49,-0.03
7.35,-2.48,1.95,0.1,128.11,31.09,-0.04
7.5,-2.74,2.44,0.24,131.64,31.93,-0.09
7.65,-3.41,2.54,0.24,126.63,35.63,-0.08
7.8,-3.49,2.54,0.24,126.01,35.79,-0.08
7.95,-3.42,2.52,0.21,126.37,36.98,-0.07
8.1,-3.32,2.86,0.25,130.73,29.2,-0.09
8.25,-3.19,2.93,0.25,132.56,29.09,-0.09
8.4,-3.34,4.28,0.27,141.99,22.02,-0.1
8.55,-3.75,4.71,0.14,141.48,18.71,-0.05
8.7,-3.56,4.84,0.06,143.68,16.35,-0.02
8.85,-3.74,5.14,-0.16,143.98,16.62,0.06
9.0,-4.07,4.8,-0.37,139.71,18.63,0.13
9.15,-4.52,3.58,-0.34,128.34,21.62,0.12
9.3,-3.69,1.31,-0.32,109.55,17.34,0.11
9.45,-4.79,1.53,-0.27,107.65,19.06,0.1
9.6,-5.54,5.22,-0.34,133.31,15.88,0.12
9.75,-5.78,5.47,-0.34,133.43,16.36,0.12
9.9,-4.61,5.13,-0.26,138.02,12.01,0.09
10.05,-3.99,2.47,-0.21,121.82,11.79,0.07
10.2,-3.91,1.97,-0.18,116.79,11.55,0.06
10.35,-3.58,1.38,-0.17,111.05,12.41,0.06
10.5,-3.11,1.08,-0.14,109.09,10.86,0.05
10.65,-3.79,1.8,-0.19,115.47,6.37,0.07
10.8,-4.38,4.38,-0.22,134.95,3.87,0.08
10.95,-5.37,4.58,-0.23,130.49,1.73,0.08
11.1,-5.52,3.29,-0.27,120.82,0.34,0.1
11.25,-6.31,3.53,-0.25,119.22,0.72,0.09
11.4,-6.04,4.85,-0.19,128.76,-1.64,0.07
11.55,-6.2,0.89,0.2,98.15,-7.08,-0.07
11.7,-1.12,1.28,0.09,138.85,-6.25,-0.03
11.85,-5.12,3.04,0.3,120.72,-5.76,-0.11
12.0,-1.46,3.3,0.24,156.07,-5.36,-0.09
12.15,-2.55,3.33,0.07,142.64,-9.06,-0.03
12.3,-5.0,3.29,-0.18,123.34,-8.76,0.06
12.45,-5.04,2.34,-0.14,114.91,-9.34,0.05
12.6,-4.87,1.35,0.14,105.55,-9.78,-0.05
12.75,-2.83,0.76,0.14,104.96,-7.05,-0.05
12.9,-1.34,-0.12,0.1,84.95,2.85,-0.04
13.05,-1.87,-2.29,0.2,39.27,2.77,-0.07
13.2,-2.29,-2.99,-0.01,37.49,-9.07,0.0
13.35,2.45,-2.89,0.23,319.74,-10.99,-0.08
13.5,2.31,-6.22,0.13,339.6,-9.29,-0.05
13.65,2.25,-4.99,0.2,335.78,-9.99,-0.07
13.8,-5.09,-5.18,1.44,44.47,-13.78,-0.51
13.95,-9.7,-4.29,-0.72,66.16,-14.02,0.25
14.1,-9.5,-3.66,-0.51,68.94,-13.07,0.18
14.25,-4.92,0.36,-0.26,94.23,-10.24,0.09
14.4,-4.78,-4.56,0.0,46.37,-5.64,-0.0
14.55,-4.25,-5.26,-0.0,38.94,-3.49,0.0
14.7,-4.06,-3.47,0.08,49.51,-1.27,-0.03
14.85,-3.7,-3.22,0.03,49.03,-1.65,-0.01
15.0,-8.94,-1.47,-0.03,80.67,-3.82,0.01
15.15,-8.64,-1.29,-0.13,81.51,-8.05,0.05
15.3,-5.16,3.28,-0.16,122.43,-9.56,0.05
15.45,-4.6,-0.69,-1.71,81.46,-0.56,0.6
15.6,-3.48,-0.69,-0.96,78.77,-2.04,0.34
15.75,-3.88,5.86,-0.38,146.5,3.28,0.13
15.9,-4.1,4.8,-1.73,139.48,22.06,0.61
16.05,-3.66,7.44,-1.73,153.83,21.19,0.61
16.2,-0.43,6.6,-1.12,176.24,16.98,0.4
16.35,0.94,1.27,-0.24,216.72,8.74,0.09
16.5,0.34,-0.37,-0.23,316.9,7.61,0.08
16.65,-1.18,-0.98,-0.26,50.17,8.26,0.09
16.8,-4.91,-2.05,-0.26,67.32,5.98,0.09
16.95,-6.88,-2.28,-0.05,71.66,-2.17,0.02
17.1,-8.57,2.4,0.1,105.66,-5.4,-0.03
17.25,-10.76,3.24,0.12,106.74,-4.43,-0.04
17.4,-11.46,2.76,0.14,103.53,-5.39,-0.05
17.55,-5.09,2.77,0.25,118.61,-0.91,-0.09
17.7,-4.64,1.5,0.29,107.88,4.97,-0.1
17.85,-5.7,0.81,0.31,98.1,5.54,-0.11
18.0,-5.58,2.09,0.26,110.57,6.39,-0.09
18.15,-11.21,3.94,0.2,109.38,3.33,-0.07
18.3,-10.77,8.54,0.19,128.4,2.4,-0.07
18.45,-8.68,9.07,0.13,136.24,0.63,-0.05
18.6,-8.96,9.03,0.01,135.21,0.42,-0.0
18.75,-5.07,8.58,-0.05,149.43,-2.18,0.02
18.9,-1.36,6.85,-0.12,168.76,-5.28,0.04
19.05,-1.09,2.45,-0.11,156.04,8.54,0.04
19.2,-1.58,0.11,-0.1,94.12,-3.14,0.04
19.35,-4.13,-0.39,-0.12,84.57,0.61,0.04
19.5,0.63,-0.55,-0.1,310.67,-4.21,0.03
19.65,-1.81,-0.23,0.04,82.83,0.27,-0.01
19.8,-1.29,-0.1,0.01,85.44,-1.03,-0.0
19.95,1.0,-0.12,0.07,276.8,-0.13,-0.03
20.1,2.53,-1.46,0.11,299.9,18.32,-0.04
20.25,3.32,-1.35,0.23,292.19,3.46,-0.08
20.4,-1.41,-0.4,0.21,74.17,2.92,-0.07
20.55,-1.58,0.33,0.23,101.64,-7.98,-0.08
20.7,-2.06,4.82,0.09,156.86,-10.11,-0.03
20.85,-1.91,5.15,0.16,159.67,-8.45,-0.06
21.0,-2.23,6.12,0.2,159.98,-8.89,-0.07
21.15,2.07,6.7,0.1,197.18,-5.86,-0.04
21.3,7.0,3.99,-0.28,240.29,-7.99,0.1
21.45,6.91,3.97,-0.28,240.09,-4.32,0.1
21.6,3.43,-0.17,-0.43,272.84,-2.97,0.15
21.75,2.98,4.39,-0.29,214.19,-2.62,0.1
21.9,3.48,0.2,-0.14,266.71,-3.75,0.05
22.05,7.69,-0.13,0.02,270.98,-5.38,-0.01
22.2,7.62,-0.72,0.0,275.38,-6.09,-0.0
22.35,4.31,-1.09,-0.14,284.15,-5.37,0.05
22.5,3.59,-1.44,-0.29,291.78,-5.22,0.1
22.65,6.22,-4.73,-0.5,307.28,-5.65,0.18
22.8,2.07,-4.84,-1.06,336.8,-8.58,0.38
22.95,2.07,0.0,-1.27,270.0,-8.3,0.45
23.1,6.22,1.47,-1.31,256.69,-6.56,0.46
23.25,6.22,0.82,-0.77,262.5,-8.16,0.27
23.4,6.22,0.54,-0.23,265.0,-9.76,0.08
23.55,1.59,3.19,-0.21,206.55,-9.78,0.07
23.7,1.57,3.01,-0.22,207.52,-9.01,0.08
23.85,2.07,2.73,-0.04,217.25,-12.58,0.02
24.0,7.6,-1.38,-0.48,280.3,-13.36,0.17
24.15,6.22,0.82,1.44,262.52,-14.54,-0.51
24.3,1.17,3.02,-0.29,201.16,-11.59,0.1
24.45,-0.88,3.0,-0.25,163.68,-8.06,0.09
24.6,3.45,2.61,-0.23,232.95,-4.49,0.08
24.75,3.45,2.46,-0.3,234.52,-4.99,0.11
24.9,5.61,-2.76,-0.11,296.17,-8.06,0.04
25.05,3.45,3.58,-0.21,223.94,-11.58,0.08
25.2,3.45,-0.69,0.45,281.31,-13.13,-0.16
25.35,3.45,-0.69,-0.72,281.31,-13.64,0.25
