Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,-0.0,6.91,-0.03,180.0,-13.13,0.01
1.65,-1.45,1.38,0.13,133.71,-3.32,-0.05
1.8,-0.84,0.92,0.18,137.46,23.13,-0.06
1.95,-0.97,0.73,0.14,127.04,12.67,-0.05
2.1,-0.44,0.23,0.19,118.0,15.24,-0.07
2.25,-0.1,0.24,0.16,158.22,15.15,-0.06
2.4,0.3,0.08,0.18,255.11,12.13,-0.07
2.55,0.64,-0.14,0.2,282.62,10.57,-0.07
2.7,0.42,-0.0,0.08,270.04,13.02,-0.03
2.85,0.02,0.04,0.15,207.7,14.24,-0.05
3.0,-0.01,0.09,0.18,176.14,17.31,-0.06
3.15,0.09,-0.31,0.22,343.7,22.45,-0.08
3.3,0.35,-0.62,0.2,330.54,36.59,-0.07
3.45,0.04,-0.36,0.16,353.45,37.88,-0.06
3.6,-0.15,-0.28,0.13,28.72,38.64,-0.05
3.75,-1.03,0.27,0.07,104.68,21.59,-0.02
3.9,-1.8,0.61,0.06,108.66,24.26,-0.02
4.05,-1.4,1.24,0.11,131.66,30.03,-0.04
4.2,-1.08,1.43,0.25,142.89,38.28,-0.09
4.35,-0.98,1.34,0.27,143.81,44.69,-0.1
4.5,-1.83,1.15,0.26,122.16,45.59,-0.09
4.65,-1.92,1.52,0.23,128.43,51.4,-0.08
4.8,-1.82,1.9,0.22,136.29,52.61,-0.08
4.95,-2.27,2.18,0.22,133.76,38.34,-0.08
5.1,-2.42,2.09,0.2,130.89,42.84,-0.07
5.25,-2.18,1.81,0.24,129.68,46.93,-0.08
5.4,-2.4,1.63,0.24,124.27,46.95,-0.08
5.55,-2.51,1.4,0.35,119.05,35.04,-0.13
5.7,-3.03,0.55,0.54,100.26,36.94,-0.19
5.85,-3.63,0.41,0.52,96.38,39.23,-0.19
6.0,-3.99,0.19,0.56,92.8,40.27,-0.2
6.15,-4.3,0.08,0.56,91.02,37.04,-0.2
6.3,-3.68,-0.3,0.58,85.36,27.31,-0.2
6.45,-3.55,-0.84,0.42,76.72,25.66,-0.15
6.6,-3.05,-0.91,0.28,73.47,32.14,-0.1
6.75,-2.81,-1.45,0.25,62.74,35.19,-0.09
6.9,-2.42,-1.52,0.27,57.93,33.4,-0.09
7.05,-3.01,-1.76,0.31,59.77,21.84,-0.11
7.2,-3.48,-1.67,0.43,64.34,22.44,-0.15
