Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,-1.38,-1.38,1.68,45.0,-14.54,-0.59
1.65,0.69,1.38,1.44,206.57,-14.54,-0.51
1.8,0.72,0.74,0.12,224.11,15.18,-0.04
1.95,0.98,0.2,0.05,258.3,17.89,-0.02
2.1,0.34,0.03,0.1,264.96,18.26,-0.03
2.25,-0.49,0.02,0.11,92.05,17.05,-0.04
2.4,-0.51,-0.11,0.08,78.27,15.88,-0.03
2.55,-0.32,-0.31,-0.07,45.98,17.33,0.02
2.7,-0.47,-0.36,-0.29,52.64,20.89,0.1
2.85,-0.53,-0.11,-0.27,78.77,22.52,0.1
3.0,-0.65,-0.44,-0.29,56.04,23.04,0.1
3.15,-0.63,-0.27,-0.25,66.75,24.43,0.09
3.3,-0.54,0.72,-0.26,143.18,27.37,0.09
3.45,-0.92,1.6,-0.26,149.99,30.12,0.09
3.6,-1.65,2.51,-0.22,146.67,45.67,0.08
3.75,-1.83,3.43,-0.14,151.91,50.44,0.05
3.9,-1.9,3.97,0.0,154.39,34.58,-0.0
4.05,-1.79,3.44,0.2,152.5,38.2,-0.07
4.2,-2.02,3.66,0.23,151.13,44.01,-0.08
4.35,-1.73,3.75,0.3,155.23,44.68,-0.1
4.5,-1.73,4.97,0.39,160.81,44.37,-0.14
4.65,-2.2,3.98,0.48,151.06,41.01,-0.17
4.8,-2.62,4.18,0.56,147.93,36.86,-0.2
4.95,-2.14,4.45,0.63,154.36,38.6,-0.22
5.1,-1.38,5.14,0.66,164.96,42.55,-0.23
5.25,-0.79,4.98,0.63,171.02,43.5,-0.22
5.4,-0.59,4.1,0.53,171.82,45.33,-0.19
5.55,-0.35,3.48,0.34,174.24,39.41,-0.12
5.7,-0.31,2.91,0.33,174.01,49.06,-0.12
5.85,-0.36,2.6,0.24,172.14,46.99,-0.08
6.0,-0.54,2.36,0.24,167.22,47.28,-0.08
6.15,-0.72,2.27,0.22,162.53,37.38,-0.08
6.3,-1.4,2.17,0.22,147.22,32.6,-0.08
6.45,-1.52,1.58,0.2,136.18,35.21,-0.07
6.6,-1.52,1.1,0.11,125.82,33.59,-0.04
6.75,-1.98,0.83,-0.02,112.82,33.8,0.01
6.9,-1.99,0.95,0.0,115.42,31.45,-0.0
7.05,-2.91,1.49,0.12,117.15,30.03,-0.04
7.2,-3.9,2.18,0.27,119.18,30.25,-0.1
7.35,-3.94,2.43,0.25,121.64,33.97,-0.09
7.5,-3.63,3.44,0.25,133.39,38.91,-0.09
7.65,-3.43,3.72,0.26,137.32,53.09,-0.09
7.8,-2.91,3.52,0.24,140.41,50.61,-0.09
7.95,-2.53,2.98,0.23,139.65,42.38,-0.08
8.1,-2.55,2.84,0.24,138.13,26.95,-0.09
8.25,-2.52,3.09,0.28,140.78,24.18,-0.1
8.4,-3.28,3.01,0.27,132.59,22.1,-0.1
8.55,-3.56,3.43,0.2,134.0,14.52,-0.07
8.7,-3.67,2.93,0.16,128.6,9.54,-0.05
8.85,-3.81,2.39,0.18,122.07,7.99,-0.06
9.0,-4.16,2.61,-0.08,122.11,8.46,0.03
9.15,-3.13,2.3,-0.14,126.26,9.57,0.05
9.3,-1.96,2.34,-0.17,140.02,13.53,0.06
9.45,-4.61,2.62,-0.2,119.63,13.29,0.07
9.6,-6.46,2.52,-0.27,111.29,12.33,0.1
9.75,-6.24,3.18,-0.26,117.02,10.93,0.09
9.9,-5.02,2.53,-0.24,116.71,12.27,0.08
10.05,-2.33,1.96,-0.2,130.06,12.62,0.07
10.2,-2.67,1.44,-0.14,118.4,10.37,0.05
10.35,-1.67,0.56,-0.16,108.52,10.49,0.06
10.5,-1.33,0.37,-0.17,105.47,7.27,0.06
10.65,-1.82,1.08,-0.14,120.65,5.58,0.05
10.8,-4.25,2.08,-0.01,116.08,-0.31,0.0
10.95,-3.5,4.16,-0.24,139.9,-2.25,0.08
11.1,-4.62,4.12,-0.26,131.77,-3.09,0.09
11.25,-3.86,1.42,-0.31,110.15,-1.65,0.11
11.4,-4.89,3.26,-0.33,123.65,-2.46,0.12
11.55,-3.98,-0.36,0.02,84.84,-5.31,-0.01
11.7,-3.2,0.25,0.04,94.39,-5.56,-0.01
11.85,-4.64,-0.34,0.26,85.86,-6.99,-0.09
12.0,-4.81,-0.05,0.14,89.37,-6.74,-0.05
12.15,-5.37,1.73,0.18,107.87,-7.28,-0.06
