Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,-4.84,0.0,1.44,90.0,-14.54,-0.51
1.65,-0.0,0.4,0.13,179.37,-3.64,-0.05
1.8,0.03,0.76,0.12,182.57,15.33,-0.04
1.95,0.48,0.43,0.12,228.2,18.32,-0.04
2.1,0.71,0.07,0.08,264.25,18.17,-0.03
2.25,1.09,-0.18,0.07,279.57,17.72,-0.03
2.4,0.82,-0.08,0.07,275.41,17.6,-0.03
2.55,0.49,0.11,0.07,257.31,16.53,-0.02
2.7,0.52,-0.09,-0.07,279.71,17.35,0.02
2.85,-0.16,1.35,-0.14,173.37,19.08,0.05
3.0,0.49,2.02,-0.14,193.6,22.37,0.05
3.15,-0.4,2.39,-0.16,170.42,26.39,0.06
3.3,0.22,1.99,-0.28,186.2,32.15,0.1
3.45,0.11,1.26,-0.34,185.07,36.48,0.12
3.6,-0.14,1.33,-0.42,173.85,35.54,0.15
3.75,-0.83,1.37,-0.45,148.75,33.92,0.16
3.9,-0.71,1.68,-0.39,157.09,37.86,0.14
4.05,0.29,2.11,-0.29,187.71,34.29,0.1
4.2,0.77,2.55,-0.26,196.73,39.45,0.09
4.35,1.08,2.84,-0.17,200.81,37.07,0.06
4.5,0.97,2.96,-0.04,198.08,35.23,0.01
4.65,-0.29,3.15,0.23,174.72,30.54,-0.08
4.8,-1.04,3.28,0.33,162.48,30.13,-0.12
4.95,-1.77,3.36,0.34,152.21,33.85,-0.12
5.1,-2.23,3.95,0.41,150.53,48.33,-0.15
5.25,-2.58,4.96,0.46,152.49,49.58,-0.16
5.4,-2.53,4.99,0.47,153.12,48.87,-0.17
5.55,-2.71,4.49,0.5,148.87,41.26,-0.18
5.7,-2.44,3.89,0.34,147.87,31.92,-0.12
5.85,-2.23,3.64,0.27,148.48,30.72,-0.09
6.0,-2.21,3.58,0.18,148.35,32.14,-0.06
6.15,-2.13,3.59,0.19,149.31,34.57,-0.07
6.3,-1.93,3.41,0.16,150.49,34.56,-0.06
6.45,-0.68,1.79,-0.05,159.29,28.45,0.02
6.6,-0.36,-0.06,-0.23,80.82,32.11,0.08
6.75,0.28,-0.02,-0.36,274.59,36.0,0.13
6.9,-0.21,0.05,-0.38,104.81,36.0,0.14
7.05,-1.4,0.57,-0.43,112.01,29.39,0.15
7.2,-2.9,0.69,-0.44,103.41,26.41,0.16
7.35,-3.72,1.07,-0.38,106.09,27.72,0.14
7.5,-3.5,1.52,-0.34,113.4,35.35,0.12
7.65,-2.97,2.58,-0.31,131.02,39.56,0.11
7.8,-2.26,2.95,-0.24,142.54,39.28,0.09
7.95,-2.06,3.33,-0.24,148.24,40.57,0.09
8.1,-2.15,3.09,-0.2,145.17,35.47,0.07
8.25,-2.34,3.23,-0.08,144.01,27.52,0.03
8.4,-2.26,3.75,-0.04,148.91,24.38,0.01
8.55,-2.42,4.54,-0.11,151.92,26.15,0.04
8.7,-2.8,4.18,-0.17,146.19,21.56,0.06
8.85,-3.28,3.35,-0.16,135.62,19.47,0.06
9.0,-3.93,2.49,-0.08,122.41,6.9,0.03
9.15,-4.54,2.12,0.05,115.05,9.7,-0.02
9.3,-2.37,1.49,0.03,122.19,10.7,-0.01
9.45,-4.03,1.77,-0.08,113.69,10.69,0.03
9.6,-4.06,2.27,-0.15,119.18,8.21,0.05
9.75,-4.17,2.89,-0.22,124.73,-0.61,0.08
9.9,-3.47,2.9,-0.12,129.95,-0.49,0.04
10.05,-3.28,3.11,0.0,133.46,5.48,-0.0
10.2,-2.34,3.04,0.0,142.35,5.68,-0.0
10.35,-1.26,2.81,0.05,155.79,3.41,-0.02
10.5,-0.95,2.39,0.14,158.45,2.82,-0.05
10.65,-0.58,0.73,0.21,141.31,5.18,-0.07
10.8,-1.45,1.59,0.21,137.65,4.93,-0.08
10.95,-0.7,1.62,0.26,156.58,3.28,-0.09
11.1,-1.62,2.63,0.27,148.47,3.17,-0.09
11.25,-5.07,3.37,0.26,123.61,3.05,-0.09
11.4,-5.24,4.93,0.19,133.24,0.01,-0.07
11.55,-5.8,5.26,0.14,132.17,-3.89,-0.05
11.7,-5.23,1.14,0.08,102.27,-8.48,-0.03
11.85,-3.23,0.54,0.17,99.42,-9.52,-0.06
12.0,-0.07,0.93,0.18,175.55,-9.04,-0.06
12.15,-1.51,2.18,0.33,145.27,-9.17,-0.12
12.3,-7.76,1.94,0.38,104.02,-11.28,-0.13
12.45,-0.65,1.99,0.19,161.89,-10.48,-0.07
12.6,0.4,1.76,0.22,192.63,-9.62,-0.08
