Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,7.0,-2.07,1.2,286.5,-14.54,-0.42
1.65,1.38,0.69,1.44,243.41,-14.54,-0.51
1.8,-0.03,0.17,0.11,170.01,15.63,-0.04
1.95,-0.03,-0.29,0.12,5.56,18.01,-0.04
2.1,0.0,-0.47,0.03,359.49,17.61,-0.01
2.25,-0.23,-0.39,0.04,29.78,16.59,-0.01
2.4,0.07,-0.17,0.12,337.71,13.59,-0.04
2.55,0.26,0.22,0.35,230.46,14.24,-0.13
2.7,-0.26,0.31,0.55,139.92,15.78,-0.19
2.85,-1.47,0.59,0.45,111.79,22.79,-0.16
3.0,-2.04,1.36,0.46,123.56,27.79,-0.16
3.15,-1.64,1.61,0.37,134.5,36.33,-0.13
3.3,-1.33,1.82,0.37,143.72,38.43,-0.13
3.45,-1.51,1.81,0.29,140.12,32.33,-0.1
3.6,-1.61,1.53,0.34,133.45,30.65,-0.12
3.75,-1.47,1.46,0.32,134.9,29.3,-0.11
3.9,-1.17,1.64,0.32,144.63,29.58,-0.11
4.05,0.16,1.94,0.32,184.69,30.86,-0.11
4.2,2.7,3.04,0.48,221.62,36.24,-0.17
4.35,3.33,3.91,0.51,220.41,41.7,-0.18
4.5,3.49,4.98,0.57,215.05,43.98,-0.2
4.65,2.2,4.8,0.4,204.62,43.07,-0.14
4.8,0.5,4.81,0.35,185.93,39.27,-0.12
4.95,-0.03,4.73,0.09,179.58,34.23,-0.03
5.1,-0.19,4.82,-0.0,177.69,47.17,0.0
5.25,0.06,5.14,-0.29,180.63,46.83,0.1
5.4,0.01,4.65,-0.36,180.16,41.98,0.13
5.55,-0.19,4.51,-0.5,177.58,39.25,0.18
5.7,-0.52,2.39,-0.55,167.84,45.02,0.2
5.85,-1.21,2.01,-0.64,149.0,43.04,0.23
6.0,-1.29,1.31,-0.69,135.43,44.42,0.24
6.15,-0.94,0.9,-0.69,133.65,41.26,0.24
6.3,0.43,0.16,-0.57,249.23,40.1,0.2
6.45,0.55,-0.15,-0.49,285.21,38.21,0.17
6.6,1.47,-0.7,-0.41,295.52,38.61,0.14
6.75,2.27,-1.32,-0.37,300.17,38.4,0.13
6.9,2.07,-1.38,-0.04,303.77,33.86,0.01
7.05,0.54,-0.57,0.2,316.62,33.76,-0.07
7.2,-0.66,-0.07,0.3,83.92,32.05,-0.11
7.35,-1.11,0.01,0.44,90.71,36.73,-0.16
7.5,-1.49,1.32,0.44,131.56,38.14,-0.16
7.65,-2.29,1.03,0.37,114.21,41.05,-0.13
7.8,-2.25,1.21,0.31,118.32,37.34,-0.11
7.95,-1.75,1.16,0.18,123.38,29.87,-0.06
8.1,-0.81,1.74,0.1,155.05,27.02,-0.04
8.25,-0.44,2.32,0.08,169.26,22.16,-0.03
8.4,-0.23,3.15,0.12,175.82,16.56,-0.04
8.55,-0.48,3.63,0.12,172.54,8.73,-0.04
8.7,-0.71,2.97,0.28,166.57,9.47,-0.1
8.85,-0.03,2.09,0.3,179.14,8.68,-0.11
9.0,-0.27,2.34,0.23,173.33,19.39,-0.08
9.15,-1.64,3.09,0.22,152.02,18.73,-0.08
9.3,-2.25,2.43,0.28,137.14,25.76,-0.1
9.45,-2.75,1.7,0.27,121.68,25.12,-0.1
9.6,-3.22,2.46,0.32,127.45,9.84,-0.11
9.75,-3.39,2.83,0.27,129.78,3.39,-0.1
9.9,-2.82,2.02,0.28,125.64,3.35,-0.1
10.05,-0.3,0.65,0.26,155.61,7.19,-0.09
10.2,-1.54,1.85,0.19,140.17,8.35,-0.07
10.35,-3.2,2.91,0.14,132.26,8.44,-0.05
10.5,-4.01,4.78,0.15,140.01,6.39,-0.05
10.65,-4.07,2.06,0.15,116.79,3.88,-0.05
10.8,-3.85,3.71,0.22,133.93,3.31,-0.08
10.95,-2.36,3.96,0.26,149.26,4.15,-0.09
11.1,-1.82,3.54,0.27,152.78,3.56,-0.09
11.25,-2.58,4.24,0.29,148.69,0.62,-0.1
11.4,-3.77,4.78,0.08,141.74,-4.02,-0.03
11.55,-4.05,4.93,-0.23,140.6,-4.05,0.08
11.7,-2.97,5.08,-0.32,149.67,-3.46,0.11
11.85,-2.77,2.54,0.06,132.57,-2.86,-0.02
12.0,0.07,1.53,0.12,182.54,-3.7,-0.04
12.15,-0.11,3.75,0.33,178.29,-2.4,-0.12
12.3,0.29,3.67,0.35,184.51,-4.29,-0.13
