Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,-7.6,-6.34,0.96,50.15,-14.54,-0.34
1.65,0.28,-3.08,0.24,354.75,-4.5,-0.08
1.8,0.57,-0.68,0.07,320.01,13.14,-0.03
1.95,0.28,0.44,-0.05,213.09,16.34,0.02
2.1,0.3,-0.05,0.02,279.4,17.25,-0.01
2.25,-0.33,-0.42,0.04,38.17,16.49,-0.01
2.4,0.06,-0.15,0.07,339.56,15.08,-0.02
2.55,-0.08,0.52,0.03,171.46,13.53,-0.01
2.7,-0.0,0.77,0.06,179.95,13.03,-0.02
2.85,-0.02,1.13,0.02,179.17,12.81,-0.01
3.0,-0.81,0.47,0.14,120.11,16.58,-0.05
3.15,-0.99,-0.05,0.2,86.87,22.32,-0.07
3.3,-1.15,-0.5,0.22,66.64,27.7,-0.08
3.45,-1.34,-0.67,0.21,63.36,26.04,-0.08
3.6,-1.2,-1.43,0.25,40.04,28.53,-0.09
3.75,-1.13,-0.92,0.28,50.88,30.01,-0.1
3.9,-0.91,0.13,0.26,98.33,30.08,-0.09
4.05,-0.61,1.12,0.27,151.47,46.25,-0.1
4.2,-0.67,2.04,0.16,161.89,35.6,-0.06
4.35,-1.44,2.4,0.19,149.01,41.93,-0.07
4.5,-2.07,2.56,0.2,141.06,42.68,-0.07
4.65,-1.79,2.88,0.2,148.12,31.64,-0.07
4.8,-1.68,2.94,0.24,150.24,31.82,-0.08
4.95,-1.82,3.23,0.27,150.58,35.97,-0.1
5.1,-1.7,3.04,0.29,150.83,47.2,-0.1
5.25,-2.06,3.09,0.33,146.26,48.02,-0.12
5.4,-1.96,3.05,0.29,147.25,47.39,-0.1
5.55,-2.14,3.19,0.26,146.08,37.12,-0.09
5.7,-2.36,2.86,0.24,140.47,32.82,-0.08
5.85,-3.64,2.62,0.21,125.76,30.73,-0.07
6.0,-4.38,2.12,0.21,115.78,30.17,-0.07
6.15,-4.64,2.27,0.2,116.14,29.86,-0.07
6.3,-2.68,1.62,0.31,121.11,31.16,-0.11
6.45,-1.35,1.21,0.32,131.83,30.14,-0.11
6.6,-0.52,-0.34,0.33,57.03,33.73,-0.12
6.75,-0.78,-0.19,0.13,76.66,31.94,-0.04
6.9,-0.94,-0.26,-0.02,74.34,29.63,0.01
