Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,0.69,-0.69,0.24,315.0,-11.91,-0.08
1.65,5.53,-0.77,0.24,277.93,-4.62,-0.08
1.8,1.03,-0.29,0.19,285.51,16.05,-0.07
1.95,0.27,0.16,0.14,239.43,16.52,-0.05
2.1,-0.1,-0.87,0.2,6.51,16.84,-0.07
2.25,-0.41,-0.36,0.12,48.54,15.2,-0.04
2.4,-0.69,0.22,-0.0,107.85,13.01,0.0
2.55,-0.95,-0.08,-0.17,85.25,14.61,0.06
2.7,-0.72,1.18,-0.28,148.62,19.47,0.1
2.85,-0.4,1.08,-0.22,159.62,25.39,0.08
3.0,-0.4,1.36,-0.16,163.54,50.75,0.06
3.15,-1.32,0.61,-0.06,114.63,51.83,0.02
3.3,-0.98,0.27,-0.01,105.25,52.86,0.0
3.45,-0.33,-0.52,0.16,32.07,55.51,-0.06
3.6,-0.51,-1.52,0.53,18.45,55.14,-0.19
3.75,-0.1,-1.74,0.76,3.42,54.59,-0.27
3.9,-0.05,-1.71,0.66,1.73,30.46,-0.23
4.05,0.0,-1.06,0.47,359.88,30.6,-0.17
4.2,-0.6,0.02,0.44,91.66,37.69,-0.16
4.35,-1.09,1.24,0.44,138.66,41.38,-0.16
4.5,-2.08,1.33,0.42,122.5,43.22,-0.15
4.65,-2.5,1.42,0.36,119.56,41.55,-0.13
4.8,-3.22,2.32,0.33,125.82,39.83,-0.12
4.95,-3.34,3.74,0.34,138.27,39.71,-0.12
5.1,-3.38,4.87,0.36,145.24,37.55,-0.13
5.25,-3.12,4.95,0.31,147.8,43.26,-0.11
5.4,-2.79,4.53,0.37,148.36,38.73,-0.13
5.55,-2.3,3.71,0.35,148.21,45.09,-0.12
5.7,-1.95,3.69,0.34,152.16,45.58,-0.12
5.85,-1.72,3.55,0.31,154.19,47.63,-0.11
6.0,-1.91,3.4,0.31,150.67,47.22,-0.11
6.15,-2.61,3.46,0.27,143.04,46.15,-0.09
6.3,-2.92,3.14,0.25,137.06,44.86,-0.09
6.45,-2.59,3.16,0.36,140.66,34.79,-0.13
6.6,-1.88,2.63,0.35,144.52,30.93,-0.12
6.75,-1.36,1.83,0.31,143.45,30.66,-0.11
6.9,-1.45,1.46,0.25,135.18,26.74,-0.09
7.05,-1.9,0.81,0.23,113.02,24.27,-0.08
7.2,-2.09,1.36,0.22,123.11,24.63,-0.08
7.35,-2.75,2.2,0.07,128.63,24.33,-0.03
7.5,-2.91,2.98,-0.05,135.72,26.62,0.02
7.65,-2.31,3.03,-0.27,142.64,34.97,0.1
7.8,-1.92,3.0,-0.27,147.46,37.05,0.09
7.95,-1.76,3.02,-0.27,149.83,34.96,0.1
8.1,-1.4,3.02,-0.09,155.17,23.99,0.03
8.25,-1.03,2.95,0.13,160.7,20.48,-0.05
8.4,-1.16,3.62,0.22,162.22,21.04,-0.08
8.55,-2.18,3.79,0.27,150.04,23.78,-0.1
8.7,-2.38,3.67,0.2,147.0,13.42,-0.07
8.85,-2.02,3.49,0.23,149.97,11.66,-0.08
9.0,-1.73,2.86,0.24,148.75,10.47,-0.08
9.15,-1.62,1.82,0.21,138.39,12.38,-0.07
9.3,-1.98,1.83,0.19,132.78,11.97,-0.07
9.45,-2.52,1.59,0.22,122.24,12.45,-0.08
9.6,-3.19,3.61,0.23,138.54,10.84,-0.08
9.75,-2.85,3.92,0.17,144.01,4.92,-0.06
9.9,-2.11,3.29,0.12,147.33,5.23,-0.04
10.05,-0.72,2.35,0.16,162.99,11.26,-0.06
10.2,-0.49,1.66,0.14,163.5,10.7,-0.05
10.35,-0.66,1.47,-0.11,155.63,6.01,0.04
10.5,0.26,1.22,-0.2,191.99,7.3,0.07
10.65,-0.76,0.48,-0.16,122.21,7.6,0.06
10.8,-0.97,1.56,-0.04,148.02,2.02,0.02
10.95,-2.59,0.85,-0.23,108.21,-3.39,0.08
11.1,-2.05,1.53,-0.35,126.88,-5.52,0.12
11.25,-4.02,0.71,-0.34,99.98,-4.03,0.12
11.4,-5.08,1.28,-0.33,104.1,-2.3,0.12
11.55,-4.93,0.43,-0.26,95.02,-2.21,0.09
11.7,-0.24,1.46,-0.33,170.49,-2.69,0.12
11.85,0.19,1.91,-0.33,185.68,-1.3,0.12
12.0,0.26,1.94,-0.36,187.66,-1.7,0.13
12.15,-4.07,4.59,-0.25,138.43,-5.16,0.09
12.3,-4.91,2.95,-0.2,120.98,-7.36,0.07
12.45,-5.18,2.49,-0.2,115.64,-5.87,0.07
12.6,-4.73,1.64,-0.18,109.09,-4.34,0.07
12.75,-3.77,0.62,-0.18,99.32,-2.29,0.06
12.9,-1.11,-0.74,0.26,56.3,2.6,-0.09
13.05,-2.83,-0.97,0.23,71.11,2.56,-0.08
13.2,-4.29,-1.35,-0.04,72.56,-6.89,0.02
13.35,-4.61,-4.84,-0.25,43.62,-10.39,0.09
13.5,-9.18,-2.77,-0.25,73.22,-9.96,0.09
13.65,-8.47,-3.46,-0.19,67.77,-8.77,0.07
13.8,-7.34,-3.48,-0.28,64.63,-8.82,0.1
13.95,-5.65,1.37,-0.24,103.63,-13.53,0.08
14.1,-10.36,1.39,-0.24,97.66,-13.61,0.08
14.25,-10.47,1.51,-0.25,98.19,-9.94,0.09
14.4,-10.62,-1.54,-0.32,81.73,-6.37,0.11
14.55,-3.29,-1.44,-0.22,66.33,-4.57,0.08
14.7,-3.05,-1.13,0.09,69.67,-2.71,-0.03
14.85,-3.6,-0.46,0.05,82.67,0.02,-0.02
15.0,-6.73,3.35,0.23,116.5,-3.02,-0.08
15.15,-7.1,4.49,0.33,122.32,-10.06,-0.12
15.3,-7.36,4.54,1.92,121.67,-14.54,-0.68
