Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,-0.0,-2.76,0.42,0.0,-11.19,-0.15
1.65,0.0,0.69,0.24,180.0,-4.2,-0.08
1.8,-0.6,0.81,0.1,143.47,15.84,-0.03
1.95,-0.99,0.55,0.07,119.04,15.2,-0.02
2.1,-0.03,0.1,0.15,160.87,16.56,-0.05
2.25,0.28,0.06,0.16,257.2,15.01,-0.06
2.4,0.5,0.21,0.18,247.35,16.25,-0.06
2.55,0.43,0.68,0.13,212.44,15.68,-0.05
2.7,0.25,0.74,0.24,198.88,17.4,-0.08
2.85,0.5,0.49,0.17,225.56,17.87,-0.06
3.0,0.2,0.73,0.21,195.19,20.45,-0.07
3.15,0.28,1.35,0.04,191.75,20.01,-0.02
3.3,0.23,1.59,0.05,188.31,22.64,-0.02
3.45,0.17,1.36,0.27,187.18,31.17,-0.1
3.6,0.17,0.6,0.26,195.67,31.42,-0.09
3.75,0.28,0.07,0.24,256.49,28.79,-0.08
3.9,1.04,-0.06,0.25,273.1,30.08,-0.09
4.05,-0.12,-0.05,0.33,64.92,35.63,-0.12
4.2,-0.33,0.07,0.39,101.89,40.64,-0.14
4.35,-0.57,0.5,0.5,131.27,41.22,-0.18
4.5,-0.65,0.99,0.61,146.54,43.18,-0.22
4.65,-0.88,1.91,0.62,155.33,42.58,-0.22
4.8,-1.34,2.72,0.49,153.8,39.99,-0.17
4.95,-1.41,3.06,0.35,155.29,39.01,-0.12
5.1,-1.21,3.46,0.22,160.7,41.78,-0.08
5.25,-1.44,3.35,-0.01,156.73,44.5,0.0
5.4,-1.59,2.77,-0.12,150.24,45.35,0.04
5.55,-1.91,1.88,-0.18,134.57,54.71,0.06
5.7,-2.12,1.01,0.04,115.48,32.82,-0.01
5.85,-2.61,0.62,0.07,103.3,30.05,-0.02
6.0,-2.66,0.27,-0.09,95.75,26.07,0.03
6.15,-2.83,0.06,0.21,91.16,23.79,-0.07
6.3,-1.96,-0.39,0.44,78.7,25.84,-0.15
6.45,-1.0,-0.45,0.59,65.97,36.61,-0.21
6.6,0.14,0.02,0.63,259.95,39.97,-0.22
6.75,1.02,-0.08,0.63,274.29,39.38,-0.22
6.9,1.38,-0.12,0.7,275.17,27.18,-0.25
7.05,0.24,0.99,0.67,193.51,22.42,-0.24
7.2,-1.36,1.24,0.48,132.41,21.21,-0.17
7.35,-1.99,1.27,0.21,122.6,23.12,-0.07
7.5,-2.25,1.14,-0.04,116.81,27.41,0.01
7.65,-2.1,1.69,-0.22,128.89,31.94,0.08
7.8,-2.0,2.12,-0.24,136.76,33.84,0.08
7.95,-1.25,2.8,-0.23,155.87,33.17,0.08
8.1,-0.13,3.48,-0.16,177.92,28.27,0.06
8.25,-0.15,4.55,0.03,178.09,21.33,-0.01
8.4,-0.37,4.69,0.05,175.46,15.53,-0.02
8.55,-0.6,1.8,-0.05,161.51,12.83,0.02
8.7,0.0,3.44,0.07,180.08,7.18,-0.02
8.85,1.79,2.92,-0.04,211.58,7.6,0.01
9.0,0.47,3.12,0.1,188.55,5.49,-0.03
9.15,-0.11,2.96,0.01,177.87,6.09,-0.0
9.3,-0.6,2.59,0.27,166.94,11.0,-0.09
9.45,-0.53,1.72,0.21,162.89,10.92,-0.08
9.6,-1.07,1.38,0.01,142.26,-1.78,-0.0
9.75,-1.47,1.4,0.29,133.47,-1.96,-0.1
9.9,-1.52,1.69,-0.02,138.03,0.89,0.01
10.05,-0.79,-0.42,-0.08,61.83,4.11,0.03
10.2,-1.32,-0.35,0.04,75.3,19.04,-0.02
10.35,-1.39,0.36,-0.16,104.59,21.32,0.06
10.5,-0.92,2.97,-0.15,162.76,5.04,0.05
10.65,-2.3,0.26,-0.18,96.36,8.81,0.06
10.8,-2.11,-0.09,-0.14,87.47,10.18,0.05
10.95,-1.56,0.33,-0.13,101.94,10.11,0.05
11.1,-1.7,2.33,-0.21,143.91,0.68,0.08
11.25,-4.16,1.95,-0.14,115.13,-4.27,0.05
11.4,-4.53,1.89,0.49,112.67,-7.54,-0.17
11.55,-5.48,3.08,0.24,119.34,-8.36,-0.08
11.7,-5.34,3.51,1.11,123.32,-9.46,-0.39
11.85,-2.99,3.53,-0.18,139.76,-5.21,0.06
12.0,-2.64,2.79,-0.22,136.57,-6.04,0.08
12.15,-3.8,2.49,-0.26,123.28,-5.35,0.09
12.3,-3.97,3.0,-0.4,127.1,-10.11,0.14
12.45,-3.52,3.24,-0.5,132.67,-9.75,0.18
12.6,-2.65,1.55,-0.07,120.33,-9.64,0.03
12.75,-1.17,1.15,0.75,134.5,-7.58,-0.27
12.9,-0.29,1.23,-0.09,166.91,12.75,0.03
13.05,-0.4,1.14,-0.09,160.69,2.73,0.03
13.2,-2.02,-3.84,0.91,27.71,-7.26,-0.32
13.35,-3.65,-5.06,1.15,35.75,-11.98,-0.4
13.5,-3.61,-6.04,1.15,30.9,-11.94,-0.4
13.65,-4.0,-5.28,0.98,37.14,-9.09,-0.35
13.8,-4.58,-5.86,0.02,37.99,-9.06,-0.01
13.95,-4.56,-4.52,0.25,45.27,-6.86,-0.09
14.1,-4.31,-2.61,0.16,58.83,-7.56,-0.06
14.25,-3.96,-3.04,0.14,52.47,-9.6,-0.05
14.4,-3.33,-3.78,0.06,41.34,-9.46,-0.02
