Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,-8.29,8.98,4.08,137.29,-14.54,-1.44
1.65,3.75,1.01,-0.11,254.94,-4.31,0.04
1.8,-0.18,0.84,-0.1,168.04,16.19,0.04
1.95,-0.39,-1.06,-0.11,20.31,35.69,0.04
2.1,-0.28,-1.53,0.02,10.23,37.44,-0.01
2.25,-0.25,-1.47,0.06,9.66,32.11,-0.02
2.4,-0.11,0.13,0.04,138.36,14.24,-0.02
2.55,0.28,-0.48,-0.02,329.83,11.64,0.01
2.7,0.35,0.16,-0.07,245.26,13.49,0.03
2.85,-0.57,0.18,-0.23,107.38,14.06,0.08
3.0,-1.52,0.66,-0.25,113.5,18.66,0.09
3.15,-2.27,0.32,-0.39,97.99,24.32,0.14
3.3,-2.43,0.21,-0.38,94.84,28.25,0.13
3.45,-2.31,0.28,-0.15,96.99,24.87,0.05
3.6,-1.83,0.28,0.09,98.62,25.39,-0.03
3.75,-1.88,0.1,0.21,93.02,26.27,-0.08
3.9,-1.61,0.59,0.2,109.99,28.42,-0.07
4.05,-1.52,1.82,0.22,140.05,30.39,-0.08
4.2,-1.73,2.47,0.21,145.01,53.1,-0.08
4.35,-1.96,2.79,0.26,144.94,60.57,-0.09
4.5,-1.89,3.16,0.22,149.09,39.73,-0.08
4.65,-1.92,3.64,0.03,152.13,33.87,-0.01
4.8,-1.83,4.55,0.01,158.03,31.17,-0.0
4.95,-2.06,4.79,-0.19,156.75,33.64,0.07
5.1,-2.38,5.25,-0.21,155.62,36.76,0.08
5.25,-2.8,5.82,-0.21,154.33,36.85,0.07
5.4,-2.81,5.81,-0.21,154.19,36.58,0.08
5.55,-2.22,4.42,-0.28,153.35,36.87,0.1
5.7,-2.55,3.92,-0.26,146.95,39.9,0.09
5.85,-3.51,3.75,-0.24,136.88,39.31,0.09
6.0,-3.73,3.3,-0.22,131.5,31.92,0.08
6.15,-3.84,3.07,-0.21,128.68,30.59,0.08
6.3,-3.3,3.0,-0.12,132.24,25.74,0.04
6.45,-2.44,3.21,-0.17,142.73,24.57,0.06
6.6,-1.52,2.49,-0.06,148.64,22.32,0.02
6.75,-0.53,1.71,0.05,162.86,25.97,-0.02
6.9,-0.6,1.65,-0.13,160.06,31.21,0.05
7.05,-1.74,0.04,-0.28,91.35,30.28,0.1
7.2,-2.4,-0.78,-0.29,71.96,28.27,0.1
7.35,-2.35,-1.09,-0.25,65.14,27.2,0.09
7.5,-2.09,-0.47,-0.05,77.23,28.61,0.02
7.65,-2.06,-0.09,0.09,87.45,28.89,-0.03
7.8,-2.52,0.05,0.24,91.06,32.62,-0.08
7.95,-2.83,0.2,0.36,94.12,42.9,-0.13
8.1,-3.25,0.45,0.38,97.88,47.31,-0.13
8.25,-3.67,0.86,0.39,103.11,45.87,-0.14
8.4,-4.42,3.07,0.5,124.76,23.12,-0.18
8.55,-5.07,3.96,0.45,128.02,17.86,-0.16
8.7,-4.95,4.22,0.32,130.49,14.3,-0.11
8.85,-5.02,3.46,0.28,124.59,14.21,-0.1
9.0,-5.51,3.01,0.35,118.64,15.02,-0.12
9.15,-5.43,2.98,0.33,118.71,14.33,-0.12
9.3,-2.75,2.65,0.33,133.99,11.92,-0.12
9.45,-1.73,-1.12,0.26,57.08,10.4,-0.09
9.6,-4.71,-0.68,0.28,81.79,9.46,-0.1
9.75,-5.11,4.38,0.31,130.55,5.06,-0.11
9.9,-5.32,4.27,0.35,128.75,4.36,-0.12
10.05,-1.78,5.29,0.28,161.36,5.78,-0.1
10.2,-1.59,4.06,0.28,158.55,8.99,-0.1
10.35,-0.81,4.93,0.16,170.65,7.54,-0.06
10.5,-1.56,2.97,0.23,152.35,4.86,-0.08
10.65,-1.27,2.88,0.05,156.22,1.96,-0.02
10.8,-1.99,2.9,0.14,145.62,-0.39,-0.05
10.95,-1.9,3.69,0.2,152.8,-1.34,-0.07
11.1,-4.19,4.48,0.24,136.91,-1.18,-0.09
11.25,-6.05,4.72,0.29,127.94,-0.89,-0.1
11.4,-5.51,4.43,0.26,128.8,3.13,-0.09
11.55,-4.11,4.37,0.29,136.76,-1.77,-0.1
11.7,-1.91,3.44,0.25,150.97,-2.3,-0.09
11.85,-1.58,-0.47,0.16,73.54,-3.65,-0.05
12.0,-2.13,1.13,0.38,118.01,-4.72,-0.13
12.15,1.06,5.35,0.24,191.25,-5.45,-0.09
12.3,0.19,3.31,-0.15,183.23,-9.23,0.05
12.45,0.92,5.77,1.88,189.08,-10.26,-0.66
12.6,0.05,1.59,1.83,181.66,-9.34,-0.65
12.75,1.27,0.11,0.33,265.05,-6.41,-0.12
12.9,0.19,-0.12,0.05,301.82,3.09,-0.02
13.05,0.13,0.39,0.09,198.75,3.24,-0.03
13.2,-1.2,3.47,-0.11,160.84,1.12,0.04
13.35,-2.69,3.02,0.16,138.35,-1.9,-0.06
13.5,-2.57,0.97,0.19,110.64,-2.09,-0.07
13.65,-2.55,-1.55,0.23,58.71,-5.35,-0.08
13.8,-3.13,-3.18,0.19,44.61,-6.14,-0.07
13.95,-2.47,-3.5,0.34,35.16,-7.9,-0.12
14.1,0.67,-4.78,0.59,351.97,-10.37,-0.21
14.25,3.58,0.15,0.8,267.56,-10.78,-0.28
14.4,2.05,-6.55,0.42,342.6,-9.12,-0.15
14.55,-0.92,-5.47,0.26,9.52,-4.83,-0.09
14.7,-1.78,-4.68,0.24,20.87,-0.39,-0.09
14.85,3.19,-2.03,0.2,302.51,-0.8,-0.07
15.0,2.22,-1.14,0.49,297.12,-4.87,-0.17
15.15,-5.64,-1.32,0.38,76.81,-9.79,-0.13
15.3,0.81,1.87,0.33,203.48,-10.67,-0.12
15.45,0.51,2.93,0.0,189.94,4.22,-0.0
15.6,-8.2,4.89,-0.12,120.83,-10.43,0.04
15.75,-8.12,9.04,1.1,138.09,-13.59,-0.39
15.9,-7.88,7.6,0.2,133.96,-12.62,-0.07
16.05,1.52,-1.75,-0.23,319.11,-6.48,0.08
16.2,-2.17,-1.24,-0.25,60.38,-5.84,0.09
16.35,-2.01,-0.7,-0.12,70.77,-6.11,0.04
16.5,-2.1,-0.29,-0.14,82.11,-4.63,0.05
16.65,-3.27,0.92,-0.17,105.75,-1.78,0.06
16.8,-5.38,-1.95,-0.09,70.05,1.76,0.03
16.95,-7.13,-2.35,-0.08,71.73,1.97,0.03
17.1,-8.0,-2.43,0.09,73.12,2.54,-0.03
17.25,-8.99,-3.44,0.3,69.05,4.16,-0.1
17.4,-9.2,-3.6,0.38,68.64,7.41,-0.13
17.55,-7.93,-1.78,0.35,77.32,11.66,-0.12
17.7,-7.96,-0.55,0.35,86.01,11.53,-0.12
17.85,-8.46,0.65,0.33,94.4,10.93,-0.12
18.0,-9.2,1.94,0.26,101.89,4.37,-0.09
18.15,-9.07,4.71,0.25,117.43,2.91,-0.09
18.3,-16.02,8.98,0.26,119.28,0.27,-0.09
18.45,-9.28,8.98,0.2,134.06,1.49,-0.07
18.6,-9.97,4.31,0.32,113.35,5.32,-0.11
18.75,-14.51,3.41,0.32,103.24,5.56,-0.11
18.9,-10.36,4.0,0.43,111.11,3.77,-0.15
19.05,-10.36,3.77,0.37,109.99,2.1,-0.13
19.2,-15.33,0.23,0.38,90.86,5.41,-0.13
19.35,-14.57,0.53,0.34,92.09,5.86,-0.12
19.5,-14.8,0.28,0.34,91.09,4.98,-0.12
19.65,-14.86,1.15,0.26,94.43,0.8,-0.09
19.8,-14.79,1.05,0.24,94.07,-2.7,-0.09
19.95,-14.73,0.89,0.23,93.45,-0.71,-0.08
20.1,-12.59,0.72,0.22,93.27,5.11,-0.08
20.25,-12.96,1.03,0.22,94.56,5.35,-0.08
20.4,-14.81,1.37,0.16,95.28,-3.53,-0.06
20.55,-14.82,1.88,0.19,97.22,-7.2,-0.07
20.7,-14.47,1.52,0.23,95.99,-6.48,-0.08
20.85,-14.29,1.38,0.37,95.52,-6.03,-0.13
21.0,-14.4,2.07,0.32,98.19,-9.36,-0.11
21.15,-14.84,5.53,0.42,110.43,-11.32,-0.15
21.3,-9.67,5.53,0.67,119.74,-11.95,-0.24
21.45,-5.57,5.53,0.61,134.79,-8.88,-0.21
21.6,-1.25,-2.76,0.37,24.35,-5.62,-0.13
21.75,-1.58,9.81,0.25,170.86,-3.09,-0.09
21.9,-16.7,10.5,0.24,122.16,-0.6,-0.09
22.05,-15.63,12.68,0.32,129.04,-2.78,-0.11
22.2,-15.48,12.61,0.32,129.15,-5.5,-0.11
22.35,-11.74,7.51,-0.04,122.6,-9.16,0.01
22.5,-10.36,5.24,-0.24,116.82,-12.96,0.08
22.65,-11.43,3.32,-0.48,106.21,-13.45,0.17
22.8,-14.51,-1.19,-0.94,85.3,-9.52,0.33
22.95,-15.96,-1.08,-0.88,86.12,-8.0,0.31
23.1,-11.74,2.33,-0.94,101.21,-9.16,0.33
23.25,-11.74,0.71,0.48,93.47,-14.54,-0.17
23.4,-11.74,0.83,-1.68,94.07,-14.05,0.59
23.55,-11.74,0.56,-0.24,92.75,-13.62,0.08
23.7,-13.82,4.71,0.19,108.83,-12.18,-0.07
23.85,-13.82,1.98,0.19,98.17,-12.26,-0.07
24.0,-9.67,6.22,0.24,122.74,-13.74,-0.08
24.15,-9.67,4.84,0.24,116.57,-13.66,-0.08
24.3,-9.67,8.38,-0.43,130.9,-11.79,0.15
24.45,-9.67,7.94,1.63,129.4,-12.4,-0.58
24.6,-9.67,7.32,-0.24,127.13,-10.55,0.09
24.75,-12.53,0.48,-0.14,92.18,-11.48,0.05
24.9,-13.8,-0.05,-0.05,89.79,-12.41,0.02
25.05,-8.29,0.1,2.98,90.7,-13.49,-1.05
25.2,-6.91,8.98,2.88,142.43,-14.54,-1.02
25.35,-8.29,8.98,2.64,137.29,-13.2,-0.93
