Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,-5.53,2.07,1.2,110.56,-14.54,-0.42
1.65,0.69,-0.37,-0.24,298.37,-4.57,0.08
1.8,0.06,0.73,-0.04,184.45,16.66,0.01
1.95,0.21,0.52,0.02,201.99,17.6,-0.01
2.1,-0.01,0.15,0.11,174.71,19.59,-0.04
2.25,-0.62,-0.0,0.11,89.76,18.42,-0.04
2.4,-0.1,-0.11,0.01,39.86,16.74,-0.0
2.55,0.5,0.18,-0.1,250.73,16.28,0.04
2.7,0.44,0.05,-0.04,263.56,15.85,0.01
2.85,0.64,0.33,-0.02,242.63,12.72,0.01
3.0,0.97,0.83,0.09,229.25,14.32,-0.03
3.15,1.32,1.03,0.04,231.97,19.33,-0.01
3.3,1.04,1.16,-0.01,222.02,22.04,0.0
3.45,0.54,1.31,-0.01,202.54,22.5,0.0
3.6,0.35,1.28,-0.19,195.29,28.3,0.07
3.75,0.31,1.24,-0.16,194.0,28.9,0.06
3.9,0.83,1.31,-0.26,212.47,46.88,0.09
4.05,1.64,1.5,-0.25,227.61,39.02,0.09
4.2,1.9,1.74,-0.32,227.53,43.02,0.11
4.35,2.21,2.11,-0.37,226.34,44.79,0.13
4.5,2.09,2.63,-0.43,218.52,45.63,0.15
4.65,1.94,3.15,-0.5,211.63,44.47,0.18
4.8,1.08,3.41,-0.44,197.52,43.23,0.15
4.95,0.45,4.15,-0.5,186.16,39.78,0.18
5.1,-0.1,4.81,-0.48,178.81,40.07,0.17
5.25,0.08,5.0,-0.54,180.87,48.41,0.19
5.4,0.25,4.87,-0.52,182.97,49.74,0.18
5.55,0.17,4.51,-0.39,182.11,49.33,0.14
5.7,0.34,4.0,-0.31,184.81,48.34,0.11
5.85,-0.21,3.63,-0.19,176.68,45.4,0.07
6.0,-1.34,3.53,-0.24,159.17,36.01,0.08
6.15,-1.76,3.47,-0.24,153.1,31.02,0.09
6.3,-1.97,3.36,-0.09,149.66,26.34,0.03
6.45,-0.83,2.01,0.01,157.58,24.55,-0.0
6.6,-0.17,0.86,0.13,168.74,24.79,-0.05
6.75,-0.01,0.38,0.17,177.88,25.41,-0.06
6.9,-0.04,0.02,0.24,117.76,28.78,-0.08
7.05,-0.35,0.88,0.24,158.21,30.87,-0.08
7.2,-0.67,1.52,0.25,156.31,31.01,-0.09
7.35,-1.21,1.32,0.28,137.44,30.36,-0.1
7.5,-1.45,2.03,0.32,144.55,28.41,-0.11
7.65,-1.63,1.72,0.36,136.54,28.98,-0.13
7.8,-1.8,1.87,0.42,136.09,37.89,-0.15
7.95,-1.84,1.97,0.43,136.96,37.8,-0.15
8.1,-1.62,2.08,0.45,142.03,31.65,-0.16
8.25,-1.22,1.82,0.5,146.06,28.16,-0.18
8.4,-1.82,2.31,0.52,141.83,30.87,-0.18
8.55,-2.35,2.97,0.58,141.71,30.31,-0.21
8.7,-2.76,2.95,0.52,136.87,19.83,-0.18
8.85,-2.58,2.74,0.47,136.77,19.23,-0.17
9.0,-3.37,2.16,0.45,122.64,19.74,-0.16
9.15,-2.73,1.25,0.36,114.67,23.99,-0.13
9.3,-1.61,0.89,0.35,118.92,18.04,-0.12
9.45,-1.18,0.34,0.35,106.18,17.03,-0.12
9.6,-4.95,0.24,0.37,92.81,13.89,-0.13
9.75,-5.74,0.34,0.38,93.4,15.16,-0.13
9.9,-5.05,0.69,0.3,97.76,11.22,-0.11
10.05,-1.63,0.26,0.14,99.07,11.96,-0.05
10.2,-3.23,0.3,0.1,95.25,10.26,-0.04
10.35,-3.13,0.11,0.17,92.08,7.05,-0.06
10.5,-2.82,-0.1,0.31,87.91,6.19,-0.11
10.65,-2.82,0.09,0.33,91.77,7.79,-0.12
10.8,-4.04,1.02,0.35,104.17,5.04,-0.12
10.95,-2.27,1.2,0.35,117.8,-0.11,-0.13
11.1,-3.4,1.62,0.29,115.51,-1.07,-0.1
11.25,-6.71,2.19,0.29,108.09,-1.78,-0.1
11.4,-7.42,2.85,0.26,111.03,-3.3,-0.09
11.55,-6.55,2.44,0.26,110.42,-4.87,-0.09
11.7,-6.39,1.32,0.25,101.65,-5.19,-0.09
11.85,4.1,2.3,0.03,240.65,-4.61,-0.01
12.0,1.3,2.13,0.01,211.33,-6.05,-0.0
12.15,1.48,8.19,0.1,190.23,-8.07,-0.04
12.3,-4.33,3.4,0.12,128.18,-7.75,-0.04
12.45,-4.81,-2.64,0.18,61.2,-5.93,-0.06
12.6,-3.25,-0.28,0.19,85.0,-5.97,-0.07
12.75,-2.78,-0.1,0.23,87.83,-5.57,-0.08
12.9,-3.36,-0.82,0.07,76.2,2.88,-0.02
13.05,-3.04,-0.75,0.07,76.21,2.94,-0.02
13.2,-2.75,-2.69,0.18,45.62,-8.84,-0.06
13.35,-3.18,-3.42,0.24,42.91,-13.31,-0.08
13.5,-3.14,-4.37,0.24,35.71,-13.44,-0.08
13.65,-2.54,-4.14,0.24,31.51,-13.3,-0.08
13.8,-2.48,-3.29,0.2,37.02,-11.69,-0.07
13.95,-2.74,-3.98,0.24,34.6,-12.47,-0.08
14.1,-7.05,0.08,0.18,90.68,-11.08,-0.06
14.25,-7.6,-8.98,0.12,40.24,-7.76,-0.04
14.4,-3.47,-5.65,0.14,31.54,-5.03,-0.05
14.55,-3.17,-4.0,0.15,38.35,-4.13,-0.05
14.7,-1.38,-3.25,0.26,23.03,-1.94,-0.09
14.85,-2.12,-2.44,0.23,40.97,-2.94,-0.08
15.0,-3.11,-1.32,0.22,67.02,-5.73,-0.08
15.15,-4.74,1.52,-0.05,107.74,-12.14,0.02
15.3,-7.71,2.26,-0.04,106.33,-12.82,0.01
15.45,-4.84,3.42,-0.04,125.24,-12.73,0.01
15.6,-4.84,4.84,-0.24,135.0,-9.73,0.09
15.75,-4.74,8.54,-0.3,150.97,-7.46,0.11
15.9,-4.06,8.65,-0.26,154.84,-5.3,0.09
16.05,-3.39,10.7,-0.08,162.44,-3.24,0.03
16.2,-0.49,1.09,-0.03,155.7,-4.1,0.01
16.35,-0.96,5.97,0.11,170.85,-3.34,-0.04
16.5,-0.68,1.9,0.02,160.14,-5.95,-0.01
16.65,-2.01,-0.65,0.18,72.04,0.18,-0.06
16.8,-3.46,-1.57,0.19,65.65,-6.61,-0.07
16.95,-5.88,8.58,0.18,145.59,0.04,-0.06
17.1,-7.46,8.52,0.03,138.79,-2.37,-0.01
17.25,-10.78,7.9,0.03,126.25,-2.52,-0.01
