Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,-8.29,11.74,2.4,144.78,-14.54,-0.85
1.65,1.3,4.84,0.13,194.99,-5.52,-0.05
1.8,-0.59,1.02,0.19,150.08,15.12,-0.07
1.95,-0.53,0.49,0.14,133.17,18.12,-0.05
2.1,-0.21,0.31,-0.04,145.55,20.43,0.01
2.25,0.05,-0.07,-0.11,322.17,20.31,0.04
2.4,0.27,0.14,-0.05,241.57,17.3,0.02
2.55,0.25,-0.42,-0.0,329.83,15.14,0.0
2.7,0.26,-0.38,0.06,325.37,17.76,-0.02
2.85,-0.25,0.11,0.23,113.83,21.04,-0.08
3.0,-0.4,0.38,0.25,133.76,26.95,-0.09
3.15,-0.75,0.81,0.28,137.02,26.69,-0.1
3.3,-0.28,1.12,0.24,166.21,25.43,-0.08
3.45,-1.01,1.14,0.21,138.47,23.7,-0.07
3.6,-1.71,0.8,0.19,115.13,26.62,-0.07
3.75,-1.79,0.8,0.27,114.03,33.27,-0.09
3.9,-1.56,1.12,0.27,125.56,34.02,-0.1
4.05,-1.14,1.57,0.27,143.87,51.0,-0.1
4.2,-1.28,1.86,0.31,145.34,63.79,-0.11
4.35,-1.86,1.72,0.31,132.79,65.55,-0.11
4.5,-2.08,1.58,0.34,127.23,50.5,-0.12
4.65,-2.16,1.88,0.38,131.12,47.07,-0.13
4.8,-2.05,2.2,0.31,137.0,45.96,-0.11
4.95,-1.6,2.26,0.25,144.64,39.64,-0.09
5.1,-1.86,2.08,0.38,138.14,45.57,-0.13
5.25,-2.13,2.09,0.44,134.44,47.69,-0.16
5.4,-2.24,2.19,0.44,134.35,47.28,-0.16
5.55,-2.4,1.48,0.39,121.53,40.51,-0.14
5.7,-2.59,0.37,0.57,98.12,36.62,-0.2
5.85,-2.73,0.06,0.61,91.22,35.32,-0.21
6.0,-3.2,0.26,0.61,94.58,33.96,-0.21
6.15,-3.16,0.31,0.51,95.56,27.21,-0.18
6.3,-2.89,-0.01,0.4,89.78,26.37,-0.14
6.45,-1.82,-0.03,0.31,89.02,27.82,-0.11
6.6,-0.93,0.05,0.29,92.9,30.75,-0.1
6.75,-0.63,-0.14,0.25,77.5,28.13,-0.09
6.9,-0.58,-0.25,0.23,67.04,27.21,-0.08
7.05,-0.81,-0.03,0.14,87.74,22.16,-0.05
7.2,-1.28,-0.56,0.06,66.45,23.47,-0.02
7.35,-1.67,-0.65,-0.14,68.78,26.17,0.05
