Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,-6.22,0.53,0.96,94.9,-14.54,-0.34
1.65,0.07,-0.37,0.13,349.08,-3.93,-0.05
1.8,0.01,-0.19,0.05,355.64,12.94,-0.02
1.95,-0.4,-0.24,0.07,59.11,16.53,-0.02
2.1,-0.65,-0.05,0.08,85.71,19.37,-0.03
2.25,-0.84,-0.04,0.1,87.05,19.75,-0.04
2.4,-0.51,0.11,0.16,102.56,20.03,-0.05
2.55,-0.27,0.37,0.06,143.84,19.26,-0.02
2.7,-0.1,0.53,0.09,169.31,17.18,-0.03
2.85,-0.6,1.57,0.05,158.96,17.25,-0.02
3.0,-1.29,1.88,0.1,145.38,19.98,-0.04
3.15,-1.73,2.35,0.22,143.75,24.08,-0.08
3.3,-2.19,2.82,0.28,142.24,25.58,-0.1
3.45,-2.22,2.97,0.25,143.17,27.19,-0.09
3.6,-2.01,2.88,0.2,145.09,27.47,-0.07
3.75,-2.43,2.25,0.26,132.9,26.68,-0.09
3.9,-2.98,1.55,0.26,117.49,31.77,-0.09
4.05,-3.49,1.32,0.25,110.68,48.5,-0.09
4.2,-3.36,1.27,0.26,110.75,44.12,-0.09
4.35,-3.11,1.42,0.26,114.58,42.45,-0.09
4.5,-3.02,2.68,0.22,131.56,36.39,-0.08
4.65,-2.55,3.34,0.24,142.69,35.69,-0.08
4.8,-2.93,4.19,0.27,144.98,37.54,-0.09
4.95,-3.61,4.57,0.21,141.66,38.54,-0.07
5.1,-3.45,4.27,0.2,141.05,41.54,-0.07
5.25,-3.22,4.0,0.17,141.15,41.15,-0.06
5.4,-3.05,3.68,-0.06,140.32,27.23,0.02
5.55,-3.04,2.51,0.01,129.51,28.07,-0.0
5.7,-3.1,1.8,0.25,120.14,35.3,-0.09
5.85,-3.42,1.53,0.28,114.12,35.74,-0.1
6.0,-4.18,1.06,0.24,104.16,35.15,-0.09
6.15,-4.19,0.93,0.21,102.48,32.44,-0.08
6.3,-3.55,0.52,0.13,98.41,29.52,-0.05
6.45,-3.23,-0.07,0.01,88.8,29.18,-0.0
6.6,-3.03,-0.38,0.02,82.8,30.96,-0.01
6.75,-3.13,-0.59,0.18,79.34,32.96,-0.06
6.9,-3.44,-0.63,0.39,79.66,30.89,-0.14
7.05,-5.1,-0.83,0.48,80.79,31.81,-0.17
7.2,-5.57,-0.62,0.59,83.61,33.45,-0.21
7.35,-5.74,-1.13,0.57,78.83,34.5,-0.2
7.5,-5.37,-2.34,0.49,66.4,35.79,-0.17
7.65,-5.44,-2.39,0.34,66.29,32.74,-0.12
7.8,-5.34,-2.22,0.23,67.41,34.57,-0.08
7.95,-4.92,-1.71,0.05,70.86,31.38,-0.02
8.1,-4.52,-0.52,-0.1,83.47,27.05,0.03
8.25,-4.46,1.52,-0.11,108.84,22.08,0.04
