Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,-3.45,-1.52,1.92,66.24,-14.54,-0.68
1.65,0.38,4.46,0.13,184.89,-3.47,-0.05
1.8,-0.06,-0.05,0.11,51.42,13.74,-0.04
1.95,-0.25,-0.05,0.09,78.06,17.04,-0.03
2.1,-0.47,-0.04,0.03,85.46,17.1,-0.01
2.25,-0.79,-0.33,-0.03,67.36,14.33,0.01
2.4,-0.06,-0.47,-0.04,7.27,11.62,0.01
2.55,-0.03,-0.52,-0.05,3.26,10.83,0.02
2.7,-0.43,-0.53,-0.08,39.41,13.43,0.03
2.85,-1.41,-0.56,-0.09,68.33,16.0,0.03
3.0,-1.94,-0.9,-0.09,65.26,20.79,0.03
3.15,-2.44,-1.47,-0.12,59.0,23.89,0.04
3.3,-2.51,-1.5,-0.21,59.23,26.0,0.07
3.45,-2.59,-0.64,-0.32,76.13,35.82,0.11
3.6,-2.65,-0.19,-0.39,85.82,36.72,0.14
3.75,-2.56,0.4,-0.46,98.97,31.37,0.16
3.9,-2.01,1.53,-0.47,127.33,30.45,0.16
4.05,-1.13,2.06,-0.43,151.24,32.93,0.15
4.2,-0.61,2.12,-0.4,163.84,44.31,0.14
4.35,-0.62,1.8,-0.32,161.06,49.05,0.11
4.5,-1.33,1.74,-0.27,142.56,50.05,0.1
4.65,-1.71,1.66,-0.29,134.25,48.01,0.1
4.8,-2.09,1.31,-0.32,122.12,43.08,0.11
4.95,-2.12,1.27,-0.28,120.92,41.79,0.1
5.1,-2.03,1.83,-0.17,132.07,40.91,0.06
5.25,-1.79,2.36,-0.11,142.84,40.71,0.04
5.4,-1.68,2.34,-0.02,144.28,38.63,0.01
5.55,-1.31,2.2,-0.21,149.25,32.99,0.07
5.7,-0.73,0.83,-0.02,138.57,29.02,0.01
5.85,0.23,0.58,0.21,201.41,33.86,-0.07
6.0,0.19,0.46,0.22,203.0,38.89,-0.08
6.15,-0.1,0.29,0.25,160.99,47.6,-0.09
6.3,0.5,0.15,0.25,253.14,48.0,-0.09
6.45,0.26,-0.58,0.22,336.24,32.29,-0.08
6.6,2.16,-1.3,0.23,301.0,31.67,-0.08
6.75,1.74,-1.95,0.21,318.31,32.03,-0.07
6.9,1.92,-1.61,0.17,309.88,29.09,-0.06
7.05,0.17,-0.47,-0.03,340.55,24.52,0.01
7.2,-0.58,0.84,-0.12,145.32,25.21,0.04
