Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,2.07,1.38,0.96,236.31,-12.86,-0.34
1.65,0.38,0.37,-0.11,225.81,-3.79,0.04
1.8,-0.21,0.96,0.01,167.86,16.79,-0.0
1.95,-0.62,0.59,0.1,133.53,17.33,-0.04
2.1,-0.52,0.3,0.13,119.45,17.7,-0.05
2.25,-0.55,0.02,0.02,92.54,14.66,-0.01
2.4,-0.23,0.18,-0.26,126.92,9.85,0.09
2.55,-0.15,0.11,-0.09,126.41,10.37,0.03
2.7,0.02,0.29,-0.18,183.32,27.01,0.06
2.85,-0.23,0.82,-0.19,164.03,18.69,0.07
3.0,-1.02,0.88,-0.23,130.96,19.96,0.08
3.15,-1.03,1.09,-0.18,136.61,21.94,0.06
3.3,-0.66,0.98,-0.06,145.96,21.61,0.02
3.45,-0.09,1.13,0.01,175.65,21.32,-0.01
3.6,0.1,0.42,0.11,193.71,21.2,-0.04
3.75,-0.21,-0.56,0.05,20.25,21.86,-0.02
3.9,-0.09,0.75,-0.17,173.48,24.74,0.06
4.05,-0.91,2.25,-0.28,157.85,42.88,0.1
4.2,0.6,2.55,-0.29,193.27,36.34,0.1
4.35,-0.15,2.59,-0.18,176.65,38.14,0.06
4.5,-0.47,2.39,-0.14,168.83,34.2,0.05
4.65,-0.92,2.6,-0.21,160.57,37.88,0.07
4.8,-1.12,2.88,-0.25,158.76,33.55,0.09
4.95,-0.64,2.93,-0.25,167.67,35.82,0.09
5.1,-0.45,3.32,-0.26,172.23,38.1,0.09
5.25,-0.37,3.53,-0.32,174.05,44.83,0.11
5.4,-0.79,3.56,-0.33,167.43,44.43,0.12
5.55,-1.49,2.81,-0.37,152.11,36.41,0.13
5.7,-2.33,1.61,-0.35,124.63,32.17,0.12
5.85,-3.59,0.59,-0.4,99.42,31.1,0.14
6.0,-5.03,0.04,-0.33,90.47,32.38,0.12
6.15,-5.23,-0.12,-0.33,88.64,35.82,0.12
6.3,-5.03,-0.53,-0.3,83.98,34.82,0.11
6.45,-3.81,-0.33,-0.29,85.08,32.79,0.1
6.6,-2.7,-0.33,-0.25,83.13,26.15,0.09
6.75,-2.38,-0.18,-0.27,85.79,32.84,0.09
6.9,-2.67,0.05,-0.42,91.11,26.82,0.15
7.05,-2.82,-0.09,-0.55,88.08,31.48,0.2
7.2,-2.23,0.3,-0.56,97.73,25.98,0.2
7.35,-1.39,0.97,-0.55,124.94,30.79,0.19
7.5,-0.77,1.36,-0.42,150.49,24.6,0.15
7.65,-0.55,1.55,-0.39,160.52,24.41,0.14
7.8,-0.6,2.02,-0.37,163.47,22.72,0.13
7.95,-0.55,2.53,-0.38,167.82,22.93,0.14
8.1,-0.2,2.92,-0.4,176.12,25.72,0.14
8.25,-0.11,3.78,-0.34,178.33,27.71,0.12
8.4,-0.19,4.55,-0.31,177.59,27.58,0.11
8.55,-0.52,4.76,-0.21,173.72,17.57,0.07
8.7,-0.69,4.64,0.05,171.5,11.25,-0.02
8.85,-0.79,3.1,0.2,165.72,8.52,-0.07
9.0,-1.08,2.43,0.26,156.03,15.37,-0.09
9.15,-1.37,2.22,0.02,148.29,12.01,-0.01
9.3,-2.22,2.18,0.2,134.53,15.96,-0.07
9.45,-2.62,2.24,0.15,130.48,13.97,-0.05
9.6,-3.24,2.0,0.31,121.62,13.39,-0.11
9.75,-3.57,1.96,0.25,118.79,6.07,-0.09
9.9,-4.11,1.37,0.26,108.48,5.85,-0.09
10.05,-2.37,1.17,0.27,116.29,8.93,-0.1
10.2,-3.46,2.31,0.27,123.72,14.41,-0.1
10.35,-1.11,2.39,0.27,155.18,14.97,-0.09
10.5,0.25,3.45,0.29,184.11,12.19,-0.1
10.65,-1.85,3.05,0.23,148.76,7.81,-0.08
10.8,-1.48,3.04,0.24,154.03,5.35,-0.08
10.95,-0.96,2.96,0.11,162.03,1.27,-0.04
11.1,-0.2,2.93,0.2,176.19,-1.44,-0.07
11.25,-3.12,3.02,0.14,134.07,-1.27,-0.05
11.4,-2.88,3.29,0.52,138.79,-3.15,-0.18
11.55,-3.0,1.42,0.69,115.33,-2.71,-0.24
11.7,-6.64,0.51,0.64,94.35,-3.24,-0.23
11.85,-6.46,-0.35,0.5,86.86,-4.18,-0.18
12.0,-6.83,-0.64,0.38,84.68,-5.57,-0.14
12.15,-7.99,-0.4,0.08,87.11,-3.94,-0.03
12.3,-7.37,4.42,0.16,120.95,-0.83,-0.06
12.45,-6.63,3.83,0.28,120.01,-1.38,-0.1
12.6,-5.5,0.74,-0.12,97.65,-7.59,0.04
12.75,-5.22,2.19,-0.0,112.7,25.79,0.0
12.9,-3.77,0.46,0.09,96.94,2.66,-0.03
13.05,-3.1,0.25,0.15,94.68,20.65,-0.05
13.2,-5.38,-0.07,0.44,89.21,-4.66,-0.16
13.35,-2.87,-0.03,0.51,89.47,-4.99,-0.18
13.5,-4.17,-2.1,0.47,63.32,-5.45,-0.17
13.65,-9.47,-2.65,0.39,74.35,-4.19,-0.14
13.8,-4.83,-3.06,0.43,57.66,-4.81,-0.15
13.95,-9.0,-4.34,0.41,64.27,-3.6,-0.15
14.1,-2.47,-4.8,0.31,27.18,-4.68,-0.11
14.25,-2.9,-5.11,0.24,29.63,-3.87,-0.08
14.4,-1.51,-4.99,0.07,16.85,-8.05,-0.02
14.55,-1.65,-4.91,0.24,18.54,-5.41,-0.09
14.7,-1.58,-4.21,0.17,20.52,-4.41,-0.06
14.85,-1.62,-3.87,0.33,22.73,2.03,-0.12
15.0,-3.63,-4.69,0.41,37.75,1.76,-0.14
15.15,-4.98,-4.4,0.29,48.55,-2.47,-0.1
15.3,-9.0,-1.21,0.37,82.37,-3.55,-0.13
15.45,-9.08,0.98,0.4,96.14,12.8,-0.14
15.6,-8.89,2.39,0.36,105.02,13.25,-0.13
