Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,-2.07,-1.38,1.68,56.31,-14.54,-0.59
1.65,0.7,1.69,0.13,202.57,-3.62,-0.05
1.8,0.47,0.66,0.15,215.31,12.74,-0.05
1.95,0.39,0.54,0.17,215.61,11.89,-0.06
2.1,0.24,0.09,0.11,249.15,13.6,-0.04
2.25,-0.02,-0.16,0.09,6.79,13.87,-0.03
2.4,-0.28,-0.23,0.05,50.46,16.97,-0.02
2.55,-0.72,-0.3,-0.05,67.29,19.91,0.02
2.7,-0.79,-0.42,0.31,61.78,27.37,-0.11
2.85,-0.62,-0.67,0.36,43.04,32.19,-0.13
3.0,-1.24,-1.79,0.19,34.67,34.36,-0.07
3.15,-3.23,0.99,-0.81,107.14,34.74,0.29
3.3,-1.6,3.08,-0.87,152.47,36.2,0.31
3.45,-0.32,2.11,-1.0,171.46,49.16,0.36
3.6,0.18,1.88,-1.01,185.34,36.75,0.36
3.75,0.62,1.32,-1.01,205.33,33.47,0.36
3.9,2.75,1.23,-0.77,245.86,32.96,0.27
4.05,2.56,2.48,-0.7,225.88,37.46,0.25
4.2,3.06,4.32,-0.81,215.32,40.51,0.29
4.35,3.54,5.22,-0.73,214.17,43.41,0.26
4.5,3.96,5.44,-0.73,216.03,44.06,0.26
4.65,2.62,4.83,-0.64,208.46,43.1,0.22
4.8,2.22,4.75,-0.47,205.08,41.1,0.16
4.95,2.03,5.01,-0.33,202.06,41.8,0.12
5.1,1.65,5.48,-0.3,196.75,43.98,0.11
5.25,1.44,5.73,-0.32,194.09,46.44,0.11
5.4,0.98,5.19,-0.31,190.69,47.34,0.11
5.55,0.76,4.16,-0.31,190.37,47.25,0.11
5.7,-0.17,4.0,-0.29,177.51,44.85,0.1
5.85,-1.06,3.95,-0.23,164.99,42.12,0.08
6.0,-1.81,4.08,-0.18,156.04,40.08,0.06
6.15,-2.09,4.63,-0.11,155.74,37.88,0.04
6.3,-2.24,4.35,0.14,152.75,34.6,-0.05
6.45,-1.32,3.79,0.26,160.74,35.44,-0.09
6.6,-0.87,2.63,0.36,161.63,34.18,-0.13
6.75,-0.62,1.78,0.4,160.87,28.91,-0.14
6.9,-1.44,1.54,0.38,137.05,28.69,-0.13
7.05,-2.43,0.73,0.1,106.84,28.38,-0.04
7.2,-2.87,0.23,-0.05,94.52,28.74,0.02
7.35,-3.26,0.16,-0.16,92.87,25.76,0.06
7.5,-3.12,0.39,-0.18,97.2,26.07,0.06
7.65,-2.46,0.04,-0.2,90.82,25.47,0.07
7.8,-1.83,-0.04,-0.21,88.86,26.51,0.08
7.95,-1.19,0.1,-0.17,94.81,22.29,0.06
8.1,-0.81,0.45,0.02,118.88,17.86,-0.01
8.25,-0.46,0.72,0.1,147.43,16.71,-0.04
8.4,-0.91,1.47,0.11,148.37,16.99,-0.04
8.55,-1.28,1.91,0.04,146.07,14.84,-0.01
8.7,-1.45,1.88,-0.01,142.3,10.56,0.0
8.85,-1.34,1.5,0.05,138.32,5.1,-0.02
9.0,-1.7,1.24,0.05,126.11,5.07,-0.02
9.15,-2.28,0.86,0.1,110.59,7.17,-0.03
9.3,-2.55,1.17,0.11,114.64,8.65,-0.04
9.45,-1.25,1.1,0.22,131.29,6.14,-0.08
9.6,-2.41,0.96,0.11,111.8,3.17,-0.04
9.75,-3.02,1.14,0.05,110.69,-1.88,-0.02
9.9,-2.67,1.0,-0.06,110.56,4.7,0.02
10.05,-2.13,0.17,0.03,94.54,6.15,-0.01
10.2,-1.99,0.18,0.06,95.3,6.72,-0.02
10.35,-1.38,0.35,0.07,104.17,5.96,-0.03
10.5,-1.08,-0.17,0.12,81.22,5.2,-0.04
10.65,0.16,-0.3,0.12,331.38,4.62,-0.04
10.8,-1.76,1.11,0.08,122.28,2.38,-0.03
