Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,nan,9.78,0.96,nan,-14.54,-0.34
1.65,5.15,-1.38,-0.35,285.02,-3.11,0.12
1.8,-0.64,-0.65,-0.16,44.35,15.73,0.06
1.95,-0.86,-0.54,-0.04,57.77,17.21,0.01
2.1,-0.58,-0.4,-0.07,55.02,18.95,0.02
2.25,0.04,-0.26,0.09,350.94,20.81,-0.03
2.4,0.36,0.7,-0.42,207.11,17.19,0.15
2.55,0.19,0.32,0.58,210.87,15.9,-0.21
2.7,-0.02,0.69,0.26,178.33,14.55,-0.09
2.85,-0.05,1.12,-0.11,177.62,16.47,0.04
3.0,0.05,0.87,-0.12,183.15,21.72,0.04
3.15,0.82,0.41,-0.19,243.09,23.09,0.07
3.3,1.04,-0.32,-0.09,286.95,21.6,0.03
3.45,1.13,-0.76,-0.01,303.82,19.62,0.0
3.6,0.65,-0.72,0.08,318.09,18.98,-0.03
3.75,-0.08,0.1,-0.09,141.1,18.87,0.03
3.9,-0.45,0.74,-0.2,148.51,22.18,0.07
4.05,-0.57,1.51,-0.23,159.49,31.88,0.08
4.2,-0.33,2.33,-0.3,171.84,40.73,0.11
4.35,-0.31,2.74,-0.32,173.49,49.84,0.11
4.5,-0.32,2.83,-0.36,173.47,46.42,0.13
4.65,-0.3,2.88,-0.37,174.02,46.0,0.13
4.8,-0.29,3.55,-0.43,175.26,39.89,0.15
4.95,-0.62,3.61,-0.44,170.24,37.59,0.15
5.1,-1.61,4.24,-0.51,159.21,38.49,0.18
5.25,-2.23,4.44,-0.65,153.32,42.57,0.23
5.4,-2.28,4.26,-0.64,151.89,42.76,0.23
5.55,-2.6,3.27,-0.57,141.52,42.71,0.2
5.7,-2.54,2.78,-0.49,137.65,44.58,0.17
5.85,-3.15,2.7,-0.48,130.57,44.44,0.17
6.0,-3.23,3.0,-0.42,132.91,42.17,0.15
6.15,-3.31,2.9,-0.37,131.22,36.03,0.13
6.3,-2.95,3.11,-0.31,136.48,32.62,0.11
6.45,-2.23,2.56,-0.23,138.99,28.66,0.08
6.6,-1.43,2.18,-0.02,146.77,27.89,0.01
6.75,-0.46,0.99,0.06,154.9,25.51,-0.02
6.9,-0.29,0.95,0.09,162.88,25.32,-0.03
7.05,-0.45,0.57,0.04,141.76,24.62,-0.01
7.2,-1.04,0.77,-0.05,126.6,26.69,0.02
7.35,-1.55,0.9,-0.15,120.24,29.82,0.05
7.5,-1.66,1.75,-0.21,136.4,37.64,0.07
7.65,-1.71,2.14,-0.21,141.42,37.59,0.07
7.8,-1.83,2.06,-0.21,138.29,35.3,0.07
7.95,-2.36,1.92,-0.15,129.07,33.68,0.05
8.1,-2.5,2.3,-0.14,132.63,28.11,0.05
8.25,-2.92,3.16,-0.19,137.24,23.55,0.07
8.4,-3.17,4.2,-0.11,142.95,15.29,0.04
8.55,-3.6,4.65,-0.0,142.28,11.58,0.0
8.7,-3.23,4.04,0.03,141.34,13.28,-0.01
8.85,-3.26,3.76,0.0,139.07,13.69,-0.0
9.0,-4.04,3.49,0.12,130.76,13.16,-0.04
9.15,-4.79,2.4,0.19,116.62,11.87,-0.07
9.3,-4.01,2.3,0.18,119.84,13.64,-0.06
9.45,-2.54,1.15,0.16,114.29,13.57,-0.06
9.6,-2.64,3.28,0.21,141.15,8.56,-0.08
9.75,-3.64,3.15,0.22,130.93,6.72,-0.08
9.9,-4.87,2.86,0.18,120.45,7.23,-0.06
10.05,-2.03,2.26,0.11,138.1,8.31,-0.04
10.2,-1.45,2.23,0.17,146.89,7.99,-0.06
10.35,-0.57,1.57,0.09,160.04,1.3,-0.03
10.5,-0.95,3.44,0.02,164.63,12.25,-0.01
10.65,-1.02,3.6,0.04,164.17,13.03,-0.01
10.8,1.95,3.24,0.04,211.09,3.2,-0.01
10.95,-2.84,2.89,-0.03,135.49,1.05,0.01
11.1,-3.45,4.23,0.08,140.76,-0.08,-0.03
11.25,-4.4,0.93,0.25,101.9,-2.86,-0.09
11.4,-4.24,5.7,0.24,143.36,-0.09,-0.09
11.55,-3.62,5.54,0.46,146.82,-1.78,-0.16
11.7,-3.93,3.77,0.19,133.86,-2.75,-0.07
11.85,0.24,2.73,0.25,184.93,-8.41,-0.09
12.0,-4.7,2.4,1.49,117.07,-8.33,-0.53
12.15,1.67,4.89,1.27,198.83,-5.05,-0.45
12.3,-0.67,1.39,1.27,154.25,-4.31,-0.45
12.45,-0.99,1.37,0.34,144.12,-5.79,-0.12
12.6,-0.9,1.37,0.01,146.85,-7.34,-0.0
12.75,-1.93,1.97,0.32,135.51,-7.27,-0.11
12.9,-0.05,3.35,0.01,179.1,0.89,-0.0
13.05,-0.25,3.36,-0.1,175.67,2.23,0.04
13.2,-1.32,1.07,-0.15,129.08,1.28,0.05
13.35,-3.5,-0.04,-0.14,89.27,0.2,0.05
13.5,-3.89,-2.0,0.07,62.76,-1.73,-0.03
13.65,-3.59,-4.91,0.22,36.17,-2.58,-0.08
13.8,-3.52,-5.84,0.31,31.12,-3.51,-0.11
13.95,-3.56,-1.55,0.38,66.46,-5.99,-0.13
14.1,-3.89,-0.55,0.47,81.9,-8.87,-0.16
14.25,-3.62,-4.84,0.47,36.8,-8.99,-0.16
14.4,-3.45,-7.03,0.48,26.16,-8.16,-0.17
14.55,-3.18,-5.85,0.33,28.53,-6.86,-0.12
14.7,-2.25,-2.56,0.22,41.32,-5.08,-0.08
14.85,-3.04,-3.9,0.05,37.95,-3.89,-0.02
15.0,-3.87,-1.98,0.09,62.85,-4.19,-0.03
15.15,-6.54,-0.89,0.53,82.29,-12.02,-0.19
15.3,-8.32,0.85,0.72,95.83,-12.12,-0.25
15.45,-8.36,2.32,0.29,105.5,-11.99,-0.1
15.6,-7.69,4.1,0.35,118.04,-9.83,-0.12
15.75,-7.48,6.56,0.25,131.26,-8.58,-0.09
15.9,-7.04,8.13,0.21,139.11,-7.11,-0.07
16.05,-4.8,8.15,0.23,149.49,-1.11,-0.08
16.2,-3.66,5.18,0.23,144.75,3.44,-0.08
16.35,-0.75,1.31,0.26,150.02,5.05,-0.09
16.5,-0.57,2.48,0.26,167.12,4.56,-0.09
16.65,-1.79,1.1,0.29,121.56,5.92,-0.1
16.8,-2.25,-0.01,0.23,89.83,3.61,-0.08
16.95,-4.55,-1.56,0.23,71.03,2.69,-0.08
17.1,-6.45,-1.85,0.21,73.97,-0.49,-0.08
17.25,-6.85,-1.99,0.19,73.77,2.86,-0.07
17.4,-7.51,-1.66,0.14,77.54,3.55,-0.05
17.55,-8.94,-0.92,0.0,84.12,3.33,-0.0
17.7,-9.95,-0.21,-0.15,88.76,5.92,0.05
17.85,-10.39,-0.46,-0.08,87.46,6.22,0.03
18.0,-7.07,-0.19,-0.13,88.43,7.72,0.05
18.15,-11.0,-0.01,-0.11,89.95,2.91,0.04
18.3,-10.03,7.25,-0.16,125.87,0.87,0.06
18.45,-8.11,4.14,-0.22,117.07,0.08,0.08
18.6,-3.69,4.14,-0.32,138.3,4.04,0.11
18.75,-2.65,4.14,-0.33,147.4,17.58,0.12
18.9,-1.67,2.76,-0.35,148.86,18.17,0.12
19.05,-0.18,0.59,-0.41,162.78,17.53,0.15
19.2,-0.06,0.55,-0.47,173.59,15.83,0.17
19.35,-1.18,1.11,-0.38,133.33,2.53,0.13
19.5,-1.18,1.58,-0.33,143.29,-1.6,0.12
19.65,-1.45,1.57,-0.28,137.2,-7.07,0.1
19.8,-0.87,3.89,-0.25,167.43,-7.3,0.09
19.95,-0.26,0.2,-0.14,126.78,-6.39,0.05
20.1,1.0,0.32,0.13,252.3,-2.38,-0.04
20.25,2.29,0.87,0.18,249.08,-3.03,-0.06
20.4,2.42,1.33,-0.22,241.17,-3.62,0.08
20.55,-0.83,2.55,-0.2,161.94,-5.12,0.07
20.7,-5.65,-2.36,-0.29,67.3,-4.63,0.1
20.85,-5.71,-2.17,-0.19,69.15,-3.59,0.07
21.0,-2.12,2.17,-0.21,135.71,-6.32,0.08
21.15,-3.3,-0.66,-0.2,78.7,-6.91,0.07
21.3,-7.6,3.45,-0.0,114.44,-13.21,0.0
21.45,-7.6,-0.69,-0.1,84.81,-9.17,0.04
21.6,-6.22,-1.47,-0.05,76.67,6.18,0.02
21.75,-2.55,2.74,0.06,137.08,-6.66,-0.02
21.9,-4.33,3.38,0.07,127.97,-7.5,-0.02
22.05,-4.29,3.38,0.1,128.25,-10.55,-0.04
22.2,-3.58,-0.69,0.06,79.09,-11.62,-0.02
22.35,-3.14,-0.25,0.24,85.37,-13.18,-0.08
22.5,-3.0,-0.52,-0.77,80.24,-12.32,0.27
22.65,-3.91,-0.77,-0.77,78.84,-12.31,0.27
22.8,-2.66,2.76,0.68,136.09,-12.74,-0.24
22.95,-8.41,2.52,0.43,106.66,-11.01,-0.15
23.1,-4.04,4.99,0.42,141.0,-4.59,-0.15
23.25,-0.79,1.77,0.33,156.04,-9.85,-0.12
23.4,-1.17,-0.44,0.29,69.24,-11.49,-0.1
23.55,-1.22,-0.84,0.24,55.55,-12.94,-0.08
23.7,-0.4,-0.84,0.19,25.47,-11.06,-0.07
23.85,0.1,7.57,0.03,180.79,-9.52,-0.01
24.0,-8.98,7.6,-0.18,130.24,-10.31,0.06
24.15,-0.69,7.72,-0.24,174.89,-11.28,0.08
24.3,-2.76,8.53,-0.24,162.06,-13.26,0.08
24.45,-2.89,8.57,-0.24,161.35,-13.87,0.08
24.6,-6.91,8.4,-0.28,140.57,-12.67,0.1
24.75,-1.41,8.61,-0.06,170.67,-11.36,0.02
24.9,-1.56,8.76,0.17,169.92,-10.05,-0.06
25.05,2.17,8.98,-0.29,193.6,-12.28,0.1
25.2,-14.69,10.36,-0.29,125.19,-12.37,0.1
25.35,-6.22,12.54,-0.48,153.63,-13.3,0.17
