Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,-6.22,-1.38,0.24,77.47,-14.54,-0.08
1.65,-5.53,-4.46,0.13,51.12,-3.59,-0.05
1.8,-0.89,-0.1,0.05,83.66,12.24,-0.02
1.95,-0.69,-0.31,0.06,65.53,13.45,-0.02
2.1,-0.66,-0.41,0.06,58.02,11.99,-0.02
2.25,-0.54,-0.49,0.09,47.5,12.54,-0.03
2.4,-0.5,-0.35,-0.0,55.46,13.62,0.0
2.55,-0.81,-0.44,-0.07,61.27,15.23,0.02
2.7,-0.96,-0.46,-0.32,64.56,14.87,0.11
2.85,-1.49,0.06,-0.41,92.5,17.07,0.15
3.0,-2.19,0.82,-0.41,110.56,23.04,0.14
3.15,-0.41,0.85,-0.46,154.61,28.81,0.16
3.3,-2.41,1.14,-0.47,115.22,33.03,0.17
3.45,-2.18,0.78,-0.41,109.6,34.84,0.15
3.6,-2.62,0.89,-0.32,108.84,35.81,0.11
3.75,-1.68,-0.74,-0.16,66.13,32.28,0.06
3.9,0.64,0.02,0.33,268.42,51.19,-0.12
4.05,1.97,1.12,0.46,240.4,48.11,-0.16
4.2,2.46,1.65,0.29,236.16,49.2,-0.1
4.35,2.04,2.43,0.22,220.02,35.89,-0.08
4.5,1.6,2.81,0.21,209.55,37.73,-0.07
4.65,0.71,2.65,0.25,195.06,37.94,-0.09
4.8,0.17,2.83,0.27,183.43,38.34,-0.1
4.95,-0.77,2.88,0.28,165.12,38.36,-0.1
5.1,-0.87,3.94,0.25,167.48,40.57,-0.09
5.25,-0.45,4.33,0.25,174.08,40.74,-0.09
5.4,-0.95,3.67,0.19,165.52,38.5,-0.07
5.55,-0.9,3.27,0.19,164.63,37.32,-0.07
5.7,-1.29,2.89,0.18,155.94,39.16,-0.06
5.85,-1.11,2.43,0.21,155.44,41.6,-0.07
6.0,-1.37,1.97,0.21,145.19,41.55,-0.07
6.15,-1.58,2.07,0.05,142.69,36.37,-0.02
6.3,-1.69,1.8,-0.14,136.87,37.02,0.05
6.45,-1.56,1.49,-0.19,133.74,36.52,0.07
6.6,-1.4,0.89,-0.0,122.58,22.36,0.0
6.75,-1.59,-0.2,0.08,82.72,21.72,-0.03
6.9,-1.74,-0.28,0.21,80.88,25.14,-0.07
7.05,-2.82,-0.21,0.24,85.69,31.97,-0.09
7.2,-4.07,0.21,0.25,93.01,32.42,-0.09
7.35,-5.71,0.73,0.19,97.32,28.29,-0.07
7.5,-5.88,1.73,0.01,106.42,17.44,-0.0
7.65,-5.37,1.69,0.1,107.45,16.4,-0.04
7.8,-4.97,1.15,0.22,103.06,31.02,-0.08
7.95,-4.78,1.14,0.16,103.37,30.8,-0.06
8.1,-5.0,1.24,0.16,103.96,17.81,-0.06
8.25,-4.5,1.4,0.14,107.31,17.33,-0.05
8.4,-5.2,1.69,0.2,108.01,20.97,-0.07
8.55,-5.77,2.39,0.17,112.53,20.0,-0.06
8.7,-5.95,2.4,0.21,111.94,17.01,-0.08
8.85,-5.44,2.3,0.19,112.88,7.01,-0.07
9.0,-4.86,1.68,0.14,109.01,1.54,-0.05
9.15,-3.06,1.01,0.0,108.2,1.29,-0.0
9.3,-1.85,0.79,0.06,113.12,0.21,-0.02
9.45,-3.15,0.64,-0.03,101.51,5.3,0.01
9.6,-5.78,1.69,0.06,106.26,0.79,-0.02
9.75,-6.23,1.63,-0.01,104.65,6.49,0.0
9.9,-6.65,1.58,0.02,103.38,8.14,-0.01
10.05,-3.74,1.57,-0.07,112.74,8.75,0.02
10.2,-2.78,1.25,-0.13,114.17,8.26,0.04
10.35,-1.83,0.96,-0.19,117.74,4.65,0.07
10.5,-2.03,0.29,-0.17,98.14,2.53,0.06
10.65,-2.28,0.33,-0.11,98.33,-0.11,0.04
10.8,-2.65,1.01,0.1,110.83,7.12,-0.04
10.95,-0.16,1.71,0.21,174.51,-4.43,-0.07
11.1,-3.83,0.63,0.32,99.34,-7.65,-0.11
11.25,-4.55,-0.8,0.24,80.07,-0.41,-0.09
11.4,-4.25,0.02,0.21,90.25,-5.37,-0.07
11.55,-2.98,4.03,0.18,143.52,-5.68,-0.06
11.7,2.12,3.68,0.2,209.92,-5.62,-0.07
11.85,-2.38,2.27,-0.04,133.54,-9.15,0.01
12.0,-3.27,2.41,0.03,126.33,-8.41,-0.01
12.15,-5.18,2.36,0.18,114.51,-9.74,-0.06
12.3,-4.7,2.45,0.24,117.49,-9.83,-0.09
12.45,-4.28,1.91,0.19,114.13,-9.39,-0.07
12.6,-3.46,0.97,0.2,105.75,-11.88,-0.07
12.75,-4.07,2.99,0.24,126.23,-11.27,-0.08
12.9,-2.52,0.79,0.23,107.33,-5.06,-0.08
13.05,-0.66,0.36,0.23,118.27,-5.14,-0.08
13.2,-1.84,-4.11,-0.03,24.07,-13.13,0.01
13.35,-1.98,-4.86,1.68,22.21,-14.54,-0.59
13.5,-3.84,-5.53,1.68,34.8,-14.54,-0.59
13.65,-4.28,-2.64,1.68,58.34,-14.54,-0.59
13.8,-4.25,-2.92,-1.2,55.55,-13.53,0.42
13.95,0.0,-3.09,-1.2,360.0,-13.6,0.42
14.1,-4.14,-3.5,0.24,49.84,-12.95,-0.08
14.25,-0.57,-2.91,0.24,11.15,-12.91,-0.08
14.4,-4.01,-2.78,0.24,55.29,-13.48,-0.08
14.55,-7.05,-2.23,0.24,72.46,-13.42,-0.08
14.7,-3.76,-0.3,-0.15,85.4,-7.78,0.05
14.85,-4.4,0.28,-0.16,93.61,-8.03,0.06
15.0,-6.37,1.56,1.32,103.76,-13.33,-0.46
15.15,-7.61,2.72,1.2,109.66,-14.54,-0.42
15.3,4.14,2.81,1.2,235.91,-14.54,-0.42
15.45,4.25,6.91,-1.01,211.62,-12.31,0.36
15.6,-2.76,-1.24,-1.01,65.82,-12.29,0.36
