Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,-4.26,0.0,-0.76,90.0,-12.86,0.27
1.65,0.31,-0.32,-0.0,315.45,-6.11,0.0
1.8,-0.37,0.32,0.1,131.16,16.22,-0.03
1.95,-0.16,0.08,0.09,117.75,18.4,-0.03
2.1,-0.2,-0.33,0.15,30.67,18.45,-0.05
2.25,-0.36,-0.29,0.15,51.42,18.84,-0.05
2.4,-0.01,-0.28,0.12,1.47,16.97,-0.04
2.55,0.27,-0.38,-0.02,324.75,17.31,0.01
2.7,0.62,-0.61,-0.24,314.14,24.17,0.09
2.85,0.29,-0.41,-0.28,324.88,26.7,0.1
3.0,-0.13,0.08,-0.24,120.97,25.71,0.08
3.15,-0.71,0.0,-0.14,90.17,22.62,0.05
3.3,-1.51,1.26,-0.08,129.9,21.49,0.03
3.45,-2.21,2.04,0.03,132.68,21.42,-0.01
3.6,-2.52,2.66,0.15,136.59,20.59,-0.05
3.75,-2.08,3.39,0.17,148.46,24.34,-0.06
3.9,-1.89,3.78,0.09,153.38,25.58,-0.03
4.05,-1.15,3.93,-0.01,163.68,43.37,0.0
4.2,-1.07,4.09,-0.21,165.31,40.18,0.08
4.35,-0.84,4.24,-0.22,168.83,41.78,0.08
4.5,-0.69,4.5,-0.19,171.28,36.36,0.07
4.65,-0.22,4.52,-0.13,177.24,30.14,0.04
4.8,-1.31,5.05,-0.05,165.42,28.13,0.02
4.95,-1.72,5.03,-0.04,161.14,24.5,0.01
5.1,-1.73,5.34,-0.08,162.09,26.0,0.03
5.25,-1.14,5.43,0.01,168.09,33.62,-0.0
5.4,-0.96,5.21,0.06,169.56,39.21,-0.02
5.55,-1.33,4.11,0.21,162.04,37.71,-0.07
5.7,-1.33,3.84,0.23,160.89,43.79,-0.08
5.85,-1.43,3.44,0.27,157.46,38.25,-0.1
6.0,-1.5,3.29,0.33,155.51,41.48,-0.12
6.15,-2.01,3.13,0.38,147.27,42.31,-0.13
6.3,-1.98,2.57,0.31,142.46,43.81,-0.11
6.45,-1.59,2.06,0.31,142.41,42.85,-0.11
6.6,-1.0,0.85,0.36,130.17,37.17,-0.13
6.75,-1.05,0.5,0.42,115.62,35.74,-0.15
6.9,-1.07,0.33,0.41,107.03,35.93,-0.14
7.05,-1.34,1.02,0.29,127.38,39.66,-0.1
7.2,-1.51,1.51,0.25,135.1,41.44,-0.09
7.35,-1.44,1.98,0.25,144.04,41.51,-0.09
7.5,-1.38,2.22,0.16,148.24,29.96,-0.06
7.65,-1.49,2.3,0.18,147.04,29.81,-0.06
7.8,-1.23,1.96,0.22,147.87,28.18,-0.08
7.95,-1.45,2.2,0.21,146.72,29.14,-0.07
8.1,-0.9,2.7,0.2,161.53,21.86,-0.07
8.25,-0.53,3.29,0.19,170.92,20.91,-0.07
8.4,-0.23,3.68,0.16,176.39,16.69,-0.06
8.55,-0.13,3.83,0.17,178.01,17.2,-0.06
8.7,-0.44,4.05,0.19,173.78,14.89,-0.07
8.85,-0.54,3.62,0.17,171.52,8.11,-0.06
9.0,-0.62,3.19,0.01,168.94,5.45,-0.0
9.15,-1.09,2.34,-0.13,155.0,6.05,0.05
9.3,-0.78,1.99,-0.04,158.55,13.35,0.01
9.45,-1.13,1.0,-0.05,131.39,13.39,0.02
9.6,-1.57,2.3,0.15,145.68,5.26,-0.05
9.75,-2.2,2.97,-0.07,143.46,3.09,0.02
9.9,-1.86,2.54,0.08,143.75,4.44,-0.03
10.05,-1.93,1.9,0.06,134.46,9.86,-0.02
