Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,-1.38,6.22,0.72,167.47,-14.54,-0.25
1.65,4.45,0.39,0.38,264.94,-5.67,-0.13
1.8,-0.61,0.13,0.09,102.01,10.16,-0.03
1.95,-0.71,-0.09,0.08,82.61,13.86,-0.03
2.1,-0.28,0.19,0.06,124.21,16.53,-0.02
2.25,0.05,0.36,0.1,188.33,13.97,-0.04
2.4,0.07,0.04,0.14,238.04,14.51,-0.05
2.55,-0.57,-0.16,-0.23,74.46,16.09,0.08
2.7,-0.51,0.01,-0.17,91.28,18.2,0.06
2.85,-1.22,0.37,-0.23,106.76,19.78,0.08
3.0,-1.6,0.45,-0.2,105.75,20.06,0.07
3.15,-1.34,-0.26,-0.28,78.84,22.15,0.1
3.3,-0.61,-0.64,-0.38,43.85,38.38,0.13
3.45,-0.22,-0.49,-0.56,24.55,46.26,0.2
3.6,0.1,-0.27,-0.59,339.48,47.19,0.21
3.75,0.64,-0.06,-0.63,275.08,32.69,0.22
3.9,1.26,0.51,-0.64,248.1,28.02,0.22
4.05,2.15,0.89,-0.64,247.53,32.28,0.23
4.2,2.83,1.54,-0.65,241.48,36.15,0.23
4.35,3.13,1.43,-0.63,245.36,40.35,0.22
4.5,3.03,1.65,-0.63,241.39,42.03,0.22
4.65,2.62,2.18,-0.54,230.3,41.72,0.19
4.8,1.88,3.39,-0.46,208.93,42.26,0.16
4.95,0.91,3.8,-0.38,193.52,41.86,0.13
5.1,0.89,4.65,-0.31,190.86,41.92,0.11
5.25,1.07,5.64,-0.3,190.73,53.98,0.11
5.4,0.4,5.25,-0.3,184.35,54.0,0.11
5.55,-0.07,4.53,-0.3,179.08,41.04,0.11
5.7,-0.87,3.94,-0.27,167.52,41.28,0.1
5.85,-1.05,3.66,-0.19,164.02,46.31,0.07
6.0,-1.37,3.41,-0.19,158.19,45.62,0.07
6.15,-1.73,3.41,-0.28,153.07,39.25,0.1
6.3,-1.75,3.13,-0.29,150.79,28.8,0.1
6.45,-0.51,1.58,-0.16,162.16,32.94,0.05
6.6,0.46,0.26,-0.05,240.36,27.36,0.02
6.75,0.98,-0.03,-0.08,271.72,30.73,0.03
6.9,1.13,0.11,-0.04,264.55,24.53,0.01
7.05,1.01,0.06,-0.2,266.52,31.86,0.07
7.2,1.19,0.82,-0.21,235.38,36.3,0.07
7.35,0.95,1.28,-0.23,216.63,39.27,0.08
7.5,0.67,1.27,-0.21,207.76,35.28,0.08
7.65,0.58,1.33,-0.17,203.44,28.94,0.06
7.8,-0.19,1.07,-0.17,169.96,28.74,0.06
7.95,-0.29,0.57,-0.21,152.86,28.76,0.07
8.1,-0.39,0.42,-0.16,137.13,26.56,0.06
8.25,-0.38,1.32,-0.09,164.02,22.46,0.03
8.4,-1.47,1.79,-0.02,140.63,23.22,0.01
8.55,-2.06,2.12,-0.06,135.86,33.88,0.02
8.7,-2.9,1.84,0.01,122.45,19.35,-0.0
8.85,-2.97,1.78,0.21,120.91,8.97,-0.07
9.0,-3.37,1.81,0.24,118.19,9.1,-0.08
9.15,-3.73,1.45,0.19,111.27,16.18,-0.07
9.3,-1.92,1.23,0.19,122.7,16.34,-0.07
9.45,-1.8,0.71,-0.05,111.45,7.26,0.02
9.6,-4.91,1.93,-0.0,111.44,3.95,0.0
9.75,-6.28,1.97,-0.17,107.37,3.36,0.06
9.9,-6.32,1.28,0.04,101.43,2.46,-0.01
10.05,-2.91,1.77,-0.16,121.39,5.77,0.05
10.2,-4.89,1.77,-0.1,109.87,5.57,0.04
10.35,-3.1,1.34,-0.15,113.34,5.1,0.05
10.5,-4.05,1.67,-0.01,112.38,2.34,0.0
10.65,-4.97,1.5,0.07,106.85,12.25,-0.02
10.8,-5.93,2.24,0.13,110.73,9.43,-0.05
10.95,-4.88,2.74,-0.03,119.33,8.77,0.01
11.1,-4.71,3.34,-0.12,125.36,-5.1,0.04
11.25,-0.82,1.66,-0.03,153.61,-6.53,0.01
11.4,-5.47,0.26,0.24,92.69,-9.4,-0.09
11.55,-8.48,3.69,0.17,113.52,-9.87,-0.06
11.7,-8.64,1.96,-0.13,102.79,-10.48,0.05
11.85,-4.04,2.64,0.12,123.15,2.71,-0.04
12.0,-3.63,2.1,0.27,120.07,-7.47,-0.1
12.15,-4.11,2.56,-0.23,121.94,-11.34,0.08
12.3,-4.93,2.09,-0.26,112.91,-10.4,0.09
12.45,-5.83,2.36,-0.54,112.04,-9.06,0.19
12.6,-6.04,1.57,-0.54,104.6,-6.17,0.19
12.75,-5.82,1.77,-0.26,106.95,-3.54,0.09
12.9,-2.5,0.72,-0.03,106.03,2.65,0.01
13.05,-2.31,-0.23,-0.04,84.39,2.11,0.02
13.2,-4.01,-1.21,0.04,73.16,-7.09,-0.02
13.35,-4.64,-2.68,-0.04,60.02,-12.61,0.02
13.5,-4.56,-3.17,0.03,55.19,-10.23,-0.01
13.65,-3.74,-3.39,-0.05,47.81,-12.37,0.02
13.8,-4.16,-3.54,0.16,49.64,-9.85,-0.06
13.95,-4.82,-3.85,0.16,51.37,-7.92,-0.06
14.1,-5.04,-4.24,0.16,49.95,-7.61,-0.06
14.25,-4.52,-3.9,0.09,49.21,-10.4,-0.03
14.4,-4.8,-2.96,0.16,58.39,-9.82,-0.06
14.55,-4.55,-2.72,0.02,59.16,-7.16,-0.01
14.7,-3.83,-0.92,-0.01,76.47,-5.66,0.0
14.85,-3.23,-0.15,0.07,87.39,-4.6,-0.02
15.0,-3.14,2.13,0.16,124.13,-5.64,-0.06
15.15,-5.86,4.02,0.24,124.46,-11.27,-0.08
15.3,-5.53,4.76,-0.24,130.73,-13.24,0.08
15.45,-5.53,7.72,-0.02,144.41,-10.6,0.01
15.6,-1.29,6.24,-0.06,168.35,-11.47,0.02
15.75,-4.66,8.42,0.17,151.06,-9.49,-0.06
15.9,-8.4,8.25,0.26,134.48,-8.76,-0.09
16.05,-4.15,6.57,0.31,147.72,-5.58,-0.11
16.2,1.24,6.3,0.16,191.15,-6.1,-0.06
16.35,0.43,5.94,0.21,184.1,-3.2,-0.07
16.5,0.38,4.33,0.12,184.97,-4.11,-0.04
16.65,-1.08,1.26,0.17,139.21,1.75,-0.06
16.8,-2.45,1.29,0.16,117.86,3.82,-0.06
16.95,-4.94,-1.67,0.2,71.33,5.82,-0.07
17.1,-7.49,-0.98,0.19,82.58,5.4,-0.07
17.25,-10.76,-1.51,0.08,82.03,5.19,-0.03
17.4,-12.81,-1.3,0.07,84.22,3.33,-0.02
17.55,-12.95,-1.05,0.09,85.37,3.07,-0.03
17.7,-14.1,0.16,0.15,90.66,1.08,-0.05
17.85,-15.04,1.69,0.15,96.4,5.25,-0.05
18.0,-16.38,2.41,0.22,98.37,6.48,-0.08
18.15,-16.47,3.02,0.29,100.4,9.65,-0.1
18.3,-12.98,7.14,0.32,118.81,7.84,-0.11
18.45,-11.86,9.25,0.15,127.97,-0.76,-0.05
18.6,-10.19,9.83,0.12,133.97,-1.23,-0.04
18.75,-7.57,9.36,0.08,141.06,-1.44,-0.03
18.9,-2.85,8.6,0.27,161.65,-5.85,-0.1
19.05,-1.67,8.05,0.21,168.29,-6.9,-0.07
19.2,-1.24,2.68,0.11,155.18,-5.17,-0.04
19.35,-1.0,0.13,-0.07,97.71,0.66,0.02
19.5,-1.8,0.14,-0.07,94.52,0.86,0.02
19.65,-3.8,0.54,-0.15,98.1,0.03,0.05
19.8,-4.35,0.53,-0.09,96.94,-7.54,0.03
19.95,-2.34,-0.18,-0.23,85.6,-3.13,0.08
20.1,-1.23,-0.9,-0.3,53.94,-2.47,0.11
20.25,-4.31,-1.63,-0.44,69.27,-0.08,0.16
20.4,-4.71,-1.08,-0.44,77.05,-0.43,0.15
20.55,-5.72,1.28,-0.37,102.65,-2.87,0.13
20.7,-2.9,3.07,-0.3,136.58,-4.31,0.11
20.85,-1.94,-1.55,-0.34,51.43,-3.98,0.12
21.0,-1.27,2.76,-0.3,155.24,-7.23,0.1
21.15,-2.34,-2.07,-0.44,48.47,-5.1,0.15
21.3,-2.87,2.67,-0.54,132.91,-4.51,0.19
21.45,-7.01,2.61,-0.53,110.43,-1.28,0.19
21.6,-6.91,6.33,-0.42,132.49,-2.58,0.15
21.75,-6.91,6.59,-0.01,133.66,-4.96,0.0
21.9,-5.61,5.78,-0.0,135.81,-5.72,0.0
22.05,-0.21,3.73,-0.11,176.75,-6.76,0.04
22.2,0.73,0.61,-0.3,230.29,-8.38,0.11
22.35,1.24,-0.96,-0.27,307.76,-13.16,0.1
22.5,1.29,-5.26,0.72,346.18,-14.54,-0.25
22.65,0.17,-5.05,0.4,358.07,-12.28,-0.14
22.8,-2.07,-5.34,0.08,21.2,-10.01,-0.03
22.95,0.1,0.91,-0.08,186.15,-8.5,0.03
23.1,4.89,1.67,0.11,251.14,-8.52,-0.04
23.25,5.05,2.08,0.31,247.56,-9.72,-0.11
23.4,7.46,2.15,0.47,253.92,-11.49,-0.17
23.55,7.6,2.59,0.48,251.18,-13.32,-0.17
23.7,6.82,2.05,0.24,253.28,-13.2,-0.08
23.85,-1.49,5.56,0.24,165.01,-13.15,-0.08
24.0,-1.38,-0.1,1.68,85.98,-14.54,-0.59
24.15,-2.23,-2.17,1.68,45.71,-14.54,-0.59
24.3,-2.22,9.67,-0.27,167.05,-9.69,0.1
24.45,-3.45,9.67,-0.35,160.35,-8.09,0.12
24.6,0.69,9.67,-0.43,184.09,-7.77,0.15
24.75,0.85,11.05,-0.45,184.42,-7.97,0.16
24.9,1.06,9.67,-0.2,186.23,-6.75,0.07
25.05,0.69,10.46,0.61,183.78,-11.75,-0.22
25.2,-3.45,6.22,-0.53,150.95,-12.23,0.19
25.35,2.76,6.22,-0.72,203.96,-13.8,0.25
