Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,-1.38,2.07,0.72,146.31,-14.54,-0.25
1.65,-0.31,0.0,0.13,90.0,-3.23,-0.05
1.8,-0.56,0.45,-0.06,128.73,8.65,0.02
1.95,-1.22,-0.44,-0.04,70.35,11.38,0.01
2.1,-0.83,-0.5,0.09,58.98,13.57,-0.03
2.25,-0.21,-0.2,0.12,45.2,12.56,-0.04
2.4,-0.15,-0.18,0.05,41.22,11.57,-0.02
2.55,-0.62,-0.06,0.05,83.98,12.25,-0.02
2.7,-0.71,-0.08,0.1,83.73,14.93,-0.04
2.85,-1.19,-0.18,0.19,81.43,17.18,-0.07
3.0,-0.82,-0.46,0.23,60.64,20.96,-0.08
3.15,-1.02,-0.02,0.26,88.8,23.94,-0.09
3.3,-1.67,0.26,0.23,98.92,26.75,-0.08
3.45,-3.85,1.03,0.28,104.99,27.65,-0.1
3.6,-4.08,1.47,0.28,109.8,27.51,-0.1
3.75,-3.38,1.69,0.33,116.51,37.27,-0.12
3.9,-2.61,1.71,0.32,123.3,38.29,-0.11
4.05,-2.1,1.6,0.26,127.27,38.63,-0.09
4.2,-1.71,1.7,0.19,134.9,40.91,-0.07
4.35,-1.29,1.9,0.13,145.8,44.12,-0.04
4.5,-1.31,2.39,0.18,151.31,43.14,-0.06
4.65,-1.49,3.07,0.15,154.1,38.9,-0.05
4.8,-2.4,4.07,0.19,149.49,38.14,-0.07
4.95,-2.51,4.56,0.2,151.14,38.41,-0.07
5.1,-2.65,5.32,0.2,153.49,41.35,-0.07
5.25,-2.38,5.62,0.21,157.06,46.74,-0.07
5.4,-1.8,5.55,0.18,162.04,46.72,-0.06
5.55,-1.66,5.4,-0.07,162.88,39.14,0.03
5.7,-1.74,5.39,-0.24,162.08,39.27,0.08
5.85,-2.13,5.68,-0.28,159.4,41.71,0.1
6.0,-2.67,5.9,-0.24,155.64,44.53,0.09
6.15,-2.97,5.63,-0.27,152.17,44.02,0.1
6.3,-3.09,5.08,-0.4,148.67,42.59,0.14
6.45,-2.85,2.81,-0.43,134.57,42.85,0.15
6.6,-2.26,1.76,-0.42,127.96,42.67,0.15
6.75,-2.22,1.65,-0.26,126.6,33.86,0.09
6.9,-1.42,1.56,-0.21,137.68,41.28,0.07
7.05,-3.39,1.44,-0.16,113.03,36.95,0.06
7.2,-5.29,1.22,-0.09,103.01,22.78,0.03
7.35,-5.73,1.05,-0.05,100.42,22.63,0.02
7.5,-5.59,0.92,0.03,99.39,25.59,-0.01
7.65,-4.77,0.85,-0.18,100.11,34.55,0.06
7.8,-4.1,1.82,-0.17,113.88,37.92,0.06
7.95,-3.69,1.96,-0.2,118.02,41.99,0.07
8.1,-3.49,1.93,-0.19,118.9,34.85,0.07
8.25,-3.43,2.52,-0.17,126.33,25.3,0.06
8.4,-3.02,3.41,-0.21,138.52,24.97,0.08
8.55,-3.23,4.6,-0.3,144.94,27.77,0.1
8.7,-3.64,5.59,-0.27,146.94,28.17,0.1
8.85,-3.69,5.65,-0.36,146.85,18.33,0.13
