Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,-0.0,-4.14,1.2,0.0,-14.54,-0.42
1.65,-0.01,1.4,0.13,179.75,-1.73,-0.04
1.8,0.21,1.31,0.14,189.02,15.18,-0.05
1.95,0.28,0.9,0.1,197.46,13.88,-0.04
2.1,0.25,0.26,0.12,223.13,14.39,-0.04
2.25,0.37,0.3,0.19,230.39,14.19,-0.07
2.4,0.26,0.01,0.22,267.07,17.17,-0.08
2.55,0.3,0.23,0.3,231.82,20.13,-0.11
2.7,-0.13,-0.01,0.48,85.52,20.4,-0.17
2.85,-0.14,-0.23,0.54,30.62,20.8,-0.19
3.0,0.92,-0.01,0.46,270.91,21.2,-0.16
3.15,3.07,1.13,0.3,249.87,30.17,-0.1
3.3,3.11,1.18,0.28,249.26,35.75,-0.1
3.45,3.23,1.71,0.27,242.17,35.9,-0.1
3.6,3.56,1.91,0.3,241.75,32.85,-0.11
3.75,4.06,2.29,0.26,240.62,29.63,-0.09
3.9,2.67,2.16,0.0,230.98,36.36,-0.0
4.05,2.65,1.93,-0.01,233.93,38.4,0.0
4.2,3.26,2.1,-0.11,237.2,38.14,0.04
4.35,2.47,2.33,-0.04,226.69,34.07,0.01
4.5,1.41,2.53,-0.14,209.1,35.35,0.05
4.65,-0.18,2.37,-0.08,175.68,28.18,0.03
4.8,-1.32,2.79,-0.13,154.61,26.67,0.05
4.95,-1.31,3.25,-0.11,158.05,26.28,0.04
5.1,-0.72,4.81,-0.18,171.52,34.04,0.06
5.25,-0.63,5.41,-0.15,173.35,52.46,0.05
5.4,0.01,5.13,-0.23,180.15,44.31,0.08
5.55,0.15,4.43,-0.24,181.88,43.99,0.09
5.7,0.34,3.97,-0.26,184.87,44.22,0.09
5.85,0.34,4.07,-0.37,184.81,44.05,0.13
6.0,0.41,3.75,-0.44,186.28,45.17,0.16
6.15,0.28,3.47,-0.43,184.62,46.54,0.15
6.3,0.61,3.27,-0.42,190.6,45.89,0.15
6.45,0.48,2.32,-0.32,191.65,34.28,0.11
6.6,0.56,1.41,-0.19,201.72,27.62,0.07
6.75,0.75,0.33,-0.14,246.08,27.12,0.05
6.9,0.69,0.26,-0.04,249.74,27.52,0.01
7.05,0.63,0.3,0.07,244.17,27.31,-0.03
7.2,-2.3,1.11,0.25,115.74,29.34,-0.09
7.35,-3.0,1.93,0.26,122.74,31.38,-0.09
7.5,-2.98,2.34,0.29,128.1,34.74,-0.1
7.65,-2.98,1.89,0.33,122.39,33.97,-0.12
7.8,-2.89,1.91,0.33,123.44,33.35,-0.12
7.95,-2.97,2.09,0.38,125.11,30.38,-0.13
8.1,-2.96,2.48,0.38,129.95,28.75,-0.13
8.25,-2.74,2.58,0.33,133.34,26.55,-0.12
8.4,-2.7,3.57,0.42,142.94,36.92,-0.15
8.55,-2.41,4.83,0.53,153.5,33.39,-0.19
8.7,-2.49,5.13,0.6,154.12,30.94,-0.21
8.85,-2.46,4.91,0.61,153.4,16.26,-0.21
9.0,-2.09,2.13,0.59,135.5,17.4,-0.21
9.15,-1.39,1.67,0.56,140.28,19.69,-0.2
9.3,-0.03,1.71,0.57,178.84,19.58,-0.2
9.45,-0.8,1.78,0.47,155.67,18.06,-0.17
9.6,-2.39,3.45,0.43,145.29,14.25,-0.15
9.75,-2.17,3.85,0.36,150.59,16.5,-0.13
9.9,-2.23,3.38,0.28,146.55,17.44,-0.1
10.05,-2.4,2.28,0.35,133.55,18.57,-0.12
10.2,-2.46,1.19,0.33,115.88,17.9,-0.12
10.35,-1.78,0.59,0.32,108.29,14.07,-0.11
10.5,-1.66,-0.06,0.32,87.91,8.62,-0.11
10.65,-2.03,0.08,0.36,92.33,10.77,-0.13
10.8,-2.17,0.5,0.32,102.99,23.35,-0.11
10.95,-2.27,0.73,0.31,107.88,2.06,-0.11
11.1,-0.77,0.62,0.3,128.62,12.0,-0.11
11.25,-2.95,0.15,0.33,92.88,1.74,-0.12
11.4,-6.13,0.3,0.33,92.81,2.57,-0.12
11.55,0.8,-0.09,0.31,276.43,1.07,-0.11
11.7,-4.83,1.69,0.24,109.27,0.89,-0.08
11.85,-6.02,2.8,0.22,114.91,-0.21,-0.08
12.0,-3.27,1.61,0.21,116.18,-0.3,-0.07
12.15,-4.31,1.77,0.28,112.34,-5.66,-0.1
12.3,-4.35,6.39,1.92,145.76,-14.54,-0.68
12.45,-8.38,4.94,0.09,120.54,-10.36,-0.03
12.6,-4.26,2.33,-0.07,118.64,-9.74,0.02
12.75,-2.58,1.61,0.19,121.99,-4.94,-0.07
12.9,-0.37,0.03,0.28,94.89,1.9,-0.1
13.05,-0.38,-0.6,0.28,32.15,2.11,-0.1
13.2,-4.29,-2.28,-1.29,62.03,-9.68,0.45
13.35,-3.5,7.06,0.24,153.62,-13.45,-0.08
13.5,0.88,6.22,-0.0,188.06,-13.31,0.0
13.65,-8.19,5.53,-0.72,124.02,-12.73,0.25
13.8,-7.73,1.38,-0.4,100.14,-8.62,0.14
13.95,-8.37,1.38,-0.21,99.37,-9.81,0.08
14.1,-9.11,1.38,-0.09,98.63,-9.21,0.03
14.25,-6.11,1.38,-0.17,102.74,-9.11,0.06
14.4,-1.44,11.45,-0.15,172.85,-6.16,0.05
14.55,-2.76,10.56,0.02,165.35,-4.93,-0.01
14.7,-1.42,1.47,0.19,135.85,-4.13,-0.07
14.85,-2.79,1.02,0.18,110.0,-5.43,-0.06
15.0,-4.97,0.88,-0.11,100.0,-7.65,0.04
15.15,-6.48,1.32,-0.99,101.47,-13.02,0.35
15.3,-2.91,1.38,0.48,115.36,-14.54,-0.17
15.45,-6.22,-4.14,0.48,56.31,-14.54,-0.17
15.6,-8.98,-4.25,0.24,64.7,-13.59,-0.08
15.75,-3.45,-4.24,0.24,39.13,-11.31,-0.08
15.9,-3.45,-5.53,0.18,32.01,-8.17,-0.06
16.05,-2.83,-6.44,0.2,23.72,-3.93,-0.07
16.2,-1.41,1.11,0.18,128.04,-1.36,-0.06
16.35,0.3,1.5,0.17,191.14,1.74,-0.06
16.5,0.31,0.33,0.17,223.28,5.05,-0.06
16.65,-0.37,0.18,0.14,116.21,3.4,-0.05
16.8,-4.2,-0.16,0.09,87.82,0.64,-0.03
