Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,-2.76,-0.69,1.68,75.96,-14.54,-0.59
1.65,4.84,-1.69,0.24,289.24,-4.35,-0.08
1.8,0.07,-0.61,0.11,353.64,15.41,-0.04
1.95,-0.11,-0.75,0.01,8.48,15.94,-0.0
2.1,-2.14,-0.43,0.04,78.51,12.15,-0.01
2.25,-2.19,0.24,0.05,96.22,11.1,-0.02
2.4,0.38,0.44,0.14,220.71,13.2,-0.05
2.55,-0.01,1.01,-0.13,179.3,17.73,0.04
2.7,0.16,4.38,-0.22,182.12,20.73,0.08
2.85,-0.31,5.44,-0.3,176.72,39.51,0.11
3.0,-1.09,4.79,-0.18,167.23,27.42,0.06
3.15,-1.36,3.05,-0.19,155.97,37.68,0.07
3.3,-1.41,4.25,0.75,161.6,40.96,-0.27
3.45,-1.57,3.54,1.03,156.0,42.69,-0.36
3.6,-2.32,3.81,1.05,148.66,44.33,-0.37
3.75,-2.03,4.08,1.11,153.56,42.08,-0.39
3.9,-2.06,0.5,0.58,103.63,40.99,-0.2
4.05,-2.24,0.3,0.35,97.71,40.82,-0.12
4.2,-1.8,-0.27,-0.69,81.32,42.19,0.24
4.35,-2.01,-2.54,-0.67,38.45,44.4,0.24
4.5,-2.21,-3.19,-0.68,34.72,46.0,0.24
4.65,-2.25,-0.97,-0.5,66.58,47.42,0.18
4.8,-2.18,-0.16,-0.43,85.81,64.82,0.15
4.95,-2.01,1.22,-0.25,121.29,43.65,0.09
5.1,-1.9,3.24,-0.25,149.6,40.97,0.09
5.25,-1.51,4.19,-0.28,160.13,39.93,0.1
5.4,-1.65,4.43,-0.28,159.58,40.8,0.1
5.55,-1.43,4.33,-0.29,161.74,41.12,0.1
5.7,-1.04,4.34,-0.32,166.54,44.12,0.11
5.85,-1.08,4.53,-0.28,166.59,40.39,0.1
6.0,-1.29,4.91,-0.33,165.24,35.79,0.12
6.15,-1.57,5.34,-0.33,163.63,35.65,0.12
6.3,-1.48,4.25,-0.3,160.84,38.02,0.11
6.45,-1.13,3.68,-0.27,162.89,38.1,0.1
6.6,-0.95,2.71,-0.19,160.76,34.19,0.07
6.75,-1.18,2.57,-0.11,155.39,30.34,0.04
6.9,-1.53,1.66,-0.14,137.37,28.89,0.05
7.05,-1.93,1.02,-0.28,117.75,30.87,0.1
7.2,-2.34,0.65,-0.42,105.44,39.93,0.15
7.35,-2.64,0.91,-0.4,109.04,40.71,0.14
7.5,-2.76,1.78,-0.34,122.83,37.28,0.12
7.65,-1.96,1.69,-0.24,130.78,34.87,0.09
7.8,-0.98,1.07,-0.22,137.35,33.37,0.08
7.95,-0.75,1.07,-0.22,144.8,30.68,0.08
8.1,-0.76,1.0,-0.22,142.81,26.48,0.08
8.25,-1.1,1.34,-0.23,140.66,24.47,0.08
8.4,-1.27,2.03,-0.21,148.08,23.26,0.08
8.55,-1.42,2.37,-0.24,149.11,22.86,0.08
8.7,-1.59,2.55,-0.2,148.12,15.55,0.07
8.85,-1.63,2.3,-0.13,144.68,2.67,0.05
9.0,-2.08,2.26,-0.01,137.43,1.7,0.0
9.15,-2.67,1.8,0.18,123.96,6.81,-0.06
9.3,-2.87,1.82,0.23,122.32,11.66,-0.08
9.45,-2.18,1.91,0.27,131.17,14.96,-0.09
9.6,-3.27,2.46,0.26,126.99,15.11,-0.09
9.75,-3.85,3.34,0.28,130.94,11.36,-0.1
9.9,-3.42,2.91,0.29,130.45,10.04,-0.1
10.05,-2.03,1.54,0.32,127.24,9.45,-0.11
10.2,-1.87,0.89,0.35,115.54,8.23,-0.12
10.35,-0.72,0.78,0.32,137.19,9.04,-0.11
10.5,-0.22,1.87,0.29,173.28,8.68,-0.1
10.65,-0.61,0.38,0.22,121.68,7.64,-0.08
10.8,-1.46,1.83,0.22,141.5,3.29,-0.08
10.95,-2.13,2.72,0.33,141.9,1.97,-0.12
11.1,-2.47,2.99,0.34,140.43,1.9,-0.12
11.25,-2.04,3.47,0.33,149.53,0.66,-0.12
