Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,-7.6,-0.0,1.68,90.0,-14.54,-0.59
1.65,-5.53,-0.38,0.24,86.06,-5.69,-0.08
1.8,-0.06,0.5,0.02,173.24,10.57,-0.01
1.95,0.15,0.75,0.03,191.02,16.92,-0.01
2.1,0.32,0.26,-0.0,231.24,19.94,0.0
2.25,-0.0,-0.6,0.01,0.03,18.74,-0.01
2.4,-0.97,-0.36,0.09,69.52,17.26,-0.03
2.55,-1.29,-0.08,0.07,86.4,11.28,-0.03
2.7,-1.64,-0.25,-0.06,81.25,15.66,0.02
2.85,-1.64,0.04,-0.02,91.56,16.32,0.01
3.0,-1.39,-0.03,0.05,88.74,19.14,-0.02
3.15,-1.71,0.01,0.15,90.31,22.72,-0.05
3.3,-1.82,0.59,0.15,107.91,26.79,-0.05
3.45,-2.41,2.53,0.21,136.49,29.56,-0.07
3.6,-3.0,3.15,0.25,136.4,38.44,-0.09
3.75,-2.97,3.19,0.26,137.02,50.33,-0.09
3.9,-2.4,3.29,0.3,143.9,37.73,-0.11
4.05,-1.91,3.33,0.31,150.13,41.44,-0.11
4.2,-1.67,3.8,0.27,156.31,48.47,-0.09
4.35,-1.47,3.99,0.26,159.79,49.11,-0.09
4.5,-1.04,4.48,0.31,166.95,36.53,-0.11
4.65,-1.16,4.84,0.29,166.5,48.84,-0.1
4.8,-1.72,5.48,0.29,162.55,36.55,-0.1
4.95,-1.87,6.09,0.23,162.88,51.17,-0.08
5.1,-1.44,6.5,0.25,167.55,43.77,-0.09
5.25,-1.19,7.5,0.25,171.01,49.95,-0.09
5.4,-1.02,7.43,0.25,172.22,50.16,-0.09
5.55,-0.97,7.03,0.25,172.15,45.63,-0.09
5.7,-0.42,4.23,0.24,174.36,44.51,-0.08
5.85,-0.53,3.87,0.21,172.27,41.76,-0.08
6.0,-1.23,4.11,0.27,163.36,44.93,-0.09
6.15,-1.18,4.02,0.32,163.62,47.32,-0.11
6.3,-0.12,3.36,0.34,177.9,47.46,-0.12
6.45,0.91,1.55,0.33,210.41,45.89,-0.12
6.6,1.21,-0.16,0.32,277.48,41.89,-0.11
6.75,1.25,-1.84,0.24,325.86,37.75,-0.09
6.9,1.7,-1.5,0.2,311.39,34.24,-0.07
7.05,0.96,-1.63,0.1,329.39,27.21,-0.03
7.2,-0.04,-1.65,0.07,1.55,22.76,-0.03
7.35,-0.72,-1.45,0.14,26.43,23.74,-0.05
7.5,-0.96,-1.21,0.2,38.54,24.11,-0.07
7.65,-1.22,-1.09,0.19,48.38,30.63,-0.07
7.8,-0.79,-0.23,0.21,73.74,37.35,-0.07
7.95,-1.18,1.16,0.2,134.42,37.2,-0.07
8.1,-0.87,1.38,0.14,147.7,32.79,-0.05
8.25,-0.92,1.86,0.12,153.77,26.3,-0.04
8.4,-0.81,3.0,0.14,164.92,26.15,-0.05
8.55,-0.73,4.1,0.2,169.94,24.07,-0.07
8.7,-0.92,5.09,0.23,169.79,24.21,-0.08
8.85,-1.43,5.03,0.2,164.12,19.56,-0.07
9.0,-1.33,4.23,0.2,162.62,17.29,-0.07
9.15,-1.76,3.56,0.17,153.67,15.54,-0.06
9.3,-2.08,3.26,0.11,147.46,12.01,-0.04
9.45,-2.65,3.75,0.08,144.78,18.12,-0.03
9.6,-3.46,3.08,0.07,131.73,5.47,-0.02
9.75,-3.03,3.82,-0.01,141.59,3.41,0.0
9.9,-2.29,2.63,-0.13,138.91,1.02,0.04
10.05,-1.87,-0.17,-0.04,84.72,1.16,0.01
10.2,-1.72,3.16,0.21,151.45,-1.4,-0.08
10.35,-1.5,3.01,0.13,153.49,3.77,-0.05
10.5,-2.7,3.45,0.23,141.93,-0.22,-0.08
10.65,-3.12,3.65,0.24,139.43,-0.38,-0.08
10.8,-2.27,2.87,0.17,141.73,-2.16,-0.06
10.95,-1.81,2.89,0.03,147.96,-2.51,-0.01
11.1,-2.23,2.5,-0.19,138.26,-4.09,0.07
11.25,-2.71,2.76,0.16,135.43,-6.46,-0.06
11.4,-5.62,0.74,0.16,97.53,-7.43,-0.06
11.55,-5.69,0.87,0.1,98.73,-6.79,-0.03
11.7,-1.4,2.99,-0.13,154.91,-5.96,0.04
11.85,-2.57,0.87,-0.08,108.69,-7.03,0.03
12.0,-2.92,1.46,0.01,116.59,-5.33,-0.0
12.15,-5.14,2.69,-0.06,117.67,-8.61,0.02
12.3,-5.97,3.02,0.24,116.85,-10.28,-0.08
12.45,-5.21,2.72,0.02,117.58,-8.44,-0.01
12.6,-4.48,2.41,0.18,118.24,-2.98,-0.06
12.75,-3.2,1.72,0.13,118.24,2.26,-0.05
12.9,-2.91,0.61,0.09,101.82,3.67,-0.03
13.05,-2.98,0.34,-0.01,96.49,2.05,0.0
13.2,-3.95,-1.54,0.33,68.67,-8.01,-0.12
13.35,-3.51,-2.53,0.26,54.26,-10.46,-0.09
13.5,-2.66,-2.57,0.25,46.02,-10.28,-0.09
13.65,-1.95,-2.86,0.2,34.29,-8.05,-0.07
13.8,-2.17,-3.46,0.2,32.08,-4.82,-0.07
13.95,-2.0,-4.16,0.03,25.71,-6.98,-0.01
