Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,0.28,8.98,-0.48,181.78,-13.51,0.17
1.65,2.76,4.84,-0.11,209.74,-5.45,0.04
1.8,2.44,7.76,0.12,197.47,13.51,-0.04
1.95,0.96,4.73,0.05,191.43,18.0,-0.02
2.1,0.53,4.71,-0.03,186.46,18.2,0.01
2.25,0.18,4.82,-0.1,182.11,15.75,0.03
2.4,0.35,-0.2,0.07,298.96,13.62,-0.02
2.55,-0.03,0.73,0.07,177.81,13.17,-0.02
2.7,-0.11,0.77,0.08,171.95,15.2,-0.03
2.85,-0.08,0.77,0.01,174.42,15.56,-0.0
3.0,0.24,0.68,0.02,199.37,30.84,-0.01
3.15,0.75,0.62,-0.13,230.49,19.13,0.05
3.3,0.86,0.38,-0.2,246.18,22.72,0.07
3.45,0.73,0.24,-0.35,251.89,35.37,0.12
3.6,0.18,0.83,-0.32,191.99,41.42,0.11
3.75,0.33,1.26,-0.34,194.89,40.84,0.12
3.9,0.38,1.52,-0.38,194.17,43.84,0.14
4.05,0.2,2.35,-0.43,184.9,51.92,0.15
4.2,0.13,2.55,-0.43,182.94,54.99,0.15
4.35,-0.41,2.89,-0.37,171.91,46.06,0.13
4.5,-0.69,2.93,-0.37,166.72,43.21,0.13
4.65,-1.96,2.54,-0.35,142.33,37.63,0.13
4.8,-2.39,2.7,-0.07,138.52,33.82,0.02
4.95,-2.39,3.3,0.06,144.14,32.6,-0.02
5.1,-1.49,3.94,0.19,159.29,39.84,-0.07
5.25,-1.25,3.63,0.21,161.0,41.72,-0.08
5.4,-1.35,3.18,0.23,156.95,41.73,-0.08
5.55,-1.4,2.33,0.21,149.0,40.27,-0.08
5.7,-1.13,1.06,0.17,133.2,39.59,-0.06
5.85,-0.48,1.06,0.12,155.5,37.7,-0.04
6.0,-0.41,1.13,0.12,160.0,37.06,-0.04
6.15,-0.59,1.84,0.21,162.1,40.74,-0.07
6.3,-0.93,2.35,0.24,158.4,31.56,-0.09
6.45,-0.82,2.23,0.24,159.88,44.39,-0.08
6.6,-0.29,2.02,0.22,171.78,37.76,-0.08
6.75,-0.46,1.85,0.17,166.05,37.95,-0.06
6.9,-1.45,1.62,-0.14,138.21,33.51,0.05
7.05,-2.05,2.37,-0.27,139.05,36.86,0.09
7.2,-3.07,2.69,-0.24,131.23,36.54,0.09
7.35,-3.66,3.0,-0.24,129.33,32.07,0.08
7.5,-4.55,3.06,-0.24,123.94,28.15,0.08
7.65,-4.41,3.07,-0.26,124.91,32.3,0.09
