Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
18.45,-16.19,9.76,0.22,121.09,0.02,-0.08
18.6,-15.89,9.62,0.21,121.21,-1.16,-0.08
18.75,-8.59,8.67,0.15,135.25,-1.9,-0.05
18.9,-5.89,8.6,0.2,145.6,-4.2,-0.07
19.05,-4.81,6.93,-0.01,145.21,-5.67,0.0
19.2,-4.67,2.09,-0.02,114.11,-4.92,0.01
19.35,-13.12,0.48,-0.12,92.11,-0.5,0.04
19.5,-2.42,0.69,-0.04,105.97,-0.61,0.01
19.65,-3.76,0.85,0.05,102.71,-5.72,-0.02
19.8,-3.06,1.31,0.15,113.2,-6.84,-0.05
19.95,-2.81,1.28,0.11,114.45,-4.26,-0.04
20.1,-1.89,-0.66,0.23,70.82,-2.5,-0.08
20.25,-1.31,-0.35,0.16,75.08,-0.8,-0.06
20.4,-1.46,0.21,-0.05,98.08,-1.24,0.02
20.55,0.45,-0.23,-0.18,297.63,-2.48,0.06
20.7,-4.45,4.33,-0.48,134.24,-13.48,0.17
20.85,-3.48,-0.24,-0.28,86.12,-12.8,0.1
21.0,-7.84,3.52,-0.05,114.21,-12.29,0.02
21.15,-6.64,4.25,-0.05,122.61,-12.26,0.02
21.3,-5.42,4.84,0.2,131.71,-13.04,-0.07
21.45,-14.5,0.69,-0.53,92.73,-12.15,0.19
21.6,-15.2,-0.0,-0.48,90.0,-2.28,0.17
21.75,-21.01,0.94,-0.44,92.57,-2.21,0.16
21.9,-12.43,8.89,-0.43,125.57,0.08,0.15
22.05,-12.44,8.48,-0.37,124.28,-2.8,0.13
22.2,-13.06,6.95,-0.35,118.04,-3.7,0.12
22.35,-13.82,6.35,-0.53,114.7,-12.34,0.19
22.5,-13.82,4.52,0.99,108.13,-13.99,-0.35
22.65,-13.67,1.84,0.96,97.68,-14.54,-0.34
22.8,-13.82,2.6,0.29,100.67,-11.27,-0.1
22.95,-14.8,2.17,0.26,98.36,-9.19,-0.09
