Height(kms),U(mps),V(mps),W(mps),WD(deg),Z_snr(db),Z_dop
1.5,-8.98,5.53,0.96,121.61,-14.54,-0.34
1.65,1.38,-5.84,0.24,346.7,-4.56,-0.08
1.8,0.52,0.12,0.09,256.98,13.74,-0.03
1.95,-0.37,-0.24,0.05,57.21,15.27,-0.02
2.1,-0.29,-0.17,0.06,59.83,17.23,-0.02
2.25,-0.21,-0.06,0.04,72.49,15.72,-0.01
2.4,0.06,0.23,0.08,193.57,14.57,-0.03
2.55,0.02,0.71,0.13,181.93,13.27,-0.05
2.7,-0.08,1.11,0.13,175.99,17.04,-0.04
2.85,0.24,1.34,0.09,189.99,20.62,-0.03
3.0,0.39,1.79,-0.06,192.15,29.63,0.02
3.15,0.56,2.15,-0.1,194.59,31.38,0.04
3.3,0.16,2.22,-0.13,184.17,28.77,0.05
3.45,-0.39,2.27,-0.19,170.21,27.68,0.07
3.6,-0.27,2.05,-0.32,172.4,28.63,0.11
3.75,-0.51,1.09,-0.31,154.93,27.66,0.11
3.9,-0.51,-0.31,-0.27,58.79,28.81,0.09
4.05,-1.12,-1.39,-0.03,38.81,33.94,0.01
4.2,-1.77,-1.66,-0.12,46.89,37.63,0.04
4.35,-2.65,-1.79,-0.59,55.92,43.75,0.21
4.5,-2.78,-1.48,-0.6,61.93,49.45,0.21
4.65,-3.56,-0.82,-0.56,77.0,48.84,0.2
4.8,-3.95,1.73,-0.49,113.65,42.83,0.17
4.95,-4.44,2.95,-0.35,123.6,41.98,0.12
5.1,-3.36,4.33,-0.24,142.13,40.19,0.09
5.25,-3.28,5.02,-0.3,146.82,45.86,0.1
5.4,-3.72,4.11,-0.32,137.91,49.27,0.11
5.55,-4.03,3.62,-0.32,131.93,51.4,0.11
5.7,-4.1,3.38,-0.34,129.5,49.48,0.12
5.85,-4.66,3.12,-0.31,123.78,41.9,0.11
6.0,-5.34,3.15,-0.35,120.59,41.75,0.12
6.15,-5.77,3.27,-0.47,119.52,43.44,0.17
6.3,-5.83,3.43,-0.5,120.52,44.68,0.18
6.45,-5.34,3.24,-0.51,121.2,41.32,0.18
6.6,-4.53,2.54,-0.53,119.27,40.12,0.19
6.75,-4.89,1.98,-0.6,112.02,34.08,0.21
6.9,-5.02,1.86,-0.59,110.36,37.21,0.21
7.05,-5.22,2.03,-0.71,111.29,33.84,0.25
7.2,-4.97,2.97,-0.72,120.88,31.14,0.25
7.35,-4.85,3.27,-0.85,124.01,31.15,0.3
7.5,-4.48,3.39,-0.78,127.1,31.77,0.28
7.65,-4.25,3.27,-0.67,127.6,31.97,0.24
7.8,-3.85,2.99,-0.43,127.79,31.03,0.15
7.95,-3.8,2.71,-0.36,125.51,27.61,0.13
