ObsDateTime,Height,Windspeed,WindDirection,Temperature,Pressure,Humidity
03-07-2019 17:23:21,376.6,2.65,256.64,33.6,966.3,37.9
03-07-2019 17:23:22,378.8,2.72,258.65,NaN,966.1,NaN
03-07-2019 17:23:24,381,2.84,261.29,33.6,965.8,37.1
03-07-2019 17:23:25,383.4,3.05,263.14,33.5,965.6,37.4
03-07-2019 17:23:26,385.9,3.18,263.9,33.6,965.3,37.4
03-07-2019 17:23:27,388.5,3.27,264.4,33.6,965.1,37.5
03-07-2019 17:23:28,391.2,3.34,264.24,33.6,964.8,37.2
03-07-2019 17:23:29,394,3.51,264.29,33.5,964.5,36.9
03-07-2019 17:23:30,397,3.72,264.77,33.4,964.2,36.8
03-07-2019 17:23:31,400,3.89,264.83,33.3,963.8,36.2
03-07-2019 17:23:32,403.2,4.02,264.8,33.4,963.5,35.7
03-07-2019 17:23:33,406.5,4.11,264.94,33.4,963.1,35.9
03-07-2019 17:23:34,409.9,4.17,265.53,33.4,962.8,35.8
03-07-2019 17:23:35,413.4,4.27,266.29,33.4,962.4,35.8
03-07-2019 17:23:36,417.1,4.48,266.75,33.4,962,36.1
03-07-2019 17:23:37,420.8,4.7,266.76,33.3,961.6,36.1
03-07-2019 17:23:38,424.7,4.88,266.22,33.2,961.2,36.5
03-07-2019 17:23:39,428.6,5.02,265.67,33.1,960.8,36.5
03-07-2019 17:23:40,432.7,5.17,266.05,33.2,960.3,35.7
03-07-2019 17:23:41,436.9,5.4,267.07,33.2,959.9,36.3
03-07-2019 17:23:42,441.2,5.65,267.44,33.1,959.4,36.5
03-07-2019 17:23:43,445.6,5.88,267.33,33.1,959,36.4
03-07-2019 17:23:44,450.1,6.09,266.83,33.1,958.5,36.5
03-07-2019 17:23:45,454.7,6.25,266.71,33,958,36.6
03-07-2019 17:23:46,459.4,6.37,266.78,33,957.5,36.1
03-07-2019 17:23:47,464.1,6.47,266.64,33,957,36.7
03-07-2019 17:23:48,469,6.61,266.33,32.9,956.5,36.2
03-07-2019 17:23:49,473.9,6.81,265.83,32.9,956,36.4
03-07-2019 17:23:50,478.9,7.03,265.27,32.9,955.4,36.3
03-07-2019 17:23:51,484,7.25,265.14,32.8,954.9,36.3
03-07-2019 17:23:52,489.2,7.47,265.31,32.8,954.3,36.5
03-07-2019 17:23:53,494.4,7.69,265.8,32.7,953.8,36.6
03-07-2019 17:23:54,499.7,7.88,266.02,32.7,953.2,36.7
03-07-2019 17:23:55,505.1,8.03,265.98,32.6,952.7,37
03-07-2019 17:23:56,510.6,8.14,265.79,32.5,952.1,37
03-07-2019 17:23:57,516.2,8.26,265.93,32.4,951.5,37.5
