ExptDateTime,Temperature,Humidity,Pressure,WindSpeed,WindDirection
01-02-2018 00:00:00,11.4,73,970.3,0,359
01-02-2018 01:00:00,11,71,970.9,0,359
01-02-2018 02:00:00,12.6,68,971.9,0,359
01-02-2018 03:00:00,18.5,51,972.9,0,359
01-02-2018 04:00:00,24,31,973.4,0,359
01-02-2018 05:00:00,28,16,973.2,2.2,97
01-02-2018 06:00:00,29.9,17,972.4,1.4,178
01-02-2018 07:00:00,30.3,17,971.3,1.6,187
01-02-2018 08:00:00,30.2,17,970,2.1,81
01-02-2018 09:00:00,30.6,18,969.1,1.7,133
01-02-2018 10:00:00,30,18,968.6,1.5,139
01-02-2018 11:00:00,29.6,20,968.6,1,131
01-02-2018 12:00:00,28.2,22,968.8,1.1,150
01-02-2018 13:00:00,24.9,30,969.4,0,359
01-02-2018 14:00:00,23.6,33,970.3,0,359
01-02-2018 15:00:00,21.6,40,970.9,0,359
01-02-2018 16:00:00,18.7,55,971.6,0,359
01-02-2018 17:00:00,18,51,971.8,0,359
01-02-2018 18:00:00,18.5,51,971.7,0,359
01-02-2018 19:00:00,17,57,971.1,0,359
01-02-2018 20:00:00,15,66,970.5,0,359
01-02-2018 21:00:00,15.6,67,969.7,0,359
01-02-2018 22:00:00,15.3,70,969.2,0,359
01-02-2018 23:00:00,13.2,83,968.9,0,359
02-02-2018 00:00:00,12.8,88,969.3,0,359
02-02-2018 01:00:00,12.5,91,970,0,359
02-02-2018 02:00:00,13.5,92,971,0,359
02-02-2018 03:00:00,18.6,63,971.8,0,359
02-02-2018 04:00:00,23.3,40,972,0,359
02-02-2018 05:00:00,27.6,25,971.6,0.6,58
02-02-2018 06:00:00,29.3,19,971,2.2,178
02-02-2018 07:00:00,29.9,18,970,1,167
02-02-2018 08:00:00,29.8,19,969.1,0.9,63
02-02-2018 09:00:00,30.4,19,968.1,1.6,137
02-02-2018 10:00:00,30.4,20,967.7,1.4,68
02-02-2018 11:00:00,29.6,21,967.8,2.2,136
02-02-2018 12:00:00,28,23,968.2,1.7,166
02-02-2018 13:00:00,24.9,29,968.7,0,359
02-02-2018 14:00:00,24,27,969.4,0.6,248
02-02-2018 15:00:00,22.6,32,970.5,1.5,54
02-02-2018 16:00:00,19.2,43,971.2,0,359
02-02-2018 17:00:00,17.9,48,971.5,0,359
02-02-2018 18:00:00,17.6,53,971.3,0,359
02-02-2018 19:00:00,16.1,61,970.7,0,359
02-02-2018 20:00:00,16.9,64,970.2,0,359
02-02-2018 21:00:00,16.2,80,969.5,0,359
02-02-2018 22:00:00,14.4,87,969.2,0,359
02-02-2018 23:00:00,14.2,97,969.7,0,359
03-02-2018 00:00:00,14.2,95,970.3,0,359
