ExptDateTime,Temperature,Humidity,Pressure,WindSpeed,WindDirection
01-09-2018 00:00:00,25.1,73,965.1,0,359
01-09-2018 01:00:00,25.2,71,965.8,1,40
01-09-2018 02:00:00,25.8,68,966.3,1.8,25
01-09-2018 03:00:00,26.3,67,966.6,1.2,39
01-09-2018 04:00:00,27.3,63,966.8,1.4,16
01-09-2018 05:00:00,28.4,60,966.7,1,8
01-09-2018 06:00:00,29.6,55,966.2,1.7,24
01-09-2018 07:00:00,31.5,49,965.3,1.3,39
01-09-2018 08:00:00,32.7,42,964.3,2.5,25
01-09-2018 09:00:00,33.7,39,963.4,1,19
01-09-2018 10:00:00,34.1,39,963,2.8,40
01-09-2018 11:00:00,34.3,36,962.9,1.1,34
01-09-2018 12:00:00,33.5,37,963.3,1,34
01-09-2018 13:00:00,31.9,43,963.9,0,359
01-09-2018 14:00:00,29.3,58,965.1,0,359
01-09-2018 15:00:00,28.5,61,965.7,0,359
01-09-2018 16:00:00,27.4,66,966.5,2.1,309
01-09-2018 17:00:00,26.5,74,966.8,0,359
01-09-2018 18:00:00,26.2,77,966.5,0,359
01-09-2018 19:00:00,25.6,81,965.7,0,359
01-09-2018 20:00:00,24.5,87,965.2,0,359
01-09-2018 21:00:00,24.8,78,964.6,0,359
01-09-2018 22:00:00,24.8,74,964.6,0.3,290
01-09-2018 23:00:00,25,72,965,0,359
02-09-2018 00:00:00,24.9,73,965.8,0,359
02-09-2018 01:00:00,24.6,73,966.6,0,359
02-09-2018 02:00:00,26.1,67,967.4,0.8,27
02-09-2018 03:00:00,27.8,59,967.6,2,28
02-09-2018 04:00:00,29.4,56,967.4,1.4,11
02-09-2018 05:00:00,30,52,967.1,2,25
02-09-2018 06:00:00,31.4,47,966.6,1,12
02-09-2018 07:00:00,32,42,965.8,1.3,24
02-09-2018 08:00:00,32.7,41,964.6,1.7,37
02-09-2018 09:00:00,32.8,40,963.7,3.1,40
02-09-2018 10:00:00,33.4,37,963.2,1.4,40
02-09-2018 11:00:00,33.3,37,963,2,30
02-09-2018 12:00:00,32.4,38,963.4,2,39
02-09-2018 13:00:00,31.2,42,964,0,359
02-09-2018 14:00:00,29.1,66,964.9,2.2,256
02-09-2018 15:00:00,28.3,69,965.9,0.9,114
02-09-2018 16:00:00,27.5,72,966.6,0,359
02-09-2018 17:00:00,26.6,79,966.7,0,359
02-09-2018 18:00:00,25.6,84,966.3,0,359
02-09-2018 19:00:00,25.2,89,966,0,359
02-09-2018 20:00:00,24.9,90,965.5,0,359
02-09-2018 21:00:00,24.7,80,965,1.2,3
02-09-2018 22:00:00,26,63,965,0,359
02-09-2018 23:00:00,25.5,65,965.5,0,359
03-09-2018 00:00:00,24.8,69,966,0,359
03-09-2018 01:00:00,23.8,75,966.8,0,359
03-09-2018 02:00:00,25.5,67,967.4,1.5,343
03-09-2018 03:00:00,27.1,60,967.9,2,31
03-09-2018 04:00:00,28.6,53,968,2.3,35
03-09-2018 05:00:00,30.1,49,967.7,1.5,11
03-09-2018 06:00:00,31.3,42,966.7,2,35
03-09-2018 07:00:00,32.4,40,965.4,0.8,48
03-09-2018 08:00:00,33.7,36,964.3,1.4,358
03-09-2018 09:00:00,34.4,33,963.2,1.8,48
03-09-2018 10:00:00,34.4,32,962.6,4,40
03-09-2018 11:00:00,34.1,32,962.5,0.5,34
03-09-2018 12:00:00,33.3,33,962.8,0.9,24
03-09-2018 13:00:00,32,37,963.7,0,359
03-09-2018 14:00:00,30.7,39,964.4,0,359
03-09-2018 15:00:00,29.7,46,965.5,0,359
03-09-2018 16:00:00,29.4,60,966.5,0.6,206
03-09-2018 17:00:00,28.2,64,967,0,359
03-09-2018 18:00:00,27.7,68,967,0,359
03-09-2018 19:00:00,27.1,69,966.5,0,359
03-09-2018 20:00:00,26.2,74,966,0,359
03-09-2018 21:00:00,25.3,81,965.8,0,359
03-09-2018 22:00:00,24.6,86,966,0,359
